StoreNames,Index,StoreName,No_Coupons,Coupons,Coupon_N_A_Offer,CashBack_Pct_Dollars,CashBack,CB_NOD_Up_To,Total,AvgCashBack,TotalPurchAmt,,
Bedford Fair,188,Bedford Fair,2,2 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,6318,2,"252,720",,
Baymont Inn and Suites,171,Baymont Inn and Suites,8,8 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,6327,2,"253,080",,
NeweggFlash,1309,NeweggFlash,14,14 Coupons,Coupons,1.00%,1.0% Cash Back,Cash Back,6331,63,"633,100",,
e-File,568,e-File,3,3 Coupons,Coupons,31.00%,31.0% Cash Back,Cash Back,6334,20,"20,432",,
Bogs Footwear,254,Bogs Footwear,2,2 Coupons,Coupons,3.50%,3.5% Cash Back,Cash Back,6339,2,"181,114",,
Kat Von D Beauty,1016,Kat Von D Beauty,1,1 Coupon,Coupon,4.00%,4.0% Cash Back,Cash Back,6381,255,"159,525",,
Rainbow Shops,1536,Rainbow Shops,4,4 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,6386,192,"212,867",,
MR PORTER,1258,MR PORTER,5,5 Offers,Offers,3.00%,3.0% Cash Back,Cash Back,6397,192,"213,233",,
Marc Jacobs,1183,Marc Jacobs,2,2 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,6431,161,"257,240",,
Velvet by Graham & Spencer,1966,Velvet by Graham & Spencer,1,1 Coupon,Coupon,5.00%,5.0% Cash Back,Cash Back,6448,322,"128,960",,
Temptu,1843,Temptu,2,2 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,6476,324,"129,520",,
igourmet,906,igourmet,2,2 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,6492,3,"162,300",,
USA Today,1954,USA Today,1,1 Coupon,Coupon,$8.00 ,$8.00 Cash Back,Dollars back,6554,8,N/a,,
Biltmore,219,Biltmore,0,No Coupons Available,N/A,5.00%,5.0% Cash Back,Cash Back,6561,3,"131,220",,
Virginia Gift Brands,1982,Virginia Gift Brands,2,2 Coupons,Coupons,5.50%,5.5% Cash Back,Cash Back,6571,361,"119,473",,
Getzs,747,Getzs,17,17 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,6621,3,"165,525",,
Worldwide Golf Shops,2062,Worldwide Golf Shops,5,5 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,6680,334,"133,600",,
Dorothy Perkins,548,Dorothy Perkins,2,2 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,6710,3,"167,750",,
Haggar.com,808,Haggar.com,10,10 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,6748,3,"134,960",,
TaylorMade Golf,1832,TaylorMade Golf,31,31 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,6771,203,"225,700",,
Becker Professional Education,185,Becker Professional Education,4,4 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,6773,3,"135,460",,
MILLY,1224,MILLY,1,1 Coupon,Coupon,5.00%,5.0% Cash Back,Cash Back,6790,340,"135,800",,
DiscountFilters.com,527,DiscountFilters.com,0,No Coupons Available,N/A,5.00%,5.0% Cash Back,Cash Back,6829,3,"136,580",,
Banana Republic CA,150,Banana Republic CA,2,2 Coupons,Coupons,$17.50 ,2.0% Cash Back,Cash Back,6857,"1,200",392,,
BeautifiedYou.com,177,BeautifiedYou.com,2,2 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,6877,3,"137,540",,
Piercing Pagoda,1475,Piercing Pagoda,5,5 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,6944,278,"173,600",,
Gotham Cigars,780,Gotham Cigars,34,34 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,6947,3,"138,940",,
Music & Arts,1265,Music & Arts,13,13 Coupons,Coupons,3.50%,3.5% Cash Back,Cash Back,6950,243,"198,571",,
STEALS.com,1763,STEALS.com,53,53 Coupons,Coupons,1.50%,1.5% Cash Back,Cash Back,7031,105,"468,733",,
woot!,2057,woot!,1,1 Coupon,Coupon,2.00%,Up to 2.0%,Up to Pct off,7068,141,"353,400",,
Carousel Checks,340,Carousel Checks,0,No Coupons Available,N/A,3.25%,3.25% Cash Back,Cash Back,7070,2,"217,538",,
Bake Me A Wish,143,Bake Me A Wish,1,1 Coupon,Coupon,$22.50 ,6.0% Cash Back,Cash Back,7102,"1,598",316,,
eVitamins,626,eVitamins,5,5 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,7116,4,"142,320",,
1ink.com,2111,1ink.com,1,1 Coupon,Coupon,10.00%,10.0% Cash Back,Cash Back,7127,713,"71,270",,
TextbookUnderground,1850,TextbookUnderground,2,2 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,7136,285,"178,400",,
Necessary Clothing,1292,Necessary Clothing,7,7 Coupons,Coupons,3.50%,3.5% Cash Back,Cash Back,7140,250,"204,000",,
Havaianas,836,Havaianas,1,1 Coupon,Coupon,4.00%,4.0% Cash Back,Cash Back,7216,3,"180,400",,
Alternative Apparel,62,Alternative Apparel,2,2 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,7261,3,"181,525",,
4 Wheel Drive Hardware,2123,4 Wheel Drive Hardware,64,64 Coupons,Coupons,4.50%,4.5% Cash Back was 3.0%,Cash Back Promo,7263,327,"161,400",,
BLINQ,234,BLINQ,18,18 Coupons,Coupons,3.00%,Up to 3.0%,Up to Pct off,7270,2,"242,333",,
eDressMe,587,eDressMe,1,1 Coupon,Coupon,4.00%,4.0% Cash Back,Cash Back,7273,3,"181,825",,
39dollarglasses,2122,39dollarglasses,3,3 Coupons,Coupons,8.00%,8.0% Cash Back,Cash Back,7292,583,"91,150",,
D'Artagnan,477,D'Artagnan,2,2 Coupons,Coupons,3.50%,3.5% Cash Back,Cash Back,7318,3,"209,086",,
Lynda.com,1158,Lynda.com,0,No Coupons Available,N/A,10.00%,10.0% Cash Back,Cash Back,7338,734,"73,380",,
Renaissance Hotels and Resorts,1561,Renaissance Hotels and Resorts,0,No Coupons Available,N/A,2.50%,2.5% Cash Back,Cash Back,7339,183,"293,560",,
Acer,14,Acer,3,3 Coupons,Coupons,2.00%,2.0% Cash Back,Cash Back,7348,1,"367,400",,
Cycle Gear,476,Cycle Gear,14,14 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,7365,2,"294,600",,
Chinese Laundry,382,Chinese Laundry,0,No Coupons Available,N/A,5.00%,5.0% Cash Back,Cash Back,7403,4,"148,060",,
Chicco Shop,379,Chicco Shop,1,1 Coupon,Coupon,3.00%,3.0% Cash Back,Cash Back,7444,2,"248,133",,
Crane & Co,451,Crane & Co,1,1 Coupon,Coupon,3.00%,3.0% Cash Back,Cash Back,7479,2,"249,300",,
Shoebacca,1657,Shoebacca,13,13 Coupons,Coupons,6.00%,6.0% Cash Back,Cash Back,7557,453,"125,950",,
Decor Planet,493,Decor Planet,37,37 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,7624,2,"254,133",,
ReNew Life,1562,ReNew Life,2,2 Coupons,Coupons,5.50%,5.5% Cash Back,Cash Back,7629,420,"138,709",,
Helzberg Diamonds,844,Helzberg Diamonds,41,41 Coupons,Coupons,6.00%,6.0% Cash Back was 2.0%,Cash Back Promo,7631,458,"127,183",,
Century Novelty,359,Century Novelty,3,3 Coupons,Coupons,6.00%,6.0% Cash Back,Cash Back,7647,5,"127,450",,
Marc Jacobs Beauty,1184,Marc Jacobs Beauty,5,5 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,7668,307,"191,700",,
Designer Living,506,Designer Living,0,No Coupons Available,N/A,6.00%,6.0% Cash Back,Cash Back,7692,5,"128,200",,
Chain Reaction Cycles,361,Chain Reaction Cycles,1,1 Coupon,Coupon,1.50%,1.5% Cash Back,Cash Back,7720,1,"514,667",,
Old Pueblo Traders,1353,Old Pueblo Traders,2,2 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,7723,193,"308,920",,
Belt Outlet,193,Belt Outlet,1,1 Coupon,Coupon,5.00%,5.0% Cash Back,Cash Back,7748,4,"154,960",,
Animoto,83,Animoto,0,No Coupons Available,N/A,$75.00 ,5.0% Cash Back,Cash Back,7759,"5,819",103,,
The New York Times Store,1304,The New York Times Store,0,No Coupons Available,N/A,6.00%,6.0% Cash Back,Cash Back,7788,467,"129,800",,
Organic Bouquet,1370,Organic Bouquet,2,2 Coupons,Coupons,9.00%,9.0% Cash Back,Cash Back,7808,703,"86,756",,
Szul.com,1818,Szul.com,9,9 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,7819,235,"260,633",,
Sonic Electronix,1724,Sonic Electronix,27,27 Coupons,Coupons,1.00%,1.0% Cash Back,Cash Back,7850,79,"785,000",,
Skullcandy,1693,Skullcandy,2,2 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,7853,196,"314,120",,
Elie Tahari,596,Elie Tahari,2,2 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,7857,4,"157,140",,
Beauty Bridge,178,Beauty Bridge,0,No Coupons Available,N/A,5.00%,5.0% Cash Back,Cash Back,7879,4,"157,580",,
TownePlace Suites,1907,TownePlace Suites,1,1 Coupon,Coupon,2.50%,2.5% Cash Back,Cash Back,7928,198,"317,120",,
MiniInTheBox,1226,MiniInTheBox,53,53 Coupons,Coupons,4.50%,4.5% Cash Back,Cash Back,7979,359,"177,311",,
Dollar Tree,541,Dollar Tree,5,5 Coupons,Coupons,1.00%,1.0% Cash Back,Cash Back,7990,1,"799,000",,
Herve Leger,849,Herve Leger,2,2 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,8028,3,"200,700",,
Webkinz,2020,Webkinz,6,6 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,8034,402,"160,680",,
Timbuk2,1877,Timbuk2,5,5 Coupons,Coupons,1.50%,1.5% Cash Back,Cash Back,8055,121,"537,000",,
Journelle,992,Journelle,2,2 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,8056,3,"201,400",,
TextbookX.com,1851,TextbookX.com,4,4 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,8060,202,"322,400",,
Lindt Chocolate,1111,Lindt Chocolate,4,4 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,8080,323,"202,000",,
Paige,1395,Paige,2,2 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,8104,405,"162,080",,
Gap Canada,731,Gap Canada,4,4 Coupons,Coupons,2.00%,2.0% Cash Back,Cash Back,8125,2,"406,250",,
Swimspot.com,1812,Swimspot.com,5,5 Coupons,Coupons,6.00%,6.0% Cash Back,Cash Back,8143,489,"135,717",,
The Tie Bar,1870,The Tie Bar,4,4 Coupons,Coupons,1.50%,1.5% Cash Back,Cash Back,8205,123,"547,000",,
Vanity,1959,Vanity,0,No Coupons Available,N/A,3.00%,3.0% Cash Back,Cash Back,8236,247,"274,533",,
Coffee Bean & Tea Leaf,407,Coffee Bean & Tea Leaf,4,4 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,8347,3,"208,675",,
Kiwi Crate,1038,Kiwi Crate,6,6 Coupons,Coupons,$10.00 ,Up to $10.00,Up to Dollars,8376,10,N/a,,
Garage,735,Garage,8,8 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,8434,3,"281,133",,
Myprotein,1275,Myprotein,16,16 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,8469,339,"211,725",,
ShoeLine.com,1659,ShoeLine.com,5,5 Coupons,Coupons,7.50%,7.5% Cash Back,Cash Back,8476,636,"113,013",,
Alpha Industries,60,Alpha Industries,5,5 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,8521,4,"170,420",,
Tommy John,1892,Tommy John,3,3 Coupons,Coupons,2.00%,2.0% Cash Back,Cash Back,8522,170,"426,100",,
Florsheim,678,Florsheim,3,3 Coupons,Coupons,3.50%,3.5% Cash Back,Cash Back,8544,3,"244,114",,
Are You Game,97,Are You Game,1,1 Coupon,Coupon,$3.00 ,3.5% Cash Back,Cash Back,8567,257,"2,856",,
Best of Orlando,202,Best of Orlando,15,15 Coupons,Coupons,1.50%,1.5% Cash Back,Cash Back,8595,1,"573,000",,
Paper Mart,1399,Paper Mart,9,9 Coupons,Coupons,2.00%,2.0% Cash Back,Cash Back,8598,172,"429,900",,
Paper Direct,1398,Paper Direct,0,No Coupons Available,N/A,2.50%,2.5% Cash Back,Cash Back,8622,216,"344,880",,
CheapAir.com,368,CheapAir.com,2,2 Coupons,Coupons,$4.00 ,Up to $4.00,Up to Dollars,8634,4,N/a,,
Mrs. Prindable's,1261,Mrs. Prindable's,3,3 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,8654,346,"216,350",,
Islandsurf,934,Islandsurf,6,6 Coupons,Coupons,7.50%,7.5% Cash Back,Cash Back,8718,7,"116,240",,
Ted Baker,1840,Ted Baker,3,3 Coupons,Coupons,1.00%,1.0% Cash Back,Cash Back,8718,87,"871,800",,
True&Co,1925,True&Co,2,2 Coupons,Coupons,7.50%,7.5% Cash Back,Cash Back,8760,657,"116,800",,
Air Filters Delivered,36,Air Filters Delivered,3,3 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,8761,4,"219,025",,
Fox Rent-a-Car,698,Fox Rent-a-Car,5,5 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,8807,2,"352,280",,
Mountain Gear,1254,Mountain Gear,16,16 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,8872,222,"354,880",,
OfficeFurniture2Go,1347,OfficeFurniture2Go,2,2 Coupons,Coupons,7.50%,7.5% Cash Back,Cash Back,8886,666,"118,480",,
Alexis Bittar,46,Alexis Bittar,3,3 Coupons,Coupons,3.50%,3.5% Cash Back,Cash Back,8896,3,"254,171",,
YCMC,2069,YCMC,3,3 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,8917,446,"178,340",,
Hoka One One,861,Hoka One One,3,3 Coupons,Coupons,4.50%,4.5% Cash Back,Cash Back,8929,4,"198,422",,
Angara,81,Angara,6,6 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,8971,2,"358,840",,
John Hardy,982,John Hardy,3,3 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,8979,4,"179,580",,
Curtainworks,473,Curtainworks,3,3 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,8994,5,"179,880",,
Ties.com,1871,Ties.com,1,1 Coupon,Coupon,7.50%,7.5% Cash Back,Cash Back,8994,675,"119,920",,
Blain's Farm and Fleet,226,Blain's Farm and Fleet,19,19 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,9130,2,"365,200",,
Tactics,1822,Tactics,2,2 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,9138,228,"365,520",,
Reiss Online,1559,Reiss Online,2,2 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,9203,276,"306,767",,
Bonanza,256,Bonanza,2,2 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,9228,2,"369,120",,
Diet Direct,517,Diet Direct,11,11 Coupons,Coupons,3.50%,3.5% Cash Back,Cash Back,9282,3,"265,200",,
Mackage,1162,Mackage,2,2 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,9336,280,"311,200",,
Callaway Golf,319,Callaway Golf,2,2 Coupons,Coupons,3.50%,3.5% Cash Back,Cash Back,9344,3,"266,971",,
SeaBear Smokehouse,1634,SeaBear Smokehouse,14,14 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,9441,378,"236,025",,
Effy Jewelry,589,Effy Jewelry,3,3 Coupons,Coupons,3.50%,3.5% Cash Back,Cash Back,9444,3,"269,829",,
Tibi,1864,Tibi,0,No Coupons Available,N/A,6.00%,6.0% Cash Back,Cash Back,9510,571,"158,500",,
Focus Camera,684,Focus Camera,3,3 Coupons,Coupons,1.50%,1.5% Cash Back,Cash Back,9512,1,"634,133",,
AHAlife,31,AHAlife,2,2 Coupons,Coupons,4.50%,4.5% Cash Back,Cash Back,9542,4,"212,044",,
AHAVA,33,AHAVA,4,4 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,9542,4,"238,550",,
Juice Beauty,998,Juice Beauty,7,7 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,9548,3,"318,267",,
Great Big Canvas,786,Great Big Canvas,1,1 Coupon,Coupon,2.50%,2.5% Cash Back,Cash Back,9588,2,"383,520",,
bluemercury,246,bluemercury,22,22 Coupons,Coupons,6.00%,6.0% Cash Back,Cash Back,9610,6,"160,167",,
Home Chef,869,Home Chef,1,1 Coupon,Coupon,10.00%,10.0% Cash Back,Cash Back,9660,10,"96,600",,
CarParts.com,341,CarParts.com,5,5 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,9661,4,"241,525",,
Petit Bateau,1459,Petit Bateau,5,5 Coupons,Coupons,6.00%,6.0% Cash Back,Cash Back,9679,581,"161,317",,
Meritline.com,1211,Meritline.com,1,1 Coupon,Coupon,3.50%,3.5% Cash Back,Cash Back,9715,340,"277,571",,
Logo Sportswear,1123,Logo Sportswear,2,2 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,9735,292,"324,500",,
Simply Be,1679,Simply Be,9,9 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,9749,244,"389,960",,
Payless Car Rental,1422,Payless Car Rental,2,2 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,9770,391,"244,250",,
MissGuided,1233,MissGuided,5,5 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,9835,393,"245,875",,
HobbyTron,859,HobbyTron,52,52 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,9853,4,"246,325",,
Sammydress,1617,Sammydress,4,4 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,9927,397,"248,175",,
MOO,1245,MOO,2,2 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,9945,249,"397,800",,
fye.com,721,fye.com,4,4 Coupons,Coupons,3.50%,3.5% Cash Back,Cash Back,9946,3,"284,171",,
Space NK,1731,Space NK,4,4 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,9966,249,"398,640",,
Holiday Inn Club Vacations,866,Holiday Inn Club Vacations,2,2 Coupons,Coupons,4.50%,4.5% Cash Back,Cash Back,9969,4,"221,533",,
DiscountGlasses.com,528,DiscountGlasses.com,2,2 Coupons,Coupons,10.00%,10.0% Cash Back,Cash Back,10021,10,"100,210",,
Old Navy Canada,1352,Old Navy Canada,6,6 Coupons,Coupons,2.00%,2.0% Cash Back,Cash Back,10035,201,"501,750",,
Mountain Hardwear,1255,Mountain Hardwear,14,14 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,10078,504,"201,560",,
Danskin,479,Danskin,3,3 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,10079,4,"251,975",,
Ringcentral.com,1573,Ringcentral.com,5,5 Coupons,Coupons,$25.00 ,Up to $25.00,Up to Dollars,10119,25,N/a,,
Griffin Technology,792,Griffin Technology,7,7 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,10122,5,"202,440",,
Rodale's,1588,Rodale's,5,5 Coupons,Coupons,6.00%,6.0% Cash Back,Cash Back,10143,609,"169,050",,
The Book Depository,261,The Book Depository,1,1 Coupon,Coupon,2.50%,2.5% Cash Back,Cash Back,10147,3,"405,880",,
Irv's Luggage,930,Irv's Luggage,37,37 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,10174,4,"254,350",,
Jelly Belly,964,Jelly Belly,4,4 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,10175,4,"254,375",,
Park Inn,1409,Park Inn,1,1 Coupon,Coupon,3.00%,3.0% Cash Back,Cash Back,10197,306,"339,900",,
Chaco,360,Chaco,6,6 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,10232,4,"255,800",,
Nina Shoes,1317,Nina Shoes,7,7 Coupons,Coupons,6.00%,6.0% Cash Back,Cash Back,10243,615,"170,717",,
Lucky Vitamin,1144,Lucky Vitamin,34,34 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,10284,257,"411,360",,
Reef.com,1556,Reef.com,1,1 Coupon,Coupon,6.00%,6.0% Cash Back,Cash Back,10285,617,"171,417",,
Hanky Panky,819,Hanky Panky,4,4 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,10296,4,"257,400",,
Thomas Pink,1857,Thomas Pink,1,1 Coupon,Coupon,3.00%,3.0% Cash Back,Cash Back,10320,310,"344,000",,
Cricut,458,Cricut,10,10 Coupons,Coupons,2.00%,2.0% Cash Back,Cash Back,10424,2,"521,200",,
AT-A-GLANCE,112,AT-A-GLANCE,10,10 Coupons,Coupons,$22.50 ,5.5% Cash Back,Cash Back,10464,"2,354",465,,
Verseo,1971,Verseo,7,7 Coupons,Coupons,9.00%,9.0% Cash Back,Cash Back,10495,945,"116,611",,
RST Outdoor,1601,RST Outdoor,0,No Coupons Available,N/A,4.00%,4.0% Cash Back,Cash Back,10578,423,"264,450",,
chapters.indigo.ca,364,chapters.indigo.ca,51,51 Coupons,Coupons,5.00%,Up to 5.0%,Up to Pct off,10691,5,"213,820",,
Reeds Jewelers,1555,Reeds Jewelers,4,4 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,10730,537,"214,600",,
Capalbo's Gift Baskets,332,Capalbo's Gift Baskets,2,2 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,10826,5,"216,520",,
Hudson Jeans,893,Hudson Jeans,8,8 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,10844,4,"271,100",,
BarkBox,157,BarkBox,0,No Coupons Available,N/A,$7.50 ,$7.50 Cash Back,Dollars back,10848,8,N/a,,
Algenist,47,Algenist,1,1 Coupon,Coupon,5.00%,5.0% Cash Back,Cash Back,10946,5,"218,920",,
Ramada,1541,Ramada,9,9 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,10966,274,"438,640",,
Lolí‚,1126,Lolí‚,0,No Coupons Available,N/A,4.00%,4.0% Cash Back,Cash Back,10995,440,"274,875",,
LookFantastic,1129,LookFantastic,5,5 Coupons,Coupons,3.50%,3.5% Cash Back,Cash Back,10995,385,"314,143",,
Briggs & Riley Travelware,283,Briggs & Riley Travelware,2,2 Coupons,Coupons,4.50%,4.5% Cash Back,Cash Back,11006,5,"244,578",,
123Print,2102,123Print,1,1 Coupon,Coupon,1.00%,1.0% Cash Back,Cash Back,11045,110,"1,104,500",,
NuWave,1336,NuWave,11,11 Coupons,Coupons,8.00%,8.0% Cash Back,Cash Back,11093,887,"138,663",,
Healthy Directions,840,Healthy Directions,6,6 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,11121,6,"222,420",,
Gordon's Jewelers,779,Gordon's Jewelers,7,7 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,11222,3,"448,880",,
Lighting By Gregory,1103,Lighting By Gregory,1,1 Coupon,Coupon,4.00%,4.0% Cash Back,Cash Back,11230,449,"280,750",,
Econo Lodge,582,Econo Lodge,1,1 Coupon,Coupon,2.50%,2.5% Cash Back,Cash Back,11251,3,"450,040",,
Old Time Candy,1354,Old Time Candy,3,3 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,11294,282,"451,760",,
BaseballMonkey.com,164,BaseballMonkey.com,1,1 Coupon,Coupon,3.00%,3.0% Cash Back,Cash Back,11300,3,"376,667",,
StriVectin,1782,StriVectin,3,3 Coupons,Coupons,7.50%,7.5% Cash Back,Cash Back,11377,853,"151,693",,
LivingDirect,1118,LivingDirect,0,No Coupons Available,N/A,2.50%,2.5% Cash Back,Cash Back,11401,285,"456,040",,
Soludos,1723,Soludos,5,5 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,11473,459,"286,825",,
Gazelle,738,Gazelle,13,13 Coupons,Coupons,3.50%,3.5% Cash Back,Cash Back,11481,4,"328,029",,
1-800-GOT-JUNK?,2096,1-800-GOT-JUNK?,2,2 Coupons,Coupons,1.50%,1.5% Cash Back,Cash Back,11520,173,"768,000",,
Checks SuperStore,373,Checks SuperStore,3,3 Coupons,Coupons,12.50%,12.5% Cash Back,Cash Back,11555,14,"92,440",,
A4C,3,A4C,13,13 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,11576,3,"385,867",,
Four Points by Sheraton,697,Four Points by Sheraton,0,No Coupons Available,N/A,2.50%,2.5% Cash Back,Cash Back,11617,3,"464,680",,
Hansen Wholesale,821,Hansen Wholesale,6,6 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,11635,6,"232,700",,
Six:02,1683,Six:02,7,7 Coupons,Coupons,6.00%,6.0% Cash Back,Cash Back,11691,701,"194,850",,
Marciano,1185,Marciano,3,3 Coupons,Coupons,2.00%,2.0% Cash Back,Cash Back,11757,235,"587,850",,
MyPublisher,1276,MyPublisher,3,3 Coupons,Coupons,5.00%,Up to 5.0%,Up to Pct off,11768,588,"235,360",,
myFICO,1273,myFICO,0,No Coupons Available,N/A,$5.00 ,$5.00 Cash Back,Dollars back,11863,5,N/a,,
SmartWool,1707,SmartWool,2,2 Coupons,Coupons,4.25%,4.25% Cash Back,Cash Back,11908,506,"280,188",,
Ole Henriksen,1355,Ole Henriksen,1,1 Coupon,Coupon,4.00%,4.0% Cash Back,Cash Back,11915,477,"297,875",,
Sabon,1605,Sabon,3,3 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,11923,477,"298,075",,
Helmut Lang,843,Helmut Lang,1,1 Coupon,Coupon,3.00%,3.0% Cash Back,Cash Back,11957,4,"398,567",,
MisterArt.com,1234,MisterArt.com,6,6 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,11969,359,"398,967",,
The Tog Shop,1889,The Tog Shop,2,2 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,11983,300,"479,320",,
Texture,1852,Texture,0,No Coupons Available,N/A,$10.00 ,$10.00 Cash Back,Dollars back,11999,10,N/a,,
Hoover,876,Hoover,7,7 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,12058,3,"482,320",,
iolo technologies,927,iolo technologies,17,17 Coupons,Coupons,25.00%,25.0% Cash Back,Cash Back,12060,30,"48,240",,
Footwear etc,691,Footwear etc,4,4 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,12098,3,"483,920",,
Bluehost,245,Bluehost,3,3 Coupons,Coupons,$10.00 ,$10.00 Cash Back,Dollars back,12175,10,N/a,,
Donald J Pliner,544,Donald J Pliner,2,2 Coupons,Coupons,6.00%,6.0% Cash Back,Cash Back,12323,7,"205,383",,
Trend Micro,1916,Trend Micro,6,6 Coupons,Coupons,10.00%,10.0% Cash Back,Cash Back,12336,"1,234","123,360",,
BCBGeneration,173,BCBGeneration,2,2 Coupons,Coupons,5.50%,5.5% Cash Back,Cash Back,12352,7,"224,582",,
JUSbyJulie,1005,JUSbyJulie,6,6 Coupons,Coupons,7.50%,7.5% Cash Back,Cash Back,12360,927,"164,800",,
Cellular Outfitter,357,Cellular Outfitter,8,8 Coupons,Coupons,6.00%,6.0% Cash Back,Cash Back,12418,7,"206,967",,
Sofitel,1717,Sofitel,1,1 Coupon,Coupon,4.00%,4.0% Cash Back,Cash Back,12513,501,"312,825",,
Dogeared,537,Dogeared,1,1 Coupon,Coupon,4.00%,4.0% Cash Back,Cash Back,12561,5,"314,025",,
Unbeatable Sale,1941,Unbeatable Sale,4,4 Coupons,Coupons,6.00%,6.0% Cash Back,Cash Back,12564,754,"209,400",,
Orion Telescopes and Binoculars,1374,Orion Telescopes and Binoculars,0,No Coupons Available,N/A,3.00%,3.0% Cash Back,Cash Back,12585,378,"419,500",,
