"","Location","Burrito","Date","Neighborhood","Address","URL","Yelp","Google","Chips","Cost","Hunger","Length","Circum","Volume","Tortilla","Temp","Meat","Fillings","Meat.filling","Uniformity","Salsa","Synergy","Wrap","overall","Rec","Reviewer","Notes","Unreliable","NonSD","Beef","Pico","Guac","Cheese","Fries","Sour.cream","Pork","Chicken","Shrimp","Fish","Rice","Beans","Lettuce","Tomato","Bell.peper","Carrots","Cabbage","Sauce","Salsa.1","Cilantro","Onion","Taquito","Pineapple","Ham","Chile.relleno","Nopales","Lobster","Queso","Egg","Mushroom","Bacon","Sushi","Avocado","Corn","Zucchini","Lat","Long"
"223","Tacos La Bala","Pastor","9/5/2016","Houston","5800 Bellaire Blvd","tacoslabala.com",4.5,4.1,"",4.99,3.5,NA,NA,NA,2.5,2.5,4,2.5,1,1,2,4,0,2.5,"No","Scott","Everything is in spanish. Get a taco or sope","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.96467,-117.26324
"224","Tacos La Bala","Barbacoa ","9/5/2016","Houston","5800 Bellaire Blvd","tacoslabala.com",NA,NA,"",4.99,2.5,16.5,22,0.64,2,2.5,3.5,2,3,2.5,2,2.5,2.5,2.4,"No","Emily","Burritos cut in half, felt like a wrap instead of a burrito","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.96467,-117.26324
"225","Cancun Mexican & Seafood","Adobada","9/9/2016","Encinitas","1766 N Coast Hwy","http://cancunmexicanandseafood.com/",NA,NA,"",6.45,3,19.5,21.5,0.72,4,5,3.5,3,3.5,3.5,4,2.5,4,3.5,"Yes","Scott","Free salad","","","","","X","","","","X","","","","","","","","","","","","","X","X","","","","","","",NA,"","","","","","","",33.209259,-117.388215
"226","Cancun Mexican & Seafood","California","9/9/2016","Encinitas","1766 N Coast Hwy","http://cancunmexicanandseafood.com/",NA,NA,"",6.99,4,19.5,22,0.75,3,4.5,4,4,3.5,3,4,4,5,4,"Yes","Emily","","","","X","","","X","X","X","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",33.209259,-117.388215
"227","Roberto's Taco Shop Clairemont","California","9/11/2016","Clairemont","3095 Clairemont Dr","https://www.yelp.com/biz/robertos-taco-shop-clairemont-san-diego",4,4,"",5.79,4,NA,NA,NA,3,4.5,4,4,4,5,2.5,3,5,3.6,"Yes","Scott","Fries are really good but the overall flavor is plain because lack of ingredients","","","x","","","x","x","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.797405,-117.192784
"228","Roberto's Taco Shop Clairemont","California","9/11/2016","Clairemont","3095 Clairemont Dr","https://www.yelp.com/biz/robertos-taco-shop-clairemont-san-diego",NA,NA,"",5.79,4,NA,NA,NA,4,3,4,2.5,3.5,4,2,2.5,5,3,"No","Benni","","","","x","","","x","x","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.797405,-117.192784
"229","Roberto's Taco Shop Clairemont","California + Guac + sour cream","9/11/2016","Clairemont","3095 Clairemont Dr","https://www.yelp.com/biz/robertos-taco-shop-clairemont-san-diego",NA,NA,"",7.29,3.7,NA,NA,NA,3.8,4.7,4,3.5,4.5,4,4,4.5,5,4,"Yes","Luis","","","","x","","x","x","x","x","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.797405,-117.192784
"230","Roberto's Taco Shop Clairemont","Carne asada","9/11/2016","Clairemont","3095 Clairemont Dr","https://www.yelp.com/biz/robertos-taco-shop-clairemont-san-diego",NA,NA,"",5.69,3,NA,NA,NA,4,3,1.5,3,4,4.5,3.5,2,4.5,3,"No","Ricardo","","","","x","","x","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.797405,-117.192784
"231","Chipotle","Carnitas","9/13/2016","Carlsbad","2505 Palomar airport Rd","https://www.yelp.com/biz/chipotle-mexican-grill-carlsbad",3,4.2,"",7.15,4,16.5,26.5,0.92,2.5,2.5,3,2.8,2.5,3.5,NA,3,3.5,2.75,"Yes","Emily","","","","","X","","","","X","X","","","","X","X","","","X","","","","","","","","","","","","",NA,"","","","","","X","",33.128267,-117.270543
"232","Taco Stand","Al Pastor","9/16/2016","La Jolla","621 Pearl St","http://letstaco.com/",NA,NA,"",6.99,4,NA,NA,NA,4.5,4,4.5,4.5,4.5,4.5,4.5,5,4,4.5,"Yes","Mike","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.839352,-117.276819
"233","Taco Stand","California","9/16/2016","La Jolla","621 Pearl St","http://letstaco.com/",NA,NA,"",7.49,4.1,NA,NA,NA,4,4.5,4.5,4.5,4.7,4.5,4.2,4.5,5,4.7,"Yes","Luis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.839352,-117.276819
"234","Los Tacos","California ","9/18/2016","","","",NA,NA,"",7.9,3.5,20.5,23,0.86,4,5,4,4,3,4,3.5,4,4,4.2,"Yes","Scott","Tortilla is burnt a bit but good. Pick is good","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.715738,-117.161084
"235","Los Tacos","Local","9/18/2016","","","",NA,NA,"",7.9,3.5,22,23,0.93,4,3.5,4.5,4.5,3.5,3.5,3.5,4,3,4.3,"Yes","Emily","Melted cheese is good. Cilantro is fresh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.715738,-117.161084
"236","El Cuervo","California ","9/22/2016","Hillcrest","110 Washington St","https://www.yelp.com/biz/el-cuervo-taco-shop-san-diego",4,4.3,"",6.95,3.5,20,21.5,0.74,3.5,3.5,3,4,3,3,4.5,3.5,2,3.6,"Yes","Scott","Alfajores dessert and horchata are super good","","","X","X","X","X","X","X","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.749967,-117.163686
"237","El Cuervo","Pollo adobado","9/22/2016","Hillcrest","110 Washington St","https://www.yelp.com/biz/el-cuervo-taco-shop-san-diego",NA,NA,"",5.95,4,20.5,20,0.65,3.5,5,4.5,3.5,4,4.5,4.5,4,5,4,"Yes","Richard","First burrito I enjoyed from top to bottom","","","","","X","","","","X","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.749967,-117.163686
"238","El Torrito Foods","Asada","9/25/2016","Vista","249 Emerald Dr","https://www.yelp.com/biz/el-torito-foods-vista-2",4,4.4,"",5.49,4,23.5,19,0.68,3,5,3,3,2.5,4,3.5,3,5,3.1,"Yes","Scott","Good because so cheap","","","X","","","","","","","","","","X","X","","","","","","","","X","X","","","","","","",NA,"","","","","","","",33.191106,-117.279546
"239","El Torrito Foods","Adobada","9/25/2016","Vista","249 Emerald Dr","https://www.yelp.com/biz/el-torito-foods-vista-2",NA,NA,"",3.99,4.5,22.5,19.5,0.68,3.5,4,3,2.5,2.8,4,2.5,2.5,5,2.6,"No","Emily","tamale isn't good","","","","","","","","","X","","","","X","X","","","","","","","","X","X","","","","","","",NA,"","","","","","","",33.191106,-117.279546
