Pos.This.Week|Pos.Last.Week|Peak.Pos.This.Week|Total.Weeks|Title|Artist|Entry.Date|Pos.Entry|Overall.Peak.Pos|Overall.Total.Weeks|Chart.Date,,,,,
80|75|30|18|Strip It Down|LUKE BRYAN|2015-08-29|63|30|19|20151226,,,,,
81|81|63|13|Blase|TY DOLLA $IGN featuring FUTURE & RAE SREMMURD|2015-10-03|85|63|18|20151226,,,,,
82|96|82|2|New Americana|HALSEY|2015-12-19|96|60|8|20151226,,,,,
83|71|43|16|Smoke Break|CARRIE UNDERWOOD|2015-09-12|43|43|17|20151226,,,,,
84|95|84|2|Irresistible|FALL OUT BOY|2015-12-19|95|48|12|20151226,,,,,
85|74|43|4|Purpose|JUSTIN BIEBER|2015-12-05|43|43|7|20151226,,,,,
86|91|86|3|Dibs|KELSEA BALLERINI|2015-12-12|94|58|14|20151226,,,,,
87|NEW|87|1|$ave Dat Money|LIL DICKY featuring FETTY WAP & RICH HOMIE QUAN|2015-12-26|87|73|13|20151226,,,,,
88|93|58|13|Right Hand|DRAKE|2015-10-03|66|58|19|20151226,,,,,
89|NEW|89|1|Dessert|DAWIN|2015-12-26|89|68|11|20151226,,,,,
90|80|42|4|Mark My Words|JUSTIN BIEBER|2015-12-05|42|42|4|20151226,,,,,
91|100|91|2|Already Callin' You Mine|PARMALEE|2015-12-19|100|91|2|20151226,,,,,
92|94|92|3|Play No Games|BIG SEAN featuring CHRIS BROWN & TY DOLLA $IGN|2015-12-12|99|89|11|20151226,,,,,
93|NEW|93|1|Backroad Song|GRANGER SMITH|2015-12-26|93|49|16|20151226,,,,,
94|NEW|94|1|Random|G-EAZY|2015-12-26|94|94|1|20151226,,,,,
95|83|53|4|Company|JUSTIN BIEBER|2015-12-05|53|53|4|20151226,,,,,
96|88|49|4|No Pressure|JUSTIN BIEBER featuring BIG SEAN|2015-12-05|49|49|4|20151226,,,,,
97|NEW|97|1|Sorry|RICK ROSS featuring CHRIS BROWN|2015-12-26|97|97|1|20151226,,,,,
98|NEW|98|1|Drifting|G-EAZY featuring CHRIS BROWN & TORY LANEZ|2015-12-26|98|98|1|20151226,,,,,
99|82|60|14|Liquor|CHRIS BROWN|2015-09-26|87|60|14|20151226,,,,,
100|NEW|100|1|Beautiful Drug|ZAC BROWN BAND|2015-12-26|100|52|18|20151226,,,,,
1|1|1|6|Hello|ADELE|2015-11-14|1|1|26|20151219,,,,,
2|2|2|6|Sorry|JUSTIN BIEBER|2015-11-14|2|1|42|20151219,,,,,
3|3|2|18|Hotline Bling|DRAKE|2015-08-22|66|2|36|20151219,,,,,
4|4|1|14|What Do You Mean?|JUSTIN BIEBER|2015-09-19|1|1|31|20151219,,,,,
5|5|1|28|The Hills|THE WEEKND|2015-06-13|20|1|48|20151219,,,,,
6|6|4|28|Stitches|SHAWN MENDES|2015-06-13|89|4|52|20151219,,,,,
7|7|4|3|Love Yourself|JUSTIN BIEBER|2015-12-05|4|1|41|20151219,,,,,
8|10|8|18|Here|ALESSIA CARA|2015-08-22|95|5|34|20151219,,,,,
9|8|8|22|Like I'm Gonna Lose You|MEGHAN TRAINOR featuring JOHN LEGEND|2015-07-25|95|8|39|20151219,,,,,
10|11|10|12|Same Old Love|SELENA GOMEZ|2015-10-03|43|5|28|20151219,,,,,
11|9|4|23|679|FETTY WAP featuring REMY BOYZ|2015-07-18|34|4|40|20151219,,,,,
12|12|10|22|Ex's & Oh's|ELLE KING|2015-07-25|96|10|38|20151219,,,,,
13|15|13|11|On My Mind|ELLIE GOULDING|2015-10-10|22|13|22|20151219,,,,,
14|13|5|14|Wildest Dreams|TAYLOR SWIFT|2015-09-19|15|5|26|20151219,,,,,
15|18|12|11|Jumpman|DRAKE & FUTURE|2015-10-10|52|12|32|20151219,,,,,
16|17|1|26|Can't Feel My Face|THE WEEKND|2015-06-27|24|1|41|20151219,,,,,
17|16|7|5|Focus|ARIANA GRANDE|2015-11-21|7|7|13|20151219,,,,,
18|14|3|41|Watch Me|SILENTO|2015-03-14|98|3|51|20151219,,,,,
19|20|19|13|Antidote|TRAVIS SCOTT|2015-09-26|75|16|26|20151219,,,,,
20|19|4|35|Lean On|MAJOR LAZER x DJ SNAKE featuring M0|2015-04-25|100|4|48|20151219,,,,,
21|28|21|8|Confident|DEMI LOVATO|2015-10-31|58|21|19|20151219,,,,,
22|25|22|13|White Iverson|POST MALONE|2015-09-26|84|14|30|20151219,,,,,
23|29|23|11|Die A Happy Man|THOMAS RHETT|2015-10-10|92|21|30|20151219,,,,,
24|33|24|10|Don't|BRYSON TILLER|2015-10-17|84|13|34|20151219,,,,,
25|24|6|20|Locked Away|R. CITY featuring ADAM LEVINE|2015-08-08|85|6|27|20151219,,,,,
26|NEW|26|1|All I Want For Christmas Is You|MARIAH CAREY|2015-12-19|26|11|4|20151219,,,,,
27|27|10|7|Perfect|ONE DIRECTION|2015-11-07|10|10|20|20151219,,,,,
28|26|2|46|Trap Queen|FETTY WAP|2015-02-07|86|2|52|20151219,,,,,
29|34|28|20|Where Ya At|FUTURE featuring DRAKE|2015-08-08|68|28|25|20151219,,,,,
30|37|30|7|Say It|TORY LANEZ|2015-11-07|90|23|24|20151219,,,,,
31|32|8|40|Where Are U Now|SKRILLEX & DIPLO featuring JUSTIN BIEBER|2015-03-21|97|8|45|20151219,,,,,
32|39|32|9|Break Up In A Small Town|SAM HUNT|2015-10-24|90|29|20|20151219,,,,,
33|30|3|18|Drag Me Down|ONE DIRECTION|2015-08-22|3|3|20|20151219,,,,,
34|31|19|5|I'll Show You|JUSTIN BIEBER|2015-11-21|51|19|12|20151219,,,,,
35|23|15|16|Hit The Quan|ILOVEMEMPHIS|2015-09-05|41|15|20|20151219,,,,,
36|51|36|7|Roses|THE CHAINSMOKERS featuring ROZES|2015-11-07|95|6|31|20151219,,,,,
37|54|37|3|In The Night|THE WEEKND|2015-12-05|86|12|19|20151219,,,,,
38|40|5|24|Good For You|SELENA GOMEZ featuring A$AP ROCKY|2015-07-11|9|5|26|20151219,,,,,
39|36|1|39|See You Again|WIZ KHALIFA featuring CHARLIE PUTH|2015-03-28|100|1|52|20151219,,,,,
40|38|17|34|Renegades|X AMBASSADORS|2015-05-02|99|17|35|20151219,,,,,
41|44|41|15|No Role Modelz|J. COLE|2015-09-12|91|36|24|20151219,,,,,
42|42|33|17|Again|FETTY WAP|2015-08-29|33|33|26|20151219,,,,,
43|35|7|21|My Way|FETTY WAP featuring MONTY|2015-08-01|87|7|21|20151219,,,,,
44|41|33|22|I'm Comin' Over|CHRIS YOUNG|2015-07-25|100|33|22|20151219,,,,,
45|57|45|9|Stressed Out|TWENTY ONE PILOTS|2015-10-24|95|2|50|20151219,,,,,
46|43|1|33|Cheerleader|OMI|2015-05-09|95|1|35|20151219,,,,,
47|47|47|9|Back Up|DEJ LOAF featuring BIG SEAN|2015-10-24|83|47|18|20151219,,,,,
48|49|48|21|Burning House|CAM|2015-08-01|94|29|25|20151219,,,,,
49|50|48|8|Lay It All On Me|RUDIMENTAL featuring ED SHEERAN|2015-10-31|87|48|15|20151219,,,,,
50|48|10|30|Photograph|ED SHEERAN|2015-05-30|92|10|30|20151219,,,,,
51|58|51|17|Nothin' Like You|DAN + SHAY|2015-08-29|97|51|19|20151219,,,,,
52|77|52|2|Used To Love You|GWEN STEFANI|2015-12-12|77|52|8|20151219,,,,,
53|61|53|10|Hide Away|DAYA|2015-10-17|100|23|26|20151219,,,,,
54|53|53|4|Adventure Of A Lifetime|COLDPLAY|2015-11-28|55|13|20|20151219,,,,,
55|52|27|20|How Deep Is Your Love|CALVIN HARRIS & DISCIPLES|2015-08-08|60|27|20|20151219,,,,,
56|63|56|12|Gonna|BLAKE SHELTON|2015-10-03|86|54|18|20151219,,,,,
57|46|31|3|The Feeling|JUSTIN BIEBER featuring HALSEY|2015-12-05|31|31|7|20151219,,,,,
58|45|45|4|Bet You Can't Do It Like Me|DLOW|2015-11-28|61|45|15|20151219,,,,,
59|72|22|4|WTF (Where They From)|MISSY ELLIOTT featuring PHARRELL WILLIAMS|2015-11-28|91|22|14|20151219,,,,,
60|71|60|6|Exchange|BRYSON TILLER|2015-11-14|98|26|34|20151219,,,,,
61|NEW|61|1|Hallelujah|JORDAN SMITH|2015-12-19|61|61|1|20151219,,,,,
62|68|62|7|Gonna Know We Were Here|JASON ALDEAN|2015-11-07|92|54|15|20151219,,,,,
63|66|63|9|The Fix|NELLY featuring JEREMIH|2015-10-24|94|62|19|20151219,,,,,
64|55|55|3|I Know What You Did Last Summer|SHAWN MENDES & CAMILA CABELLO|2015-12-05|97|20|20|20151219,,,,,
65|69|65|9|Stay A Little Longer|BROTHERS OSBORNE|2015-10-24|99|46|20|20151219,,,,,
66|85|66|5|Me, Myself & I|G-EAZY & BEBE REXHA|2015-11-21|83|7|37|20151219,,,,
67|56|12|15|Downtown|MACKLEMORE & RYAN LEWIS featuring ERIC NALLY, MELLE MEL, KOO|2015-09-12|94|12|20|20151219,,,
68|75|52|11|Big Rings|DRAKE & FUTURE|2015-10-10|75|52|20|20151219,,,,,
69|22|22|2|When We Were Young|ADELE|2015-12-12|22|14|20|20151219,,,,,
70|83|70|4|My House|FLO RIDA|2015-11-28|96|4|39|20151219,,,,,
71|59|43|15|Smoke Break|CARRIE UNDERWOOD|2015-09-12|43|43|17|20151219,,,,,
72|86|72|7|Cake By The Ocean|DNCE|2015-11-07|79|9|46|20151219,,,,,
73|67|21|18|Back To Back|DRAKE|2015-08-22|21|21|20|20151219,,,,,
74|62|43|3|Purpose|JUSTIN BIEBER|2015-12-05|43|43|7|20151219,,,,,
75|65|30|17|Strip It Down|LUKE BRYAN|2015-08-29|63|30|19|20151219,,,,,
76|64|56|12|Come Get Her|RAE SREMMURD|2015-10-03|100|56|19|20151219,,,,,
77|81|77|8|I Got The Boy|JANA KRAMER|2015-10-31|92|56|16|20151219,,,,,
78|82|78|8|Top Of The World|TIM McGRAW|2015-10-31|99|73|13|20151219,,,,,
79|88|79|6|I Love This Life|LOCASH|2015-11-14|97|56|18|20151219,,,,,
80|60|42|3|Mark My Words|JUSTIN BIEBER|2015-12-05|42|42|4|20151219,,,,,
81|76|63|12|Blase|TY DOLLA $IGN featuring FUTURE & RAE SREMMURD|2015-10-03|85|63|18|20151219,,,,,
82|84|60|13|Liquor|CHRIS BROWN|2015-09-26|87|60|14|20151219,,,,,
83|73|53|3|Company|JUSTIN BIEBER|2015-12-05|53|53|4|20151219,,,,,
84|97|84|2|Home Alone Tonight|LUKE BRYAN featuring KAREN FAIRCHILD|2015-12-12|97|38|19|20151219,,,,,
85|91|85|2|Stand By You|RACHEL PLATTEN|2015-12-12|91|37|19|20151219,,,,,
86|98|86|2|Best Friend|YOUNG THUG|2015-12-12|98|45|20|20151219,,,,,
87|NEW|87|1|Down In The DM|YO GOTTI|2015-12-19|87|13|21|20151219,,,,,
88|74|49|3|No Pressure|JUSTIN BIEBER featuring BIG SEAN|2015-12-05|49|49|4|20151219,,,,,
89|NEW|89|1|One Call Away|CHARLIE PUTH|2015-12-19|89|12|26|20151219,,,,,
90|78|54|3|No Sense|JUSTIN BIEBER featuring TRAVIS SCOTT|2015-12-05|54|54|3|20151219,,,,,
91|94|91|2|Dibs|KELSEA BALLERINI|2015-12-12|94|58|14|20151219,,,,,
92|NEW|92|1|I'd Just Love To Lay You Down|BARRETT BABER|2015-12-19|92|92|1|20151219,,,,,
93|92|58|12|Right Hand|DRAKE|2015-10-03|66|58|19|20151219,,,,,
94|99|94|2|Play No Games|BIG SEAN featuring CHRIS BROWN & TY DOLLA $IGN|2015-12-12|99|89|11|20151219,,,,,
95|NEW|95|1|Irresistible|FALL OUT BOY|2015-12-19|95|48|12|20151219,,,,,
96|NEW|96|1|New Americana|HALSEY|2015-12-19|96|60|8|20151219,,,,,
97|NEW|97|1|Daddy|PSY featuring CL|2015-12-19|97|97|1|20151219,,,,,
98|NEW|98|1|Girls Just Want To Have Fun|MADI DAVIS|2015-12-19|98|98|1|20151219,,,,,
99|90|59|18|Let Me See Ya Girl|COLE SWINDELL|2015-08-22|94|59|18|20151219,,,,,
100|NEW|100|1|Already Callin' You Mine|PARMALEE|2015-12-19|100|91|2|20151219,,,,,
1|1|1|5|Hello|ADELE|2015-11-14|1|1|26|20151212,,,,,
2|2|2|5|Sorry|JUSTIN BIEBER|2015-11-14|2|1|42|20151212,,,,,
3|3|2|17|Hotline Bling|DRAKE|2015-08-22|66|2|36|20151212,,,,,
4|5|1|13|What Do You Mean?|JUSTIN BIEBER|2015-09-19|1|1|31|20151212,,,,,
5|6|1|27|The Hills|THE WEEKND|2015-06-13|20|1|48|20151212,,,,,
6|7|4|27|Stitches|SHAWN MENDES|2015-06-13|89|4|52|20151212,,,,,
7|4|4|2|Love Yourself|JUSTIN BIEBER|2015-12-05|4|1|41|20151212,,,,,
8|11|8|21|Like I'm Gonna Lose You|MEGHAN TRAINOR featuring JOHN LEGEND|2015-07-25|95|8|39|20151212,,,,,
9|8|4|22|679|FETTY WAP featuring REMY BOYZ|2015-07-18|34|4|40|20151212,,,,,
10|10|10|17|Here|ALESSIA CARA|2015-08-22|95|5|34|20151212,,,,,
11|13|11|11|Same Old Love|SELENA GOMEZ|2015-10-03|43|5|28|20151212,,,,,
12|12|10|21|Ex's & Oh's|ELLE KING|2015-07-25|96|10|38|20151212,,,,,
13|9|5|13|Wildest Dreams|TAYLOR SWIFT|2015-09-19|15|5|26|20151212,,,,,
14|18|3|40|Watch Me|SILENTO|2015-03-14|98|3|51|20151212,,,,,
15|15|15|10|On My Mind|ELLIE GOULDING|2015-10-10|22|13|22|20151212,,,,,
16|14|7|4|Focus|ARIANA GRANDE|2015-11-21|7|7|13|20151212,,,,,
17|17|1|25|Can't Feel My Face|THE WEEKND|2015-06-27|24|1|41|20151212,,,,,
18|16|12|10|Jumpman|DRAKE & FUTURE|2015-10-10|52|12|32|20151212,,,,,
19|21|4|34|Lean On|MAJOR LAZER x DJ SNAKE featuring M0|2015-04-25|100|4|48|20151212,,,,,
20|23|20|12|Antidote|TRAVIS SCOTT|2015-09-26|75|16|26|20151212,,,,,
21|24|1|55|Uptown Funk!|MARK RONSON featuring BRUNO MARS|2014-11-29|65|1|55|20151212,,,,,
22|NEW|22|1|When We Were Young|ADELE|2015-12-12|22|14|20|20151212,,,,,
23|27|15|15|Hit The Quan|ILOVEMEMPHIS|2015-09-05|41|15|20|20151212,,,,,
24|20|6|19|Locked Away|R. CITY featuring ADAM LEVINE|2015-08-08|85|6|27|20151212,,,,,
25|28|25|12|White Iverson|POST MALONE|2015-09-26|84|14|30|20151212,,,,,
26|29|2|45|Trap Queen|FETTY WAP|2015-02-07|86|2|52|20151212,,,,,
27|37|10|6|Perfect|ONE DIRECTION|2015-11-07|10|10|20|20151212,,,,,
28|36|28|7|Confident|DEMI LOVATO|2015-10-31|58|21|19|20151212,,,,,
29|25|25|10|Die A Happy Man|THOMAS RHETT|2015-10-10|92|21|30|20151212,,,,,
30|40|3|17|Drag Me Down|ONE DIRECTION|2015-08-22|3|3|20|20151212,,,,,
31|19|19|4|I'll Show You|JUSTIN BIEBER|2015-11-21|51|19|12|20151212,,,,,
32|34|8|39|Where Are U Now|SKRILLEX & DIPLO featuring JUSTIN BIEBER|2015-03-21|97|8|45|20151212,,,,,
33|38|33|9|Don't|BRYSON TILLER|2015-10-17|84|13|34|20151212,,,,,
34|35|28|19|Where Ya At|FUTURE featuring DRAKE|2015-08-08|68|28|25|20151212,,,,,
35|39|7|20|My Way|FETTY WAP featuring MONTY|2015-08-01|87|7|21|20151212,,,,,
36|41|1|38|See You Again|WIZ KHALIFA featuring CHARLIE PUTH|2015-03-28|100|1|52|20151212,,,,,
37|51|37|6|Say It|TORY LANEZ|2015-11-07|90|23|24|20151212,,,,,
38|26|17|33|Renegades|X AMBASSADORS|2015-05-02|99|17|35|20151212,,,,,
39|44|39|8|Break Up In A Small Town|SAM HUNT|2015-10-24|90|29|20|20151212,,,,,
40|32|5|23|Good For You|SELENA GOMEZ featuring A$AP ROCKY|2015-07-11|9|5|26|20151212,,,,,
41|33|33|21|I'm Comin' Over|CHRIS YOUNG|2015-07-25|100|33|22|20151212,,,,,
42|45|33|16|Again|FETTY WAP|2015-08-29|33|33|26|20151212,,,,,
43|47|1|32|Cheerleader|OMI|2015-05-09|95|1|35|20151212,,,,,
44|52|44|14|No Role Modelz|J. COLE|2015-09-12|91|36|24|20151212,,,,,
45|59|45|3|Bet You Can't Do It Like Me|DLOW|2015-11-28|61|45|15|20151212,,,,,
46|31|31|2|The Feeling|JUSTIN BIEBER featuring HALSEY|2015-12-05|31|31|7|20151212,,,,,
47|55|47|8|Back Up|DEJ LOAF featuring BIG SEAN|2015-10-24|83|47|18|20151212,,,,,
48|46|10|29|Photograph|ED SHEERAN|2015-05-30|92|10|30|20151212,,,,,
49|58|49|20|Burning House|CAM|2015-08-01|94|29|25|20151212,,,,,
50|50|48|7|Lay It All On Me|RUDIMENTAL featuring ED SHEERAN|2015-10-31|87|48|15|20151212,,,,,
51|62|51|6|Roses|THE CHAINSMOKERS featuring ROZES|2015-11-07|95|6|31|20151212,,,,,
52|48|27|19|How Deep Is Your Love|CALVIN HARRIS & DISCIPLES|2015-08-08|60|27|20|20151212,,,,,
53|72|53|3|Adventure Of A Lifetime|COLDPLAY|2015-11-28|55|13|20|20151212,,,,,
54|86|54|2|In The Night|THE WEEKND|2015-12-05|86|12|19|20151212,,,,,
55|97|55|2|I Know What You Did Last Summer|SHAWN MENDES & CAMILA CABELLO|2015-12-05|97|20|20|20151212,,,,,
56|57|12|14|Downtown|MACKLEMORE & RYAN LEWIS featuring ERIC NALLY, MELLE MEL, KOO|2015-09-12|94|12|20|20151212,,,
57|69|57|8|Stressed Out|TWENTY ONE PILOTS|2015-10-24|95|2|50|20151212,,,,,
58|60|58|16|Nothin' Like You|DAN + SHAY|2015-08-29|97|51|19|20151212,,,,,
59|56|43|14|Smoke Break|CARRIE UNDERWOOD|2015-09-12|43|43|17|20151212,,,,,
60|42|42|2|Mark My Words|JUSTIN BIEBER|2015-12-05|42|42|4|20151212,,,,,
61|75|61|9|Hide Away|DAYA|2015-10-17|100|23|26|20151212,,,,,
62|43|43|2|Purpose|JUSTIN BIEBER|2015-12-05|43|43|7|20151212,,,,,
63|61|59|11|Gonna|BLAKE SHELTON|2015-10-03|86|54|18|20151212,,,,,
64|65|56|11|Come Get Her|RAE SREMMURD|2015-10-03|100|56|19|20151212,,,,,
65|70|30|16|Strip It Down|LUKE BRYAN|2015-08-29|63|30|19|20151212,,,,,
66|71|66|8|The Fix|NELLY featuring JEREMIH|2015-10-24|94|62|19|20151212,,,,,
67|68|21|17|Back To Back|DRAKE|2015-08-22|21|21|20|20151212,,,,,
68|73|68|6|Gonna Know We Were Here|JASON ALDEAN|2015-11-07|92|54|15|20151212,,,,,
69|77|69|8|Stay A Little Longer|BROTHERS OSBORNE|2015-10-24|99|46|20|20151212,,,,,
70|NEW|70|1|Water Under The Bridge|ADELE|2015-12-12|70|70|1|20151212,,,,,
71|78|71|5|Exchange|BRYSON TILLER|2015-11-14|98|26|34|20151212,,,,,
72|22|22|3|WTF (Where They From)|MISSY ELLIOTT featuring PHARRELL WILLIAMS|2015-11-28|91|22|14|20151212,,,,,
73|53|53|2|Company|JUSTIN BIEBER|2015-12-05|53|53|4|20151212,,,,,
74|49|49|2|No Pressure|JUSTIN BIEBER featuring BIG SEAN|2015-12-05|49|49|4|20151212,,,,,
75|76|52|10|Big Rings|DRAKE & FUTURE|2015-10-10|75|52|20|20151212,,,,,
76|63|63|11|Blase|TY DOLLA $IGN featuring FUTURE & RAE SREMMURD|2015-10-03|85|63|18|20151212,,,,,
77|NEW|77|1|Used To Love You|GWEN STEFANI|2015-12-12|77|52|8|20151212,,,,,
78|54|54|2|No Sense|JUSTIN BIEBER featuring TRAVIS SCOTT|2015-12-05|54|54|3|20151212,,,,,
79|NEW|79|1|Send My Love (To Your New Lover)|ADELE|2015-12-12|79|79|1|20151212,,,,,
80|66|20|4|Tennessee Whiskey|CHRIS STAPLETON|2015-11-21|23|20|4|20151212,,,,,
81|82|77|7|I Got The Boy|JANA KRAMER|2015-10-31|92|56|16|20151212,,,,,
82|85|80|7|Top Of The World|TIM McGRAW|2015-10-31|99|73|13|20151212,,,,,
83|99|83|3|My House|FLO RIDA|2015-11-28|96|4|39|20151212,,,,,
84|79|60|12|Liquor|CHRIS BROWN|2015-09-26|87|60|14|20151212,,,,,
85|89|83|4|Me, Myself & I|G-EAZY & BEBE REXHA|2015-11-21|83|7|37|20151212,,,,
86|93|79|6|Cake By The Ocean|DNCE|2015-11-07|79|9|46|20151212,,,,,
87|NEW|87|1|Remedy|ADELE|2015-12-12|87|87|1|20151212,,,,,
88|92|88|5|I Love This Life|LOCASH|2015-11-14|97|56|18|20151212,,,,,
89|67|67|2|Life Is Worth Living|JUSTIN BIEBER|2015-12-05|67|67|2|20151212,,,,,
90|80|59|17|Let Me See Ya Girl|COLE SWINDELL|2015-08-22|94|59|18|20151212,,,,,
91|NEW|91|1|Stand By You|RACHEL PLATTEN|2015-12-12|91|37|19|20151212,,,,,
92|91|58|11|Right Hand|DRAKE|2015-10-03|66|58|19|20151212,,,,,
93|84|30|16|Love Myself|HAILEE STEINFELD|2015-08-29|96|30|16|20151212,,,,,
94|NEW|94|1|Dibs|KELSEA BALLERINI|2015-12-12|94|58|14|20151212,,,,,
95|NEW|95|1|Ginza|J BALVIN|2015-12-12|95|95|1|20151212,,,,,
96|95|57|10|RGF Island|FETTY WAP|2015-10-10|61|57|10|20151212,,,,,
97|NEW|97|1|Home Alone Tonight|LUKE BRYAN featuring KAREN FAIRCHILD|2015-12-12|97|38|19|20151212,,,,,
98|NEW|98|1|Best Friend|YOUNG THUG|2015-12-12|98|45|20|20151212,,,,,
99|NEW|99|1|Play No Games|BIG SEAN featuring CHRIS BROWN & TY DOLLA $IGN|2015-12-12|99|89|11|20151212,,,,,
100|NEW|100|1|Rich $ex|FUTURE|2015-12-12|100|100|1|20151212,,,,,
1|1|1|4|Hello|ADELE|2015-11-14|1|1|26|20151205,,,,,
2|3|2|4|Sorry|JUSTIN BIEBER|2015-11-14|2|1|42|20151205,,,,,
3|2|2|16|Hotline Bling|DRAKE|2015-08-22|66|2|36|20151205,,,,,
4|NEW|4|1|Love Yourself|JUSTIN BIEBER|2015-12-05|4|1|41|20151205,,,,,
5|6|1|12|What Do You Mean?|JUSTIN BIEBER|2015-09-19|1|1|31|20151205,,,,,
6|4|1|26|The Hills|THE WEEKND|2015-06-13|20|1|48|20151205,,,,,
7|5|4|26|Stitches|SHAWN MENDES|2015-06-13|89|4|52|20151205,,,,,
8|7|4|21|679|FETTY WAP featuring REMY BOYZ|2015-07-18|34|4|40|20151205,,,,,
9|8|5|12|Wildest Dreams|TAYLOR SWIFT|2015-09-19|15|5|26|20151205,,,,,
10|11|10|16|Here|ALESSIA CARA|2015-08-22|95|5|34|20151205,,,,,
11|9|9|20|Like I'm Gonna Lose You|MEGHAN TRAINOR featuring JOHN LEGEND|2015-07-25|95|8|39|20151205,,,,,
12|10|10|20|Ex's & Oh's|ELLE KING|2015-07-25|96|10|38|20151205,,,,,
13|14|13|10|Same Old Love|SELENA GOMEZ|2015-10-03|43|5|28|20151205,,,,,
14|13|7|3|Focus|ARIANA GRANDE|2015-11-21|7|7|13|20151205,,,,,
15|15|15|9|On My Mind|ELLIE GOULDING|2015-10-10|22|13|22|20151205,,,,,
16|16|12|9|Jumpman|DRAKE & FUTURE|2015-10-10|52|12|32|20151205,,,,,
17|12|1|24|Can't Feel My Face|THE WEEKND|2015-06-27|24|1|41|20151205,,,,,
18|18|3|39|Watch Me|SILENTO|2015-03-14|98|3|51|20151205,,,,,
19|27|19|3|I'll Show You|JUSTIN BIEBER|2015-11-21|51|19|12|20151205,,,,,
20|17|6|18|Locked Away|R. CITY featuring ADAM LEVINE|2015-08-08|85|6|27|20151205,,,,,
21|19|4|33|Lean On|MAJOR LAZER x DJ SNAKE featuring M0|2015-04-25|100|4|48|20151205,,,,,
22|91|22|2|WTF (Where They From)|MISSY ELLIOTT featuring PHARRELL WILLIAMS|2015-11-28|91|22|14|20151205,,,,,
23|24|23|11|Antidote|TRAVIS SCOTT|2015-09-26|75|16|26|20151205,,,,,
24|36|1|54|Uptown Funk!|MARK RONSON featuring BRUNO MARS|2014-11-29|65|1|55|20151205,,,,,
25|25|25|9|Die A Happy Man|THOMAS RHETT|2015-10-10|92|21|30|20151205,,,,,
26|21|17|32|Renegades|X AMBASSADORS|2015-05-02|99|17|35|20151205,,,,,
27|23|15|14|Hit The Quan|ILOVEMEMPHIS|2015-09-05|41|15|20|20151205,,,,,
28|28|28|11|White Iverson|POST MALONE|2015-09-26|84|14|30|20151205,,,,,
29|22|2|44|Trap Queen|FETTY WAP|2015-02-07|86|2|52|20151205,,,,,
30|NEW|30|1|Great Is Thy Faithfulness|JORDAN SMITH|2015-12-05|30|30|1|20151205,,,,,
31|NEW|31|1|The Feeling|JUSTIN BIEBER featuring HALSEY|2015-12-05|31|31|7|20151205,,,,,
32|26|5|22|Good For You|SELENA GOMEZ featuring A$AP ROCKY|2015-07-11|9|5|26|20151205,,,,,
33|44|33|20|I'm Comin' Over|CHRIS YOUNG|2015-07-25|100|33|22|20151205,,,,,
34|49|8|38|Where Are U Now|SKRILLEX & DIPLO featuring JUSTIN BIEBER|2015-03-21|97|8|45|20151205,,,,,
35|31|28|18|Where Ya At|FUTURE featuring DRAKE|2015-08-08|68|28|25|20151205,,,,,
36|32|31|6|Confident|DEMI LOVATO|2015-10-31|58|21|19|20151205,,,,,
37|40|10|5|Perfect|ONE DIRECTION|2015-11-07|10|10|20|20151205,,,,,
38|42|38|8|Don't|BRYSON TILLER|2015-10-17|84|13|34|20151205,,,,,
39|35|7|19|My Way|FETTY WAP featuring MONTY|2015-08-01|87|7|21|20151205,,,,,
40|29|3|16|Drag Me Down|ONE DIRECTION|2015-08-22|3|3|20|20151205,,,,,
41|33|1|37|See You Again|WIZ KHALIFA featuring CHARLIE PUTH|2015-03-28|100|1|52|20151205,,,,,
42|NEW|42|1|Mark My Words|JUSTIN BIEBER|2015-12-05|42|42|4|20151205,,,,,
43|NEW|43|1|Purpose|JUSTIN BIEBER|2015-12-05|43|43|7|20151205,,,,,
44|43|42|7|Break Up In A Small Town|SAM HUNT|2015-10-24|90|29|20|20151205,,,,,
45|41|33|15|Again|FETTY WAP|2015-08-29|33|33|26|20151205,,,,,
46|37|10|28|Photograph|ED SHEERAN|2015-05-30|92|10|30|20151205,,,,,
47|34|1|31|Cheerleader|OMI|2015-05-09|95|1|35|20151205,,,,,
48|38|27|18|How Deep Is Your Love|CALVIN HARRIS & DISCIPLES|2015-08-08|60|27|20|20151205,,,,,
49|NEW|49|1|No Pressure|JUSTIN BIEBER featuring BIG SEAN|2015-12-05|49|49|4|20151205,,,,,
50|48|48|6|Lay It All On Me|RUDIMENTAL featuring ED SHEERAN|2015-10-31|87|48|15|20151205,,,,,
51|57|51|5|Say It|TORY LANEZ|2015-11-07|90|23|24|20151205,,,,,
52|50|50|13|No Role Modelz|J. COLE|2015-09-12|91|36|24|20151205,,,,,
53|NEW|53|1|Company|JUSTIN BIEBER|2015-12-05|53|53|4|20151205,,,,,
54|NEW|54|1|No Sense|JUSTIN BIEBER featuring TRAVIS SCOTT|2015-12-05|54|54|3|20151205,,,,,
55|54|54|7|Back Up|DEJ LOAF featuring BIG SEAN|2015-10-24|83|47|18|20151205,,,,,
56|46|43|13|Smoke Break|CARRIE UNDERWOOD|2015-09-12|43|43|17|20151205,,,,,
