date,url,venue,artist
"<time datetime=""2017-02-05T13:00:00-0500""></time>",https://www.songkick.com/metro_areas/9776-us-miami,Punch,MIICHII
"<time datetime=""2017-02-07T21:00:00-0500""></time>",https://www.songkick.com/metro_areas/9776-us-miami,Gramps,Parquet Courts
"<time datetime=""2017-02-04T21:00:00-0500""></time>",https://www.songkick.com/metro_areas/18842-us-boston-cambridge,Great Scott,Priests - DC
"<time datetime=""2017-02-04T21:00:00-0500""></time>",https://www.songkick.com/metro_areas/18842-us-boston-cambridge,Atwood's Tavern,Vapors of Morphine
"<time datetime=""2017-02-04T20:00:00-0500""></time>",https://www.songkick.com/metro_areas/18842-us-boston-cambridge,O'Brien's Pub,"Rebuilder, The City Limits, In The Pines, and Dan Webb and the Spiders"
"<time datetime=""2017-02-04T19:15:00-0500""></time>",https://www.songkick.com/metro_areas/18842-us-boston-cambridge,"Jordan Hall, New England Conservatory",Susanna Phillips
"<time datetime=""2017-02-04""></time>",https://www.songkick.com/metro_areas/18842-us-boston-cambridge,Center for Arts at the Armory,Le Prestige
"<time datetime=""2017-02-04T19:00:00-0500""></time>",https://www.songkick.com/metro_areas/18842-us-boston-cambridge,Club Passim,Long is the Walk
"<time datetime=""2017-02-03T19:00:00-0500""></time>",https://www.songkick.com/metro_areas/7644-us-new-york,The Hall at MP,Milo
"<time datetime=""2017-02-03T20:30:00-0500""></time>",https://www.songkick.com/metro_areas/7644-us-new-york,Rockwood Music Hall Stage 2,Leona Naess
"<time datetime=""2017-02-03T20:00:00-0500""></time>",https://www.songkick.com/metro_areas/7644-us-new-york,C'mon Everybody,Sulene
"<time datetime=""2017-02-03T19:00:00-0500""></time>",https://www.songkick.com/metro_areas/7644-us-new-york,Brooklyn Bazaar,"Cities Aviv, Bigg Dogg, Mike (NY), Yo Chill, and Chip Skylark"
"<time datetime=""2017-02-03T20:00:00-0500""></time>",https://www.songkick.com/metro_areas/7644-us-new-york,Berlin,The Trews
"<time datetime=""2017-02-03T20:00:00-0500""></time>",https://www.songkick.com/metro_areas/7644-us-new-york,Union Pool,79.5 and Open House
"<time datetime=""2017-02-03""></time>",https://www.songkick.com/metro_areas/7644-us-new-york,Terra Blues Bar Restaurant & Music,Son of Dave
"<time datetime=""2017-02-04""></time>",https://www.songkick.com/metro_areas/11104-us-nashville,Franklin Theatre,Ricky Skaggs and Kentucky Thunder
"<time datetime=""2017-02-04T21:00:00-0600""></time>",https://www.songkick.com/metro_areas/11104-us-nashville,High Watt,Ron Gallo
"<time datetime=""2017-02-04T21:00:00-0600""></time>",https://www.songkick.com/metro_areas/11104-us-nashville,12th and Porter,Big Something
"<time datetime=""2017-02-04T20:00:00-0600""></time>",https://www.songkick.com/metro_areas/11104-us-nashville,The Warehouse,Hillbilly Casino
