ground_strikes_landed,strikes_avoided_pct,attempted_strikes,weight,passes,hometown,age,reach,leg_reach,fighter_name,submissions,takedowns_defended_pct,successful_takedowns,attempted_takedowns,sweeps,fight_out_of,height,standing_strikes_landed,fight_record,other_strikes_landed
6,61,374,155 lb ( 70 kg ),11,Rio de Janeiro Brazil,37,"75""","42""",leonardo-santos,2,87,5,20,0,"Campos, Rio de Janeiro Brazil","6' 0"" ( 182 cm )",113,16-4-1,32
6,57,270,125 lb ( 56 kg ),1,"Escada, Pernambuco Brazil",36,"66""",None,iliarde-Santos,0,83,3,13,0,"Belem, Para Brazil","5' 5"" ( 165 cm )",71,None,4
25,57,115,185 lb ( 84 kg ),13,Bahia Brazil,29,"69""",None,bruno-Santos,1,67,9,24,0,Bahia Brazil,"5' 9"" ( 175 cm )",25,None,3
35,69,391,155 lb ( 70 kg ),2,"Green River, WY USA",34,"70""",None,justin-Salas,0,N/A		,8,39,0,"Green River, WY USA","5' 8"" ( 172 cm )",113,None,21
18,77,240,185 lb ( 84 kg ),8,"Toronto, Canada USA",46,None,None,ivan-Salaverry,10,37,2,10,1,None,"6' 0"" ( 182 cm )",81,None,16
,,,None,,USA,None,None,None,adriano-Santos,,,,,,None,None,,None,
None,59,12,169 lb ( 76 kg ),0,"Tokyo, Japan USA",41,None,None,hayato-Sakurai,0,57,0,0,0,None,"5' 8"" ( 172 cm )",None,None,None
,,,None,,USA,None,None,None,kazushi-Sakuraba,,,,,,None,None,,None,
56,59,626,185 lb ( 84 kg ),4,Rome Italy,35,"72""",None,alessio-Sakara,0,63,11,14,2,"Miami, FL USA","6' 0"" ( 182 cm )",133,None,110
4,58,170,155 lb ( 70 kg ),3,Gdansk Poland,26,"71""","39""",lukasz-Sajewski,0,67,2,8,0,Gdansk Poland,"5' 8"" ( 172 cm )",50,13-3-0,7
42,46,820,205 lb ( 93 kg ),10,"Immokalee, Florida United States",33,"80""","45""",ovince-St-Preux,2,64,8,22,1,"Knoxville, Tennessee United States","6' 3"" ( 190 cm )",252,19-10-0,52
24,53,203,170 lb ( 77 kg ),2,Shandong China,31,"72""",None,sai-Wang,0,78,0,2,2,Beijing China,"6' 0"" ( 182 cm )",50,None,21
4,51,313,155 lb ( 70 kg ),20,Toronto Canada,31,"71""","40""",jason-Saggo,0,20,9,23,2,"Charlottetown, Prince Edward Island Canada","5' 11"" ( 180 cm )",72,12-3-0,50
37,63,645,170 lb ( 77 kg ),7,Brussels Belgium,30,"70""","42""",tarec-Saffiedine,1,85,3,11,0,"Brussels, Belgium USA","5' 10"" ( 177 cm )",257,16-6-0,6
None,44,131,205 lb ( 93 kg ),0,Dagestan Russia,30,"78""","41""",saparbek-safarov,0,N/A		,0,2,0,Makhachkala Russia,"6' 1"" ( 185 cm )",2,8-1-0,None
115,53,765,135 lb ( 61 kg ),4,"Phoenix, Arizona USA",36,"66""","38""",frankie-Saenz,1,69,10,30,2,"Scottsdale, Arizona USA","5' 6"" ( 167 cm )",191,11-5-0,36
149,61,1336,170 lb ( 77 kg ),7,"Brooklyn, New York USA",36,"74""",None,amir-Sadollah,3,61,5,18,0,"Richmond, VA USA","5' 11"" ( 180 cm )",420,None,52
,,,None,,USA,None,None,None,bas-Rutten,,,,,,None,None,,None,
13,60,208,255 lb ( 115 kg ),5,"Kankakee, Illinois USA",40,None,None,mike-Russow,2,N/A		,18,42,1,"Chicago, IL USA","6' 1"" ( 185 cm )",57,None,28
None,48,12,155 lb ( 70 kg ),0,USA,None,None,None,eddie-Ruiz,0,N/A		,2,16,2,None,"5' 7"" ( 170 cm )",1,None,None
,,,None,,None,None,None,None,anthony-Ruiz,,,,,,None,None,,None,
,,,None,,None,None,None,None,don-Rugebreght,,,,,,None,None,,None,
9,41,80,155 lb ( 70 kg ),3,"Topanga Canyon, CA USA",39,None,None,gabe-Ruediger,0,29,2,18,0,"Van Nuys, CA USA","5' 10"" ( 177 cm )",12,None,4
29,56,308,170 lb ( 77 kg ),4,Rio de Janeiro Brazil,36,None,None,jorge-Santiago,3,52,2,8,1,"Coconut Creek, Florida USA","6' 1"" ( 185 cm )",67,None,8
,,,125 lb ( 56 kg ),,None,32,None,None,sean-santella,,,,,,None,"5' 5"" ( 165 cm )",,"15-5-1, 1NC",
14,52,135,125 lb ( 56 kg ),4,Mountain Province Philippines,26,"65""",None,roldan-Sangcha-an,0,69,3,5,1,Baguio City Philippines,"5' 4"" ( 162 cm )",45,4-2-0,4
None,18,2,None,0,None,None,None,None,chris-Sanford,1,N/A		,0,0,0,None,None,None,None,None
None,61,7,135 lb ( 61 kg ),0,"Amarillo, Texas USA",30,None,None,joseph-Sandoval,0,N/A		,0,0,0,"Lubbock, Texas USA","5' 7"" ( 170 cm )",None,None,None
None,73,80,125 lb ( 56 kg ),1,"Uruapan, Michoacan Mexico",30,"64""","36""",hector-sandoval,2,77,2,12,1,"Sacramento, California USA","5' 2"" ( 157 cm )",13,13-3-0,None
None,59,48,145 lb ( 65 kg ),1,"Brenham, Texas United States",31,"67""","36""",luke-Sanders,1,N/A		,0,0,0,"Nashville, Tennessee United States","5' 6"" ( 167 cm )",2,11-0-0,None
None,35,3,170 lb ( 77 kg ),0,"Oskaloosa, Iowa USA",36,None,None,jesse-Sanders,0,50,0,0,0,None,"6' 0"" ( 182 cm )",None,None,None
4,47,37,135 lb ( 61 kg ),9,"El Reno, OK USA",37,"72""","39""",jerrod-Sanders,3,50,4,12,3,"Oklahoma City, OK USA","5' 8"" ( 172 cm )",7,None,13
10,67,451,125 lb ( 56 kg ),5,"Albuquerque, New Mexico USA",25,"68""","39""",joby-sanchez,1,38,2,3,1,"Albuquerque, New Mexico USA","5' 6"" ( 167 cm )",107,7-2-0,16
78,43,423,230 lb ( 104 kg ),8,"La Jolla, California USA",34,None,None,eddie-Sanchez,0,43,4,15,1,None,"6' 2"" ( 187 cm )",71,None,34
96,58,2478,155 lb ( 70 kg ),37,"Albuquerque, New Mexico USA",35,"72""","40""",diego-Sanchez,18,51,28,146,3,"Albuquerque, New Mexico USA","5' 10"" ( 177 cm )",541,29-9-0,246
19,55,247,185 lb ( 84 kg ),5,"Belleville, Illinois USA",28,"73""",None,andrew-sanchez,0,100,6,12,0,"Fairfield, New Jersey USA","6' 1"" ( 185 cm )",65,10-2-0,21
10,56,233,125 lb ( 56 kg ),8,"Las Vegas, Nevada USA",32,"66""",None,josh-Sampo,6,40,3,9,1,"St. Charles, Missouri USA","5' 4"" ( 162 cm )",64,None,11
None,50,5,170 lb ( 77 kg ),0,None,None,None,None,johnny-Sampaio,1,N/A		,1,2,0,None,"5' 8"" ( 172 cm )",None,None,None
36,35,163,185 lb ( 84 kg ),3,"Orlando, Florida USA",28,"79""","43""",josh-Samman,1,33,3,9,1,"Tallahassee, Florida USA","6' 3"" ( 190 cm )",36,12-5-0,14
5,69,131,185 lb ( 84 kg ),2,"Birmingham, Alabama USA",31,None,None,john-Salter,0,67,4,10,0,None,"6' 1"" ( 185 cm )",25,None,1
2,65,29,205 lb ( 93 kg ),2,"Milwaukee, WI USA",39,None,None,sean-Salmon,0,N/A		,2,4,0,None,"5' 10"" ( 177 cm )",2,None,7
,,,None,,None,None,None,None,joe-Salcido,,,,,,None,None,,None,
2,84,86,185 lb ( 84 kg ),6,"Detroit, Michigan USA",40,None,None,brendan-Seguin,0,100,5,8,0,None,"6' 0"" ( 182 cm )",7,None,30
31,63,653,125 lb ( 56 kg ),2,Dublin Ireland,37,"64""","38""",neil-Seery,10,55,5,16,3,Dublin Ireland,"5' 4"" ( 162 cm )",191,16-12-0,40
34,61,545,135 lb ( 61 kg ),31,"Spartanburg, South Carolina USA",24,"66""","39""",justin-Scoggins,3,85,22,33,0,"Spartanburg, South Carolina USA","5' 7"" ( 170 cm )",178,11-3-0,78
40,59,453,185 lb ( 84 kg ),3,Bath England,27,"76""","44""",brad-scott,3,72,2,13,1,Melksham England,"6' 1"" ( 185 cm )",147,11-4-0,10
,,,None,,None,None,None,None,ryan-Schultz,,,,,,None,None,,None,
,,,None,,USA,None,None,None,mark-Schultz,,,,,,None,None,,None,
,,,None,,None,None,None,None,thomas-Schulte,,,,,,None,None,,None,
,,,None,,USA,None,None,None,nate-Schroeder,,,,,,None,None,,None,
7,39,48,250 lb ( 113 kg ),2,Karlsruhe US Military base Germany,31,None,None,darrill-Schoonover,1,50,0,3,1,None,"6' 2"" ( 187 cm )",6,None,3
None,43,4,205 lb ( 93 kg ),0,El Bolson Argentina,None,None,None,alex-Schoenauer,0,22,0,0,0,None,"6' 3"" ( 190 cm )",None,None,None
None,58,40,236 lb ( 107 kg ),0,"Evansville, Indiana USA",36,None,None,josh-Schockman,0,23,0,0,0,None,"6' 4"" ( 193 cm )",None,None,None
None,21,33,135 lb ( 61 kg ),0,"Shreveport, Louisiana USA",27,None,"72""",matt-schnell,0,N/A		,0,0,0,"Coconut Creek, Florida USA","5' 8"" ( 172 cm )",None,10-3-0,None
2,54,27,256 lb ( 116 kg ),0,"Rotterdam, Holland USA",43,None,None,semmy-Schilt,0,47,0,0,0,None,"6' 11"" ( 210 cm )",12,None,2
None,53,115,145 lb ( 65 kg ),0,"Saint Paul, Minnesota USA",28,None,None,pat-Schilling,0,N/A		,0,17,0,"Eagan, Minnesota USA","5' 8"" ( 172 cm )",None,None,None
6,38,78,155 lb ( 70 kg ),0,Avignon France,41,None,None,samy-Schiavo,1,67,1,2,0,None,"5' 7"" ( 170 cm )",14,None,7
4,38,57,245 lb ( 111 kg ),2,Florianopolis Brazil,42,None,None,fabiano-Scherner,0,40,1,3,1,None,"6' 3"" ( 190 cm )",10,None,4
60,57,602,245 lb ( 111 kg ),10,"Aurora, Colorado USA",33,"78""",None,brendan-Schaub,2,73,12,26,1,"Los Angeles, California USA","6' 4"" ( 193 cm )",116,None,51
None,55,102,185 lb ( 84 kg ),12,"Panorama City, CA USA",38,None,None,eric-Schambari,2,N/A		,6,14,2,None,"5' 11"" ( 180 cm )",30,None,None
None,63,68,265 lb ( 120 kg ),0,"Terre Haute, IN. USA",45,None,None,kerry-Schall,0,N/A		,0,0,0,None,"6' 3"" ( 190 cm )",None,None,None
15,56,341,125 lb ( 56 kg ),3,"Sioux Falls, South Dakota USA",28,"65""","39""",ben-nguyen,3,67,0,2,2,Brisbane Australia,"5' 5"" ( 165 cm )",118,16-6-0,14
,,,None,,USA,None,None,None,flavio-Moura,,,,,,None,None,,None,
3,57,306,135 lb ( 61 kg ),1,"Granada Hills, California United ",25,"72""","39""",albert-Morales,0,83,1,3,0,"Reseda, California United States","5' 9"" ( 175 cm )",93,6-0-1,1
2,45,28,169 lb ( 76 kg ),0,USA,46,None,None,jutaro-Nakao,0,56,0,1,0,None,"5' 9"" ( 175 cm )",8,None,2
,,,None,,None,None,None,None,JJ-Mix,,,,,,None,None,,None,
7,51,74,204 lb ( 92 kg ),19,"Salt Lake City, Utah USA",37,None,None,phillip-Miller,1,100,6,24,1,None,"6' 0"" ( 182 cm )",8,None,25
26,69,832,145 lb ( 65 kg ),14,"Hanford, California USA",31,"66""","37""",chad-Mendes,3,100,42,77,1,"Sacramento, California USA","5' 6"" ( 167 cm )",260,17-4-0,123
5,41,46,155 lb ( 70 kg ),2,"San Diego, CA USA",None,None,None,greg-McIntyre,0,N/A		,6,12,0,None,"5' 10"" ( 177 cm )",5,None,4
9,33,65,255 lb ( 115 kg ),1,"Santa Clara, CA USA",35,"80""",None,jack-May,0,20,1,3,1,"Fullerton, CA USA","6' 8"" ( 203 cm )",13,None,3
80,48,361,205 lb ( 93 kg ),1,"Sacramento, California USA",36,"79""","43""",jimi-Manuwa,2,63,3,12,0,London England,"6' 1"" ( 185 cm )",132,16-2-0,3
26,49,342,155 lb ( 70 kg ),12,"Palos Heights, Illinois USA",27,"73""","41""",tony-Martin,5,50,7,29,0,"Boston, Massachusetts USA","6' 0"" ( 182 cm )",111,11-3-0,10
None,68,200,155 lb ( 70 kg ),0,Rio de Janeiro Brazil,35,None,None,bernardo-Magalhaes,1,N/A		,0,18,1,Sydney Australia,"5' 9"" ( 175 cm )",None,None,None
4,40,39,205 lb ( 93 kg ),1,"Indianapolis, Indiana USA",43,None,None,matt-Lucas,0,N/A		,1,10,0,"Mesa, Arizona USA","6' 1"" ( 185 cm )",14,None,1
63,55,1854,135 lb ( 61 kg ),4,"Paranagua, Parana Brazil",26,"67""","36""",john-Lineker,6,67,6,10,1,"Paranagua, Parana Brazil","5' 3"" ( 160 cm )",581,29-8-0,81
28,51,296,265 lb ( 120 kg ),18,"Webster, South Dakota USA",39,"81""","44""",brock-Lesnar,2,60,15,28,0,"Regina, Saskatchewan Canada","6' 3"" ( 190 cm )",31,6-3-0,154
90,57,1097,145 lb ( 65 kg ),14,"Chicago, Illinois USA",34,"71""","39""",ricardo-Lamas,13,45,20,64,6,"Chicago, Illinois USA","5' 8"" ( 172 cm )",296,17-5-0,76
None,62,587,155 lb ( 70 kg ),2,"Salvador, Bahia Brazil",31,"73""","42""",valmir-Lazaro,0,96,4,10,0,Rio de Janeiro Brazil,"6' 0"" ( 182 cm )",19,None,None
,,,225 lb ( 102 kg ),,"Los Angeles, CA USA",51,None,None,tim-Lajcik,,,,,,None,"6' 1"" ( 185 cm )",,None,
None,57,141,115 lb ( 52 kg ),0,Turku Finland,28,"62""",None,tina-Lahdemaki,0,17,0,0,0,Hyvinkaa Finland,"5' 2"" ( 157 cm )",3,5-1-0,None
30,64,226,145 lb ( 65 kg ),12,"Alfei Menashe, Samaria Israel",32,"69""","38""",noad-Lahat,6,17,6,23,4,"San Jose, California USA","5' 9"" ( 175 cm )",51,None,25
64,63,843,170 lb ( 77 kg ),20,"Lindenhurst, New York United States",33,"74""","42""",ryan-LaFlare,2,59,19,34,4,"Farmingdale, New York United States","6' 1"" ( 185 cm )",210,12-1-0,60
,,,None,,None,None,None,None,jarrod-Kwitty,,,,,,None,None,,None,
16,55,46,205 lb ( 93 kg ),1,None,None,None,None,mike-kyle,1,50,1,2,0,"San Jose, California USA",None,7,None,7
None,39,128,135 lb ( 61 kg ),0,Seoul South Korea,27,"70""","39""",kwan-ho-kwak,0,27,0,0,0,Seoul South Korea,"5' 7"" ( 170 cm )",9,9-1-0,None
,,,155 lb ( 70 kg ),,"Linton, North Dakota USA",33,"74""","41""",leo-Kuntz,,,,,,"Coconut Creek, Florida USA","5' 10"" ( 177 cm )",,None,
20,38,153,170 lb ( 77 kg ),5,Osaka Japan,35,"71""",None,kiichi-Kunimoto,1,25,3,20,0,Osaka Japan,"5' 10"" ( 177 cm )",41,"18-6-2, 1NC",2
None,57,10,235 lb ( 106 kg ),1,"Nigata, Japan Japan",41,None,None,keigo-Kunihara,1,100,2,5,0,None,"6' 0"" ( 182 cm )",None,None,None
,,,None,,None,None,None,None,alex-Kung,,,,,,None,None,,None,
17,67,223,155 lb ( 70 kg ),4,Parnu Estonia,32,"72""",None,anton-Kuivanen,1,71,3,3,2,Helsinki Finland,"5' 8"" ( 172 cm )",52,None,16
113,45,438,205 lb ( 93 kg ),6,Donetsk Ukraine,24,"77""","44""",nikita-Krylov,5,42,1,6,3,Donetsk Ukraine,"6' 3"" ( 190 cm )",109,21-5-0,45
20,54,195,185 lb ( 84 kg ),5,Rotterdam The Netherlands,27,None,None,michael-Kuiper,0,79,5,9,1,Helmond The Netherlands,"6' 0"" ( 182 cm )",60,None,27
,,,205 lb ( 93 kg ),,Stockholm Sweden,42,None,None,jorgen-Kruth,,,,,,Stockholm Sweden,"6' 2"" ( 187 cm )",,None,
26,60,879,155 lb ( 70 kg ),5,"Newport News, Virginia USA",30,"73""","40""",james-Krause,4,27,7,40,2,"Lee's Summit, Missouri USA","6' 2"" ( 187 cm )",349,23-7-0,6
60,59,561,170 lb ( 77 kg ),7,Breisach Germany,29,"72""",None,pascal-Krauss,3,60,5,10,0,Freiburg Germany,"6' 1"" ( 185 cm )",176,11-2-0,31
98,54,892,115 lb ( 52 kg ),5,Lodz Poland,31,"65""",None,karolina-kowalkiewicz,0,87,0,2,0,Lodz Poland,"5' 3"" ( 160 cm )",204,10-1-0,17
4,50,176,155 lb ( 70 kg ),4,Kanagawa Japan,35,"66""",None,naoyuki-Kotani,3,47,3,18,3,Kanagawa Japan,"5' 8"" ( 172 cm )",40,None,11
5,68,247,145 lb ( 65 kg ),0,"Corona, California USA",26,None,None,justin-Lawrence,0,73,2,7,0,"Pacific, Missouri USA","5' 8"" ( 172 cm )",78,None,3
77,61,575,205 lb ( 93 kg ),6,"Fall River, MA USA",33,"74""","41""",tom-Lawlor,9,58,16,50,0,"Las Vegas, Nevada USA","6' 0"" ( 182 cm )",120,"10-6-0, 1NC",47
143,63,1779,170 lb ( 77 kg ),11,"San Diego, California USA",34,"74""","39""",robbie-Lawler,0,67,16,20,3,"Coconut Creek, Florida USA","5' 11"" ( 180 cm )",581,"27-11-0, 1NC",97
86,58,1269,155 lb ( 70 kg ),62,"Brockton, Massachusetts USA",32,"71""","40""",joe-Lauzon,28,55,28,64,8,"Bridgewater, Massachusetts USA","5' 10"" ( 177 cm )",261,27-13-0,138
7,62,122,155 lb ( 70 kg ),2,"Brockton, Massachusetts USA",28,None,None,dan-Lauzon,0,80,3,7,0,None,"5' 10"" ( 177 cm )",21,None,7
None,77,109,125 lb ( 56 kg ),0,"Concepcion, Iloilo Philippines",28,None,None,jenel-lausa,1,83,1,1,0,Manila Philippines,"5' 5"" ( 165 cm )",3,7-2-0,None
,,,None,,USA,None,None,None,sione-Latu,,,,,,None,None,,None,
10,53,244,205 lb ( 93 kg ),2,Malmo Sweden,33,"73""",None,ilir-Latifi,2,100,6,22,0,Malmo Sweden,"5' 10"" ( 177 cm )",65,"13-5-0, 1NC",9
26,56,202,170 lb ( 77 kg ),11,"Brainerd, Minnesota USA",39,None,None,brock-Larson,9,43,12,35,0,None,"5' 11"" ( 180 cm )",24,None,44
10,57,182,145 lb ( 65 kg ),0,"Tucson, AZ USA",32,None,None,jeremy-Larsen,0,N/A		,3,9,0,"Phoenix, AZ USA","5' 10"" ( 177 cm )",73,None,5
75,64,876,170 lb ( 77 kg ),2,"Riverside, California USA",30,"72""","41""",lorenz-Larkin,0,79,1,4,2,"Riverside, California USA","5' 11"" ( 180 cm )",293,"18-5-0, 1NC",23
None,29,13,235 lb ( 106 kg ),0,"Quebec City, Quebec Canada",36,None,None,icho-Larenas,0,14,0,0,0,None,"6' 3"" ( 190 cm )",None,None,None
None,67,29,170 lb ( 77 kg ),1,"Fort Wayne, IN USA",36,"71""",None,anthony-Lapsley,0,20,0,5,1,"Indianapolis, IN USA","5' 9"" ( 175 cm )",5,None,None
19,63,695,155 lb ( 70 kg ),5,"Chatham, Ontario Canada",30,"71""","39""",chad-laprise,0,79,4,8,0,"Chatham, Ontario Canada","5' 10"" ( 177 cm )",268,12-2-0,6
65,61,427,135 lb ( 61 kg ),0,Paris France,24,"73""","43""",taylor-lapilus,2,81,2,5,1,Paris France,"5' 6"" ( 167 cm )",113,11-2-0,16
None,34,23,140 lb ( 63 kg ),0,Karlstad Sweden,34,None,None,lina-lansberg,0,N/A		,0,1,0,Malmo Sweden,"5' 7"" ( 170 cm )",13,6-1-0,None
3,42,24,185 lb ( 84 kg ),7,"Springfield, MN USA",None,None,None,jeremy-Lang,3,N/A		,3,5,0,None,"5' 11"" ( 180 cm )",3,None,6
48,51,246,185 lb ( 84 kg ),8,"Long Beach, California USA",39,None,None,jason-Lambert,7,29,4,11,0,None,"5' 10"" ( 177 cm )",14,None,81
,,,184 lb ( 83 kg ),,USA,None,None,None,jose-Landi-Jons,,,,,,None,None,,None,
None,30,6,250 lb ( 113 kg ),2,USA,49,None,None,kimo-Leopoldo,1,N/A		,1,1,0,None,"6' 1"" ( 185 cm )",2,None,None
,,,None,,USA,None,None,None,alberto-Cerro-Leon,,,,,,None,"6' 3"" ( 190 cm )",,None,
153,50,1435,155 lb ( 70 kg ),48,"El Paso, Texas United States",32,"68""","38""",nik-Lentz,20,47,59,159,0,"Coconut Creek, Florida United States","5' 8"" ( 172 cm )",392,"29-7-2, 1NC",167
28,65,412,170 lb ( 77 kg ),5,"Cedar Rapids, IA USA",34,None,None,jesse-Lennox,1,64,4,6,1,None,"5' 9"" ( 175 cm )",87,None,17
49,54,1053,185 lb ( 84 kg ),61,Rio de Janeiro Brazil,35,"78""","41""",thales-Leites,17,40,31,109,0,Rio de Janeiro Brazil,"6' 1"" ( 185 cm )",249,26-7-0,115
,,,None,,USA,None,None,None,christophe-Leininger,,,,,,None,None,,None,
None,48,64,155 lb ( 70 kg ),5,"Chicago, Illinois USA",None,None,None,sherron-Leggett,0,33,4,5,0,None,"5' 8"" ( 172 cm )",32,None,None
40,70,546,135 lb ( 61 kg ),2,Birmingham England,34,"66""",None,vaughan-Lee,5,72,4,12,0,Birmingham England,"5' 6"" ( 167 cm )",203,14-11-1,15
None,75,2,145 lb ( 65 kg ),0,"Berwyn, Illinois, Illinois USA",40,None,None,tommy-Lee,0,N/A		,1,3,0,None,"5' 8"" ( 172 cm )",None,None,None
10,44,72,145 lb ( 65 kg ),0,Taipei Taiwan,29,None,None,rocky-lee,0,33,1,10,0,Taipei Taiwan,"5' 9"" ( 175 cm )",26,None,1
62,53,862,155 lb ( 70 kg ),25,"Detroit, Michigan USA",24,"77""","39""",kevin-Lee,9,73,23,51,1,"Las Vegas, Nevada USA","5' 9"" ( 175 cm )",187,14-2-0,102
None,27,1,205 lb ( 93 kg ),0,"Detroit, MI USA",43,None,None,james-Lee,0,N/A		,2,4,0,None,"5' 11"" ( 180 cm )",None,None,None
,,,None,,USA,None,None,None,jackie-Lee,,,,,,None,None,,None,
None,42,26,155 lb ( 70 kg ),0,London England,38,None,None,david-Lee,0,50,0,4,0,None,"5' 10"" ( 177 cm )",7,None,None
3,64,241,240 lb ( 109 kg ),1,"Rosharon, Texas USA",28,"80""","43""",justin-ledet,1,100,1,1,0,"Rosharon, Texas USA","6' 4"" ( 193 cm )",112,"8-0-0, 1NC",1
9,57,47,145 lb ( 65 kg ),0,"Ft Leonard Wood, Missouri USA",34,None,None,stephen-Ledbetter,0,100,5,11,0,None,"5' 9"" ( 175 cm )",6,None,3
None,54,335,155 lb ( 70 kg ),3,"Vitry-sur-Seine, Paris France",29,"73""","39""",mickael-lebout,0,60,0,4,3,Paris France,"5' 11"" ( 180 cm )",12,"14-5-1, 1NC",None
170,52,1379,185 lb ( 84 kg ),23,"Portland, OR USA",36,"74""",None,chris-Leben,12,54,17,41,0,"San Diego, CA USA","5' 11"" ( 180 cm )",293,None,137
None,67,320,185 lb ( 84 kg ),1,Saigon Vietnam,44,None,None,cung-Le,0,89,2,3,0,"San Jose, California USA","5' 10"" ( 177 cm )",9,None,None
28,46,150,155 lb ( 70 kg ),1,"Manhattan, Kansas USA",30,"71""",None,jake-Lindsey,0,50,1,3,0,"Manhattan, Kansas USA","5' 11"" ( 180 cm )",50,None,1
,,,None,,None,None,None,None,mike-Lindquist,,,,,,None,None,,None,
105,52,554,185 lb ( 84 kg ),25,"Milwaukie, OR - USA USA",46,None,None,matt-Lindland,9,61,27,54,5,None,"6' 0"" ( 182 cm )",40,None,143
50,62,354,115 lb ( 52 kg ),4,"Belo Horizonte, MG Brazil",34,"65""","39""",juliana-Lima,0,50,9,30,3,"Belo Horizonte, MG Brazil","5' 5"" ( 165 cm )",73,9-3-0,39
4,58,187,170 lb ( 77 kg ),9,"Goiania, Goias Brazil",28,"75""",None,dhiego-lima,4,N/A		,6,9,0,"Atlanta, Georgia USA","6' 2"" ( 187 cm )",34,None,50
15,46,564,170 lb ( 77 kg ),0,Seoul South Korea,32,"77""","43""",hyun-Gyu-Lim,1,77,1,1,0,Seoul South Korea,"6' 3"" ( 190 cm )",209,13-6-1,19
None,N/A					,3,170 lb ( 77 kg ),0,USA,None,None,None,chris-Ligouri,0,50,0,0,0,None,"5' 8"" ( 172 cm )",None,None,None
None,49,5,170 lb ( 77 kg ),0,"Cedar Rapids, IA - USA USA",43,None,None,zach-Light,0,N/A		,1,1,0,None,"5' 8"" ( 172 cm )",1,None,None
55,57,1486,205 lb ( 93 kg ),0,"Santa Barbara, CA USA",47,None,None,chuck-Liddell,0,81,5,6,1,None,"6' 2"" ( 187 cm )",404,None,81
35,42,175,155 lb ( 70 kg ),2,"Evry, France France",43,None,None,jess-Liaudin,4,31,8,15,0,None,"5' 9"" ( 175 cm )",40,None,15
None,67,1,154 lb ( 70 kg ),0,USA,49,None,None,john-Lewis,0,N/A		,0,0,0,None,"6' 0"" ( 182 cm )",None,None,None
57,47,430,260 lb ( 118 kg ),13,"New Orleans, Louisiana USA",32,"79""","43""",derrick-Lewis,0,57,4,12,1,"Houston, Texas USA","6' 3"" ( 190 cm )",41,"17-4-0, 1NC",138
,,,None,,None,None,None,None,charles-Lewis,,,,,,None,None,,None,
,,,None,,USA,None,None,None,david-Levicki,,,,,,None,None,,None,
49,38,107,155 lb ( 70 kg ),3,"Minneapolis, Minnesota USA",34,None,None,marcus-LeVesseur,1,83,7,19,0,"Minneapolis, Minnesota USA","5' 9"" ( 175 cm )",16,None,4
None,41,10,185 lb ( 84 kg ),0,"Philadelphia, PA. USA",None,None,None,justin-Levens,1,33,0,1,0,None,"5' 10"" ( 177 cm )",1,None,None
,,,None,,None,None,None,None,john-Letters,,,,,,None,None,,None,
57,59,1161,125 lb ( 56 kg ),8,"Montreal, Quebec Canada",33,"68""","37""",valerie-Letourneau,2,67,5,11,1,"Coconut Creek, FL USA","5' 7"" ( 170 cm )",363,8-6-0,21
None,53,22,170 lb ( 77 kg ),0,Nuremburg Germany,32,None,None,frank-Lester,0,N/A		,0,2,0,None,"5' 11"" ( 180 cm )",6,None,None
,,,None,,USA,None,None,None,robert-Lucarelli,,,,,,None,None,,None,
7,53,156,155 lb ( 70 kg ),6,"Jefferson City, Tennessee USA",36,None,None,waylon-Lowe,1,83,14,27,0,"Philadelphia, PA USA","5' 7"" ( 170 cm )",66,None,15
None,66,119,155 lb ( 70 kg ),0,Manchester England,27,None,None,brendan-Loughnane,0,92,0,2,0,Manchester England,"5' 10"" ( 177 cm )",8,None,None
13,65,304,135 lb ( 61 kg ),4,"Portland, Oregon USA",33,None,None,ian-Loveland,1,70,3,8,1,"Portland, Oregon USA","5' 8"" ( 172 cm )",91,None,18
,,,None,,None,None,None,None,tony-Lopez,,,,,,None,None,,None,
None,62,120,155 lb ( 70 kg ),0,"South Bend, IN USA",32,None,None,steve-Lopez,0,38,0,0,0,"Las Vegas, NV","5' 11"" ( 180 cm )",2,None,None
3,43,88,135 lb ( 61 kg ),4,"Safford, Arizona USA",30,"69""","38""",matthew-lopez,3,60,6,7,2,"Lake Forest, California USA","5' 7"" ( 170 cm )",28,9-1-0,13
17,51,124,170 lb ( 77 kg ),6,"San Diego, California USA",28,None,None,jorge-Lopez,0,81,7,17,1,"Las Vegas, Nevada USA","5' 10"" ( 177 cm )",35,None,22
None,66,46,135 lb ( 61 kg ),0,Tijuana Mexico,31,None,None,ivan-Lopez,0,30,0,0,0,None,"5' 6"" ( 167 cm )",3,None,None
20,54,196,135 lb ( 61 kg ),3,Manaus Brazil,32,"65""","37""",dileno-lopes,3,100,5,16,0,Manaus Brazil,"5' 5"" ( 165 cm )",48,None,3
42,50,539,170 lb ( 77 kg ),10,Matanzas Cuba,39,"71""","38""",hector-Lombard,2,81,12,20,0,"Coconut Creek, Florida USA","5' 9"" ( 175 cm )",158,"34-6-1, 2NC",68
57,43,372,185 lb ( 84 kg ),5,"Montreal,Quebec,Canada, Quebec Canada",37,None,None,david-Loiseau,1,36,3,7,2,None,"6' 0"" ( 182 cm )",52,None,57
