PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
Domantas Sabonis,OKC,20,54,31,23,21.5,6.0,2.5,6.0,40.8,0.7,2.2,33.3,0.4,0.5,69.0,0.5,3.1,3.6,1.0,1.2,0.5,0.4,2.5,2,0,-0.8
Mindaugas Kuzminskas,NYK,27,47,18,29,14.6,6.0,2.2,5.3,42.0,0.8,2.6,31.7,0.7,0.9,79.1,0.7,1.2,1.9,1.0,0.7,0.5,0.2,1.2,0,0,0.2
Jordan Farmar,SAC,30,2,1,1,17.7,6.0,2.0,6.0,33.3,2.0,4.5,44.4,0.0,0.0,0.0,0.5,1.0,1.5,4.5,1.5,1.0,0.0,0.5,0,0,-0.5
Andre Iguodala,GSW,33,50,44,6,25.7,6.0,2.3,4.8,48.3,0.8,2.2,35.8,0.5,0.8,67.5,0.7,3.2,3.9,3.4,0.7,0.9,0.3,1.2,0,0,6.6
Jerami Grant,OKC,22,53,28,25,21.1,5.9,2.1,4.5,46.8,0.5,1.4,38.2,1.2,1.9,61.2,0.4,2.2,2.6,0.5,0.6,0.4,1.1,2.0,0,0,-3.2
TJ McConnell,PHI,24,52,18,34,24.5,5.9,2.6,5.7,45.6,0.1,0.6,21.9,0.6,0.8,76.7,0.4,2.6,3.0,6.0,1.8,1.4,0.1,1.8,2,0,-3.4
JaVale McGee,GSW,29,47,39,8,8.9,5.9,2.6,3.9,67.4,0.0,0.1,0.0,0.6,1.3,47.6,1.0,1.7,2.7,0.2,0.6,0.2,0.7,1.4,0,0,3.7
Zaza Pachulia,GSW,33,44,38,6,18.8,5.9,2.2,4.1,52.7,0.0,0.0,0.0,1.5,2.0,77.3,2.1,3.9,6.0,2.0,1.3,1.0,0.4,2.4,2,0,7.2
Dante Cunningham,NOP,29,40,17,23,24.5,5.9,2.4,5.4,43.3,1.0,2.7,36.7,0.2,0.3,58.3,0.9,3.3,4.2,0.7,0.4,0.5,0.5,1.6,0,0,-1.1
Anthony Morrow,OKC,31,37,20,17,15.9,5.9,2.2,5.6,39.6,0.9,3.0,29.1,0.6,0.6,87.5,0.3,0.5,0.7,0.5,0.2,0.5,0.1,1.1,0,0,-0.5
Omri Casspi,SAC,28,22,9,13,18.0,5.9,2.4,5.3,45.3,0.5,1.3,37.9,0.5,1.0,57.1,0.9,3.2,4.1,1.2,0.8,0.5,0.0,1.0,0,0,-0.4
Ben McLemore,SAC,23,38,17,21,16.2,5.8,2.2,5.4,40.6,0.7,2.2,30.5,0.8,1.0,76.3,0.2,1.0,1.2,0.8,0.7,0.4,0.1,1.2,0,0,-2.1
Jaylen Brown,BOS,20,52,33,19,15.6,5.8,2.1,4.9,42.5,0.4,1.3,30.4,1.2,1.7,72.1,0.5,2.0,2.5,0.7,0.7,0.4,0.3,1.7,0,0,-1.4
Jerian Grant,CHI,24,42,18,24,16.0,5.7,1.9,4.7,41.3,0.6,1.9,34.6,1.2,1.4,91.2,0.3,1.3,1.6,1.6,0.8,0.7,0.1,1.5,0,0,0.5
Nemanja Bjelica,MIN,28,51,20,31,17.1,5.7,2.1,5.0,41.6,0.8,2.7,29.7,0.7,1.0,73.5,0.6,2.5,3.1,1.1,0.9,0.6,0.2,2.2,0,0,-1.1
Brandon Bass,LAC,31,36,20,16,11.9,5.7,2.2,3.7,59.8,0.0,0.1,50.0,1.3,1.4,90.2,0.7,1.6,2.3,0.5,0.7,0.2,0.2,0.9,0,0,-2.4
Terry Rozier,BOS,22,48,30,18,17.9,5.7,2.1,5.6,37.8,0.8,2.3,32.7,0.7,0.9,75.6,0.6,2.5,3.1,1.7,0.5,0.7,0.2,1.0,0,0,0.3
Beno Udrih,DET,34,30,15,15,14.0,5.7,2.3,5.0,45.3,0.3,0.9,35.7,0.8,0.9,92.3,0.2,1.1,1.3,3.0,0.8,0.2,0.0,0.7,0,0,1.5
Isaiah Canaan,CHI,25,30,14,16,18.3,5.6,2.0,5.3,38.0,0.8,2.8,27.1,0.9,1.0,89.7,0.2,1.4,1.6,1.1,0.6,0.6,0.0,1.1,0,0,-2.8
Leandro Barbosa,PHX,34,49,14,35,13.1,5.6,2.4,5.2,45.1,0.5,1.2,42.4,0.3,0.4,85.0,0.2,1.2,1.4,1.2,0.5,0.4,0.1,1.1,0,0,-0.8
Ivica Zubac,LAL,19,20,5,15,13.0,5.6,2.4,4.9,49.5,0.0,0.0,0.0,0.8,1.0,78.9,1.3,2.6,3.8,0.5,0.7,0.3,0.9,1.2,3,0,-3.7
Cameron Payne,OKC,22,17,10,7,16.3,5.5,2.2,6.6,33.6,0.8,2.6,31.1,0.2,0.2,100,0.1,1.4,1.5,2.0,0.6,0.5,0.2,1.9,0,0,-2.3
Meyers Leonard,POR,24,46,19,27,16.0,5.5,2.0,5.3,36.7,1.1,3.0,35.0,0.5,0.6,96.2,0.4,2.8,3.2,0.8,0.6,0.1,0.4,2.3,1,0,-1.1
Hollis Thompson,PHI,25,31,9,22,18.1,5.5,2.1,5.1,41.5,0.8,2.3,36.6,0.4,0.6,65.0,0.5,2.2,2.7,0.8,0.3,0.5,0.2,1.8,0,0,-2.9
Willie Reed,MIA,26,44,22,22,14.8,5.5,2.4,4.1,57.8,0.0,0.1,33.3,0.8,1.3,56.9,1.8,3.0,4.8,0.3,0.4,0.2,0.8,1.7,3,0,1.0
Joffrey Lauvergne,OKC,25,47,29,18,14.5,5.4,2.1,4.8,44.2,0.5,1.6,33.8,0.7,1.1,59.6,1.0,2.6,3.7,1.0,0.7,0.3,0.1,1.4,0,0,-1.8
Willie Cauley-Stein,SAC,23,46,18,28,12.5,5.4,2.4,4.1,57.4,0.0,0.0,0.0,0.7,1.2,57.1,0.9,1.6,2.5,0.5,0.5,0.5,0.5,1.8,0,0,-2.3
Alex Abrines,OKC,23,43,23,20,13.9,5.4,1.7,4.4,39.7,1.2,3.2,37.5,0.7,0.9,86.5,0.3,0.8,1.1,0.5,0.5,0.4,0.1,1.5,0,0,-1.0
Lucas Nogueira,TOR,24,45,26,19,21.4,5.3,2.2,3.2,67.8,0.1,0.2,33.3,0.9,1.3,65.0,1.8,3.2,5.0,0.8,0.8,1.0,1.7,2.8,0,0,4.5
Shaun Livingston,GSW,31,48,40,8,17.5,5.3,2.4,4.3,57.4,0.0,0.0,0.0,0.5,0.8,59.5,0.4,1.6,2.0,1.7,0.8,0.5,0.2,1.6,0,0,1.0
Troy Williams,MEM,22,24,15,9,17.4,5.3,2.1,5.1,41.8,0.4,1.7,24.4,0.6,1.0,60.0,0.3,1.6,1.8,0.8,1.1,1.0,0.4,1.8,0,0,-2.7
Toney Douglas,MEM,30,11,10,1,16.5,5.3,1.8,4.8,37.7,0.5,1.6,27.8,1.2,1.4,86.7,0.3,2.4,2.6,2.1,1.1,0.8,0.3,1.9,0,0,3.6
Aaron Brooks,IND,32,45,26,19,14.5,5.3,2.0,5.0,40.8,0.7,2.2,33.3,0.5,0.6,78.6,0.3,0.8,1.1,2.2,1.1,0.5,0.2,1.4,0,0,-0.2
Luis Scola,BKN,36,35,7,28,12.7,5.3,2.0,4.3,47.7,0.5,1.4,35.4,0.7,1.1,67.6,1.4,2.4,3.9,0.9,1.0,0.4,0.1,1.7,1,0,-2.0
Chasson Randle,PHI,24,8,1,7,9.2,5.3,1.5,3.3,46.2,0.8,1.9,40.0,1.5,1.5,100,0.0,0.6,0.6,0.8,0.4,0.4,0.1,1.4,0,0,-0.8
Randy Foye,BKN,33,40,6,34,18.9,5.3,1.8,5.0,35.9,1.1,3.1,33.6,0.7,0.8,78.8,0.2,2.3,2.5,2.2,1.3,0.4,0.2,1.4,0,0,-3.6
Richard Jefferson,CLE,36,51,36,15,19.7,5.2,1.8,4.3,42.0,0.7,2.3,30.2,0.9,1.3,72.7,0.4,2.0,2.4,0.9,0.6,0.3,0.1,1.9,1,0,2.2
Brandan Wright,MEM,29,5,5,0,13.1,5.2,2.4,5.0,48.0,0.0,0.2,0.0,0.4,1.2,33.3,2.0,1.2,3.2,0.0,0.2,0.4,0.8,1.6,0,0,-0.2
Mike Dunleavy,ATL,36,38,28,10,16.4,5.2,1.8,4.2,42.2,1.0,2.6,38.0,0.6,0.8,76.7,0.3,1.9,2.2,1.0,0.6,0.3,0.1,1.4,0,0,-0.2
Roy Hibbert,MIL,30,42,19,23,16.0,5.2,1.9,3.4,54.2,0.0,0.0,0.0,1.5,1.8,81.3,1.3,2.3,3.6,0.5,0.7,0.2,1.0,2.3,1,0,-0.2
Gerald Green,BOS,31,32,23,9,11.1,5.2,1.9,4.9,38.2,0.8,2.2,33.8,0.7,0.8,80.8,0.4,1.5,1.9,0.8,0.4,0.2,0.2,1.1,0,0,-0.8
Quincy Acy,BKN,26,18,1,17,10.1,5.1,1.7,3.6,46.2,0.8,1.7,46.7,0.9,1.1,85.0,0.7,1.4,2.2,0.1,0.4,0.2,0.4,1.4,0,0,-1.9
Joakim Noah,NYK,31,46,17,29,22.1,5.0,2.2,4.4,49.0,0.0,0.0,0.0,0.7,1.7,43.6,3.5,5.2,8.7,2.2,1.3,0.7,0.8,2.8,5,0,-3.1
Dewayne Dedmon,SAS,27,46,34,12,16.4,5.0,2.0,3.4,60.6,0.0,0.0,0.0,1.0,1.3,72.1,1.5,4.6,6.1,0.6,0.6,0.5,0.8,2.4,3,0,3.8
Archie Goodwin,NOP,22,3,1,2,9.9,5.0,0.7,1.7,40.0,0.3,0.7,50.0,3.3,3.3,100,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.3,0,0,-0.7
Khris Middleton,MIL,25,1,0,1,14.9,5.0,2.0,5.0,40.0,0.0,1.0,0.0,1.0,2.0,50.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,0,0,-11.0
Anthony Bennett,BKN,23,23,3,20,11.5,5.0,1.7,4.0,41.3,0.6,2.1,27.1,1.1,1.6,72.2,1.1,2.3,3.4,0.5,0.5,0.2,0.1,0.8,0,0,-3.0
Reggie Williams,NOP,30,5,1,4,12.7,5.0,1.4,4.0,35.0,1.0,2.0,50.0,1.2,1.4,85.7,0.4,0.8,1.2,0.8,0.0,0.6,0.0,0.4,0,0,-1.4
Jason Smith,WAS,30,50,30,20,13.2,4.9,2.1,4.0,53.0,0.2,0.4,42.1,0.5,0.7,66.7,0.9,2.3,3.2,0.3,0.8,0.3,0.7,2.3,0,0,-1.2
Josh McRoberts,MIA,29,22,6,16,17.3,4.9,2.0,5.4,37.3,0.6,1.4,41.9,0.3,0.4,66.7,1.0,2.3,3.4,2.3,1.0,0.5,0.2,1.4,0,0,-3.3
Reggie Bullock,DET,25,14,6,8,15.5,4.9,2.0,4.6,43.1,0.7,2.3,31.3,0.1,0.3,50.0,0.4,1.6,2.0,0.9,0.4,0.4,0.2,1.1,0,0,-3.2
Trey Burke,WAS,24,48,29,19,12.3,4.8,2.0,4.4,45.5,0.5,1.1,42.6,0.3,0.5,68.2,0.1,0.6,0.8,1.7,0.8,0.2,0.1,1.0,0,0,-2.2
Boris Diaw,UTA,34,45,28,17,18.4,4.8,2.1,4.6,45.1,0.3,1.2,26.8,0.3,0.4,83.3,0.5,1.4,2.0,2.2,1.4,0.3,0.0,1.3,0,0,1.5
Lance Thomas,NYK,28,30,10,20,17.6,4.8,1.8,4.7,37.9,0.7,1.6,42.9,0.6,0.7,85.0,0.5,1.4,1.9,0.5,0.5,0.5,0.1,1.7,0,0,-4.2
Donatas Motiejunas,NOP,26,16,6,10,14.8,4.8,1.8,3.8,48.3,0.5,1.4,36.4,0.6,1.3,47.6,0.8,2.3,3.1,1.3,1.0,0.6,0.4,1.9,0,0,-3.8
Aron Baynes,DET,30,50,24,26,15.5,4.7,1.8,3.5,49.7,0.0,0.0,0.0,1.2,1.4,87.1,1.2,2.7,4.0,0.3,0.7,0.3,0.4,2.3,0,0,1.9
Kris Humphries,ATL,32,42,26,16,11.8,4.7,1.6,3.7,43.6,0.3,0.9,35.9,1.1,1.4,82.8,1.0,2.3,3.4,0.5,0.5,0.3,0.4,1.2,0,0,-1.0
Cristiano Felicio,CHI,24,44,21,23,15.1,4.7,1.8,3.2,57.6,0.0,0.0,0.0,1.0,1.6,65.2,2.1,2.8,4.8,0.6,0.5,0.4,0.3,1.6,3,0,-1.0
Jordan McRae,CLE,25,34,23,11,11.1,4.6,1.7,4.4,38.5,0.5,1.5,34.0,0.8,1.0,79.4,0.2,1.0,1.2,0.5,0.4,0.2,0.2,0.9,0,0,-1.6
Dorian Finney-Smith,DAL,23,52,21,31,21.3,4.6,1.6,4.0,39.8,0.8,2.4,32.3,0.7,0.9,76.1,0.6,2.1,2.7,0.9,0.6,0.7,0.3,1.8,0,0,-0.9
Cheick Diallo,NOP,20,9,4,5,10.4,4.6,1.9,4.3,43.6,0.0,0.0,0.0,0.8,1.1,70.0,1.3,2.2,3.6,0.3,0.2,0.3,0.3,1.0,1,0,-2.0
Luke Babbitt,MIA,27,44,21,23,16.0,4.5,1.6,4.3,36.6,1.1,3.0,36.6,0.3,0.3,73.3,0.3,1.9,2.1,0.5,0.4,0.3,0.2,1.7,0,0,0.0
CJ Watson,ORL,32,43,14,29,16.6,4.5,1.4,3.8,38.0,0.5,1.6,31.9,1.1,1.2,86.8,0.2,1.3,1.5,1.8,0.7,0.7,0.0,1.2,0,0,-1.6
Kay Felder,CLE,21,33,21,12,10.2,4.5,1.6,4.0,40.9,0.2,0.6,35.0,1.0,1.4,71.1,0.1,1.0,1.1,1.4,0.7,0.4,0.2,1.1,0,0,-1.0
Pascal Siakam,TOR,22,47,31,16,17.0,4.4,2.0,3.9,50.3,0.0,0.1,0.0,0.5,0.7,68.8,1.3,2.3,3.5,0.3,0.7,0.5,0.9,2.2,0,0,-1.7
Pierre Jackson,DAL,25,8,4,4,10.6,4.4,1.6,4.9,33.3,0.4,1.4,27.3,0.8,0.9,85.7,0.1,1.0,1.1,2.4,0.4,0.3,0.0,0.6,0,0,6.9
Davis Bertans,SAS,24,44,36,8,11.7,4.3,1.5,3.2,45.1,0.9,2.4,39.4,0.5,0.6,78.6,0.3,1.1,1.4,0.8,0.4,0.3,0.5,1.1,0,0,2.3
Jonas Jerebko,BOS,29,52,34,18,16.8,4.3,1.7,3.7,45.1,0.6,1.8,34.7,0.3,0.4,81.0,0.8,2.7,3.5,0.9,0.6,0.4,0.3,1.7,0,0,0.1
Alexis Ajinca,NOP,28,21,6,15,14.1,4.3,1.9,4.1,46.5,0.0,0.1,0.0,0.5,0.7,71.4,1.0,3.3,4.3,0.3,0.8,0.4,0.7,1.7,0,0,-3.8
Okaro White,MIA,24,11,11,0,15.5,4.3,1.4,2.6,51.7,0.6,1.4,46.7,0.9,0.9,100,0.5,2.2,2.6,0.5,0.6,0.3,0.4,1.8,0,0,2.2
Stanley Johnson,DET,20,49,23,26,16.7,4.2,1.6,4.0,39.9,0.4,1.5,30.1,0.5,0.8,65.0,0.5,1.9,2.4,1.4,0.8,0.7,0.4,1.5,0,0,-1.0
David West,GSW,36,42,36,6,11.5,4.1,1.7,3.2,54.5,0.0,0.1,50.0,0.6,0.8,74.3,0.6,2.1,2.7,2.1,1.0,0.7,0.5,1.4,0,0,2.2
Paul Zipser,CHI,22,23,11,12,15.2,4.1,1.3,4.0,34.1,0.6,2.0,28.3,0.9,1.1,80.0,0.3,1.9,2.3,0.4,0.7,0.3,0.2,1.0,0,0,-0.2
Ed Davis,POR,27,43,18,25,17.0,4.1,1.5,2.9,52.4,0.0,0.0,0.0,1.0,1.6,67.2,2.0,3.1,5.1,0.5,0.8,0.3,0.5,3.0,2,0,-2.0
Corey Brewer,HOU,30,56,39,17,15.5,4.1,1.6,3.8,40.9,0.4,1.6,23.3,0.6,0.8,72.7,0.4,1.6,2.0,1.0,0.6,0.6,0.2,1.7,0,0,2.3
Adreian Payne,MIN,25,12,4,8,7.7,4.0,1.4,3.3,43.6,0.2,0.8,20.0,1.0,1.3,80.0,0.5,1.2,1.7,0.3,0.6,0.4,0.3,1.8,0,0,-1.5
Tyler Zeller,BOS,27,33,20,13,12.0,4.0,1.8,3.8,46.8,0.0,0.0,0.0,0.5,0.8,57.7,1.1,1.9,3.0,0.8,0.4,0.2,0.5,1.3,1,0,1.2
Bobby Portis,CHI,22,35,15,20,11.5,3.9,1.7,3.5,47.2,0.3,0.7,38.5,0.3,0.6,52.4,1.1,2.1,3.2,0.5,0.5,0.2,0.1,1.3,0,0,-1.3
Anthony Brown,ORL,24,11,3,8,14.5,3.9,1.6,4.5,36.0,0.6,2.5,25.9,0.0,0.0,0.0,0.7,2.3,3.0,0.7,0.5,0.5,0.1,1.4,0,0,0.4
Jarell Martin,MEM,22,40,23,17,13.4,3.9,1.4,3.6,37.5,0.2,0.7,34.6,1.0,1.2,79.2,0.9,3.0,3.9,0.2,0.7,0.4,0.2,2.3,1,0,-1.3
Boban Marjanovic,DET,28,22,12,10,6.8,3.9,1.5,3.0,47.8,0.0,0.0,0.0,1.0,1.2,77.8,1.3,1.9,3.2,0.2,0.3,0.1,0.4,0.5,2,0,0.0
Rashad Vaughn,MIL,20,21,8,13,11.1,3.9,1.5,4.0,36.5,0.9,2.4,35.3,0.0,0.1,50.0,0.0,1.1,1.2,0.4,0.3,0.5,0.2,0.6,0,0,-0.8
Thomas Robinson,LAL,25,34,10,24,11.0,3.9,1.7,3.3,52.3,0.0,0.0,0.0,0.4,1.0,42.9,1.7,2.7,4.4,0.7,0.7,0.5,0.3,1.6,0,0,-3.2
Timothe Luwawu-Cabarrot,PHI,21,40,14,26,11.6,3.8,1.2,3.0,40.8,0.3,1.0,32.5,1.0,1.3,77.4,0.3,1.2,1.5,0.7,0.8,0.2,0.2,1.6,0,0,-2.0
Kris Dunn,MIN,22,49,19,30,17.0,3.8,1.5,3.9,37.3,0.3,0.9,28.3,0.6,1.0,58.0,0.3,1.9,2.2,2.6,1.4,0.9,0.4,2.1,0,0,-1.1
Dejounte Murray,SAS,20,29,23,6,8.2,3.8,1.4,3.3,44.2,0.3,0.7,42.1,0.6,0.9,72.0,0.1,0.8,0.9,1.1,1.0,0.2,0.1,0.7,0,0,-0.1
Kevin Seraphin,IND,27,29,13,16,10.5,3.7,1.8,3.5,51.5,0.0,0.0,0.0,0.1,0.2,66.7,0.9,2.2,3.1,0.5,0.5,0.1,0.4,1.2,0,0,-2.2
Juan Hernangomez,DEN,21,36,15,21,11.2,3.7,1.2,2.6,46.3,0.5,1.2,39.5,0.8,1.1,68.3,0.7,2.1,2.8,0.4,0.3,0.4,0.3,0.9,0,0,-1.1
Paul Pierce,LAC,39,13,7,6,11.8,3.7,1.2,3.2,36.6,0.8,2.1,37.0,0.6,0.8,80.0,0.0,1.4,1.4,0.2,0.6,0.2,0.2,1.9,0,0,-0.2
Mario Hezonja,ORL,21,38,11,27,10.3,3.6,1.3,3.9,34.7,0.6,1.8,30.4,0.3,0.4,76.5,0.3,1.4,1.6,0.7,0.9,0.3,0.2,0.9,0,0,-2.6
Jason Terry,MIL,39,45,19,26,17.1,3.6,1.2,3.0,39.7,0.9,2.2,39.8,0.3,0.4,81.3,0.2,1.0,1.2,1.4,0.4,0.6,0.3,1.2,0,0,1.6
Malachi Richardson,SAC,21,18,6,12,8.0,3.5,1.2,2.9,42.3,0.4,1.3,30.4,0.7,0.9,75.0,0.1,0.7,0.8,0.4,0.4,0.2,0.1,1.0,0,0,-0.7
Denzel Valentine,CHI,23,28,13,15,12.2,3.4,1.2,3.9,30.6,0.8,2.6,29.7,0.3,0.3,87.5,0.1,1.5,1.6,0.7,0.6,0.5,0.1,1.0,0,0,-1.6
Wade Baldwin IV,MEM,20,24,15,9,12.9,3.4,1.1,3.5,31.0,0.1,0.8,11.1,1.1,1.3,84.4,0.3,1.1,1.4,2.0,1.3,0.5,0.3,1.3,0,0,-4.0
Tyus Jones,MIN,20,32,12,20,11.7,3.4,1.1,2.7,41.9,0.5,1.2,41.0,0.6,0.8,83.3,0.2,0.8,1.0,2.3,0.6,0.7,0.1,0.9,0,0,1.4
Jared Sullinger,TOR,24,11,2,9,10.7,3.4,1.4,4.3,31.9,0.3,1.6,16.7,0.4,0.7,50.0,0.9,1.5,2.5,0.3,0.4,0.4,0.1,1.5,0,0,-2.7
Shabazz Napier,POR,25,30,12,18,7.6,3.3,1.1,2.9,37.5,0.6,1.8,32.1,0.6,0.8,73.9,0.1,0.7,0.7,0.9,0.7,0.6,0.0,0.6,0,0,0.2
Jose Calderon,LAL,35,24,6,18,12.2,3.3,1.3,3.2,41.6,0.5,1.4,35.3,0.2,0.2,100,0.3,1.4,1.8,2.1,1.1,0.3,0.0,0.9,0,0,-5.5
Taurean Prince,ATL,22,31,16,15,9.8,3.3,1.1,2.9,37.8,0.3,1.1,27.3,0.8,0.9,89.7,0.2,1.6,1.8,0.7,0.6,0.3,0.3,1.0,0,0,-0.7
Noah Vonleh,POR,21,46,20,26,12.9,3.3,1.3,3.2,40.9,0.2,0.4,35.0,0.5,0.9,56.1,1.4,2.7,4.1,0.2,0.8,0.3,0.3,1.6,0,0,-3.1
Nicolas Laprovittola,SAS,27,18,15,3,9.7,3.3,1.1,2.6,42.6,0.6,1.5,37.0,0.5,0.5,100,0.1,0.5,0.6,1.6,1.1,0.2,0.1,1.1,0,0,-2.4
Ron Baker,NYK,23,26,7,19,11.2,3.3,1.2,3.2,37.3,0.5,1.4,32.4,0.4,0.7,61.1,0.2,1.3,1.5,1.0,0.8,0.6,0.1,1.0,0,0,0.2
Darrun Hilliard,DET,23,27,14,13,10.7,3.3,1.1,3.6,32.3,0.3,1.3,25.0,0.6,0.9,70.8,0.1,0.9,1.0,0.9,0.7,0.3,0.0,1.1,0,0,-0.3
Semaj Christon,OKC,24,38,21,17,15.1,3.2,1.4,4.0,34.2,0.2,1.1,19.5,0.3,0.6,52.4,0.3,1.1,1.4,2.4,0.7,0.4,0.1,1.3,0,0,-3.0
Dragan Bender,PHX,19,38,11,27,12.7,3.2,1.2,3.3,37.1,0.7,2.1,32.1,0.1,0.2,37.5,0.4,1.7,2.2,0.4,0.7,0.2,0.5,1.6,1,0,0.0
Tomas Satoransky,WAS,25,36,21,15,14.2,3.2,1.3,2.9,43.7,0.2,0.7,24.0,0.5,0.7,75.0,0.5,1.3,1.8,1.9,0.8,0.5,0.1,1.3,1,0,0.5
Brandon Rush,MIN,31,19,5,14,15.7,3.2,1.1,3.1,36.2,0.8,1.8,42.9,0.2,0.2,75.0,0.4,1.2,1.5,0.7,0.5,0.4,0.4,0.5,0,0,-0.5
Wesley Johnson,LAC,29,46,26,20,13.2,3.2,1.2,3.3,37.3,0.5,1.9,26.7,0.2,0.3,66.7,0.5,2.7,3.2,0.5,0.3,0.5,0.5,1.4,0,0,-0.5
DeAndre' Bembry,ATL,22,23,12,11,10.4,3.1,1.4,3.0,47.8,0.0,0.4,0.0,0.3,0.6,42.9,0.3,1.3,1.7,0.7,0.3,0.2,0.1,0.7,0,0,-1.3
Patrick McCaw,GSW,21,42,35,7,12.1,3.1,1.1,2.9,40.0,0.6,1.7,37.5,0.2,0.3,50.0,0.2,0.8,1.0,0.9,0.5,0.4,0.2,0.9,0,0,-0.5
Sheldon McClellan,WAS,24,23,13,10,10.6,3.0,1.0,2.7,36.5,0.3,1.1,23.1,0.8,0.9,85.7,0.2,1.1,1.3,0.7,0.1,0.3,0.1,0.7,0,0,-1.8
Alan Anderson,LAC,34,20,12,8,11.1,3.0,1.1,3.1,34.4,0.6,1.7,33.3,0.4,0.5,70.0,0.2,0.8,1.0,0.5,0.4,0.2,0.0,1.2,0,0,-2.0
Andrew Bogut,DAL,32,25,8,17,22.6,3.0,1.4,3.1,46.8,0.0,0.0,0.0,0.1,0.4,27.3,2.1,6.3,8.4,1.9,1.6,0.5,1.0,3.2,0,0,-1.2
Malik Beasley,DEN,20,16,7,9,4.8,3.0,1.1,2.6,43.9,0.4,1.0,37.5,0.4,0.5,75.0,0.1,0.3,0.4,0.4,0.1,0.3,0.0,0.4,0,0,2.1
Chinanu Onuaku,HOU,20,2,1,1,4.9,3.0,1.0,1.0,100,0.0,0.0,0.0,1.0,1.0,100,0.5,1.0,1.5,0.5,0.0,0.5,0.0,0.5,0,0,-6.0
Thon Maker,MIL,19,26,11,15,5.7,2.9,1.0,1.8,54.2,0.4,0.7,61.1,0.5,0.8,61.9,0.4,0.8,1.2,0.1,0.2,0.2,0.4,1.0,0,0,-0.3
Tyler Ulis,PHX,21,33,7,26,8.7,2.9,1.2,3.2,38.1,0.2,0.4,35.7,0.3,0.4,78.6,0.2,0.5,0.7,1.0,0.7,0.6,0.0,0.8,0,0,-0.1
James Jones,CLE,36,32,20,12,7.1,2.9,0.9,1.8,53.6,0.8,1.3,58.5,0.3,0.4,64.3,0.1,0.6,0.7,0.2,0.2,0.1,0.2,0.7,0,0,-0.9
Kevon Looney,GSW,21,39,34,5,8.9,2.9,1.2,2.0,59.5,0.0,0.2,16.7,0.5,0.7,64.3,0.9,1.7,2.6,0.6,0.3,0.2,0.4,1.5,0,0,0.5
Kyle Anderson,SAS,23,47,36,11,13.6,2.9,1.0,2.4,43.4,0.2,0.4,38.1,0.6,0.8,80.6,0.4,2.2,2.6,1.1,0.6,0.7,0.4,0.8,0,0,2.2
Skal Labissiere,SAC,20,7,1,6,6.1,2.9,0.9,1.6,54.5,0.0,0.0,0.0,1.1,1.6,72.7,1.0,0.7,1.7,0.0,0.3,0.3,0.0,0.0,0,0,1.7
Fred VanVleet,TOR,22,21,14,7,6.9,2.9,1.0,2.9,36.1,0.3,0.9,38.9,0.4,0.5,81.8,0.1,0.8,0.9,0.9,0.2,0.5,0.0,0.9,0,0,1.0
Salah Mejri,DAL,30,47,18,29,13.4,2.9,1.2,1.7,68.3,0.0,0.0,0.0,0.5,0.7,64.7,1.4,3.0,4.3,0.2,0.6,0.5,1.0,2.2,1,0,-1.0
Omer Asik,NOP,30,30,11,19,15.9,2.8,1.0,2.2,47.7,0.0,0.0,0.0,0.8,1.3,59.0,1.6,3.8,5.4,0.5,0.4,0.2,0.3,1.6,1,0,-1.8
DeAndre Liggins,CLE,28,43,30,13,14.4,2.8,1.0,2.6,38.4,0.4,1.0,38.1,0.4,0.7,65.5,0.3,1.3,1.6,0.9,0.7,0.8,0.3,1.5,0,0,1.6
Marcelo Huertas,LAL,33,22,5,17,10.4,2.8,1.1,2.9,37.5,0.2,0.8,22.2,0.4,0.8,52.9,0.1,1.0,1.1,2.3,0.9,0.5,0.1,0.7,0,0,-1.8
Alan Williams,PHX,24,20,3,17,6.3,2.7,1.1,2.0,53.8,0.0,0.0,0.0,0.6,1.2,52.2,1.3,1.4,2.7,0.1,0.5,0.4,0.5,1.4,2,0,1.1
Chris McCullough,BKN,22,13,0,13,5.5,2.7,1.2,2.4,51.6,0.1,0.5,16.7,0.2,0.2,66.7,0.7,0.6,1.3,0.2,0.2,0.1,0.2,0.5,0,0,3.7
Miles Plumlee,CHA,28,35,16,19,10.2,2.7,1.0,2.2,47.4,0.0,0.0,0.0,0.6,1.0,62.9,0.8,1.1,1.9,0.6,0.7,0.3,0.3,1.5,0,0,-0.8
KJ McDaniels,HOU,24,28,20,8,7.4,2.7,1.0,2.3,45.3,0.3,0.9,32.0,0.3,0.4,90.0,0.1,0.9,1.0,0.1,0.4,0.2,0.3,0.9,0,0,-0.9
Andrew Nicholson,WAS,27,27,17,10,8.5,2.6,1.1,2.8,39.5,0.1,0.6,18.8,0.3,0.4,58.3,0.4,0.9,1.3,0.3,0.4,0.4,0.2,1.4,0,0,-2.4
Jeff Withey,UTA,26,30,21,9,8.1,2.5,0.9,1.6,56.3,0.0,0.0,0.0,0.7,0.9,78.6,0.8,1.5,2.3,0.1,0.3,0.3,0.7,1.0,0,0,-0.9
