source_name,review_date,critic_name,review_detail
Independent (UK)," April 14, 2016",Geoffrey Macnab, The latest attempt to bring Rudyard Kipling's Mowgli to the screen is a triumph - a painstakingly crafted digital 3D movie whose astonishing visual effects are complemented by very sure-footed storytelling and tremendous voice-work. 
New York Magazine/Vulture," April 14, 2016",David Edelstein," It's dazzling - almost no one will dislike it. Its director, Jon Favreau, knows his audience, and he has enough skill and honest enthusiasm to win over all but the most determined skeptics."
Toronto Star," April 14, 2016",Peter Howell," For all but the most timid of moviegoers, this live-action revival of The Jungle Book serves cherished memories, while offering much more than just the bare necessities of entertainment."
Total Film," April 14, 2016",Kevin Harley," Disney's return to the jungle is lovingly executed, emotional and exciting, with eye-boggling effects and fully engaged voice-work. Bears and original Book-lovers can rest at ease."
Rolling Stone," April 14, 2016",Peter Travers, Favreau's Jungle Book fills us with something rare in movies today - a sense of wonder.
Irish Times," April 14, 2016",Donald Clarke," This is a gorgeous, sweeping entertainment that combines the epic - a rain-whipped ascent through muddy hills is particularly awe-inspiring - with the intimate and the offbeat."
Forbes," April 14, 2016",Mark Hughes," [A] remarkable film achievement. It's visually breathtaking, emotionally thrilling... [T]he best Disney live action adaptation..."
Cinemalogue.com," April 14, 2016",Rubin Safaya, The film creates a clear sense of right and wrong; violence and greed are blinding forces that threaten a delicate balance upon which all depend. 
New England Movies Weekly," April 15, 2016",Daniel M. Kimmel," Favreau turns out to be the ideal director as he's used to dealing with special effects, while presenting the characters as something more that just tricks for the camera. "
The Newnan Times-Herald," April 15, 2016",Jonathan W. Hickman, ...a movie that families can enjoy and cherish.
Beliefnet," April 15, 2016",Nell Minow," Gorgeous, inspiring filmmaking -- an instant family classic."
WaffleMovies.com," April 15, 2016",Willie Waffle," A thrilling, frightening series of chases, battles and characters facing the ultimate demise at every turn. Then, they sing The Bare Necessities. "
Video-Reviewmaster.com," April 15, 2016",Steve Crum, The story has never been more captivating.
Globe and Mail," April 15, 2016",Kate Taylor, A visually stunning and highly dramatic movie that pays only brief homage to the music of its predecessor and whose threatening characters and scary moments would surely have given Walt the heebie-jeebies.
Detroit News," April 15, 2016",Adam Graham," A film that will be celebrated, and rightly so, as one of the year's best family films. It's the rare remake that gets things right, and Favreau makes this ""Book"" a genuine page-turner."
Philadelphia Inquirer," April 15, 2016",Molly Eichel," The reason to go see Favreau's The Jungle Book, instead of just watching the animated one with your cubs, is how gorgeous the jungle looks."
Film School Rejects," April 15, 2016",Rob Hunter," Is it an improvement on Walt Disney's original? Yes, yes it is."
EricDSnider.com," April 15, 2016",Eric D. Snider," With a screenplay that actually added dimension to the familiar characters instead of just giving them more things to say, this could have been a massive achievement instead of just a good one."
Fort Worth Star-Telegram/DFW.com," April 14, 2016",Maricar Estrella," It's one of the few films in which the 3D enhancement is justified. Each scene captures the essence of each animal so vividly that children in the audience were reaching out to the screen to try to ""touch"" the fur."
Lyles' Movie Files," April 14, 2016",Jeffrey Lyles, Magical filmmaking and the new definitive work of Favreau's career.
Examiner.com," April 14, 2016",Travis Hopson," It's hard to imagine a film that can do justice to Kipling's story better than Favreau's ""The Jungle Book"" has done. "
"Journal and Courier (Lafayette, IN)"," April 14, 2016",Bob Bloom," Overall, ""The Jungle Book"" is enjoyable. But, it would have been better if - like last year's live-action ""Cinderella"" - it had downplayed the animated aspects of its earlier incarnation."
People Magazine," April 14, 2016",Tom Gliatto," Director Jon Favreau sure doesn't monkey around: The pacing is sure-footed, Mowgli's big faceoff against Shere Khan is exciting, and the story goes straight to the heart."
Fresno Bee," April 14, 2016",Rick Bentley, The Jungle Book gives more than the bare necessities when it comes to the elements that make a movie special.
Sky Movies," April 14, 2016",Elliott Noble, Mr Kipling would be exceedingly pleased.
Daily Mail (UK)," April 14, 2016",Brian Viner," The combination of live action and computer-generated imagery works an absolute treat, and director Jon Favreau (whose eclectic CV includes Iron Man and Chef, in which he also starred) teases a nigh-on perfect performance from young Neel Sethi."
Empire Magazine," April 14, 2016",Chris Hewitt (UK)," Wonderful to look at, this is a more adult, more complex affair than its animated, and more entertaining, forebear. Still, it's Disney's best live-action adaptation yet."
Cine Premiere," April 14, 2016",Arturo Magaña, An unnecessary sequel that becomes a perfect homage to the animated classic. [Full review in Spanish]
Fort Worth Weekly," April 15, 2016",Kristian M. Lin," This one has moments of undeniable splendor, but it hasn't uncovered enough new material in the stories to really justify the effort."
Toledo Blade," April 15, 2016",Kirk Baird," The computer-made anamorphic animals -- Mowgli's wolf family and best friends bear and black panther, and his enemies the tiger and python -- are astonishingly fur-and-blood real."
Birth.Movies.Death.," April 15, 2016",Devin Faraci," It needs to be seen on the big screen, and the biggest and the best screen possible. This movie is why we have movie theaters."
Christian Science Monitor," April 15, 2016",Peter Rainer, The computer-generated effects are extraordinary; the jungle and its menagerie of beasts and critters looks positively lifelike.
ScreenRant," April 15, 2016",Ben Kendrick," The Jungle Book is magnificent - honoring its literary and animated roots with thrilling action, groundbreaking effects, and heart-warming drama."
Blog de cine," April 15, 2016",Mikel Zorrilla, A spectacular adventure that keeps the heart of the story intact while making us have a good time. [Full review in Spanish]
En Filme," April 15, 2016",Sofía Ochoa Rodríguez, The film captures the spirit of the lessons about human nature planted in the original book. [Full review in Spanish]
Ex-Press.com," April 15, 2016",Katherine Monk," It's entertaining, but also suitably surreal: A fever dream from childhood where dark forces lurk in the blurred edges of the frame, but don't always manifest in the way you imagine."
Boston Herald," April 15, 2016",James Verniere," Tyger, Tyger, burning bright indeed. Elba's voice work is one for the ages. Marvelously cast and visually lush."
"Star-Democrat (Easton, MD)"," April 15, 2016",Greg Maki," Set in the most immersive fictional world the movies have seen since ""Avatar"" (2009), Jon Favreau's ""The Jungle Book,"" an update of Disney's 1967 animated favorite, is an instant classic."
Common Sense Media," April 15, 2016",Sandie Angulo Chen, Fangs and fur fly in visually dazzling but intense update.
ABC Tucson," April 15, 2016",Phil Villarreal, Disney is embarking on a new golden age.
The New Republic," April 15, 2016",Will Leitch, The movie is an odd beast: A powerful exploration of the cruelty of nature in which the animals occasionally break into song.
Tri-City Herald," April 15, 2016",Gary Wolcott, Just the bare necessities. 
Kaplan vs. Kaplan," April 15, 2016",Jeanne Kaplan," Jon Favreau's ""The Jungle Book"" is an exquisite movie-going experience --- his combination of live action and CG is breathtaking to behold. "
Kaplan vs. Kaplan," April 15, 2016",David Kaplan," Favreau has masterminded a film destined to be a classic, something moviegoers will clamor to see again and again."
Flixist.com," April 15, 2016",Matthew Razak," Those visuals, though. You will spend half this movie wondering what is real and what isn't while marveling at the individual hairs on Baloo's back or how Baheera moves perfectly or how the fat on King Louie is disturbingly realistic."
FoxNews.com," April 15, 2016",Justin Craig," With an impeccable mix of live action, CGI and a stampede of adventure, ""The Jungle Book"" proves Disney is once again king of the jungle."
TheShiznit.co.uk," April 15, 2016",Matt Looker," A fun-for-all-the-family film, but with retractable claws."
HollywoodInToto.com," April 15, 2016",Christian Toto," This could have been a bald cash grab. Instead, The Jungle Book is an instant classic."
NPR," April 16, 2016",Bob Mondello," Most of the real world challenges that Leo DiCaprio faced in The Revenant, 10-year-old Neel Sethi faces plenty persuasively in The Jungle Book's digitized world. "
Movie Talk," April 16, 2016",Jason Best," Not nearly so cuddly as [Disney's] beloved 1967 animated classic, but a spectacularly entertaining family film in its own right."
Sci-Fi Movie Page," April 16, 2016",Rob Vaux, A fine companion piece to the Disney animated film and a treat for older children who may have outgrown such a candy-colored predecessor. 
leonardmaltin.com," April 15, 2016",Leonard Maltin, Favreau's reinvention of a beloved '60s classic... delightfully entertaining... bordering on perfection...
School Library Journal," April 15, 2016",Kent Turner," It sticks to the middle of the road, with a dash of danger from the novel and the jaunty feel-good vibe from the '60s."
Reel Reviews," April 15, 2016",Frank Wilkins," Simply put, The Jungle Book 2016 is a real swinging time in the jungle."
Cinemaclips.com," April 15, 2016",Roger Tennis," Swinging into theaters, 'The Jungle Book' is almost as lively and animated as Walt's cartoon classic. "
