source_name,review_date,critic_name,review_detail
"Star-Democrat (Easton, MD)"," November 4, 2016",Greg Maki," Garfield is absolutely mesmerizing at the heart of it all, giving a performance brimming with naiveté that becomes steely determination and, finally, something more - a shining light in humanity's darkest moments."
Vanity Fair," November 4, 2016",Richard Lawson," By the time Hacksaw Ridge reaches its necessary messianic finish, it's hard to not be moved by the boggling heroism of this dutiful man."
Cambridge Day," November 4, 2016",Allyson Johnson," While some may find satisfaction thinking of it as a visceral action film, the predominant sense it leaves is of wasted opportunity -- of how great this film could have been with a touch of nuance."
Playback:stl," November 4, 2016",Sarah Boslaugh," Hacksaw Ridge gets an A+ for action and a C for just about everything else, and your interest in seeing it will depend largely on your priorities as a filmgoer."
Daily Film Fix," November 4, 2016",Jonathan W. Hickman," ...an old fashioned, yet, still modern and violent approach to exposing the horrors of war while celebrating the heroism that is on display."
Globe and Mail," November 4, 2016",Barry Hertz," War is hell, but Hacksaw Ridge sacrifices that truth in favour of something far more insincere."
Detroit News," November 4, 2016",Adam Graham," The battle scenes in ""Hacksaw Ridge"" are among the most violent captured on film - and also the most urgent."
Washington Free Beacon," November 4, 2016",Sonny Bunch," Throwback war film among best, bloodiest of the year."
EricDSnider.com," November 3, 2016",Eric D. Snider," Once you get to the actual war, the movie becomes respectable, serious, even thoughtful."
Nerd Report," November 3, 2016",Fred Topel," It's so blatant it feels more like a parody of his own other graphically violent movies. There's an actual Evil Dead moment in a battle scene, followed by heads literally exploding."
ComingSoon.net," November 3, 2016",Alan Cerny," An effective war film, enamored by its own violence, but anchored by a terrific performance by Garfield."
Beliefnet," November 3, 2016",Nell Minow, The scenes in battle are as harrowing as any ever put on screen. We are in the midst of utter carnage and chaos.
Rolling Stone," November 3, 2016",Peter Travers," Hacksaw Ridge is being touted as Gibson's comeback. Is it also an atonement? What's clear is that Gibson has made a film about family, faith, love and forgiveness all put to the test in an arena of violent conflict - a movie you don't want to miss."
New England Movies Weekly," November 3, 2016",Daniel M. Kimmel," Garfield gives an Oscar-worthy performance, showing the medic to be a simple man of conviction and courage."
Daily Telegraph (UK)," November 7, 2016",Robbie Collin, A fantastically moving and bruising war film that hits you like a raw topside of beef in the face - a kind of primary-coloured Guernica that flourishes on a big screen with a crowd.
New Yorker," November 7, 2016",Richard Brody, Gibson has made a movie that's nearly pathological in its love of violence-but he nonetheless counterbalances its amoral pleasures with an understanding of the psychological devastation that war wreaks.
LarsenOnFilm," November 6, 2016",Josh Larsen, ...like looking for peace inside the barrel of a gun.
SSG Syndicate," November 6, 2016",Susan Granger," Intense and viscerally stunning, idealized and idiosyncratic, it illuminates the first conscientious objector awarded the Medal of Honor."
ABC Radio Brisbane," November 6, 2016",Matthew Toomey, Andrew Garfield speaks with a slow drawl and comes across as a touch dopey but it's a good fit for the character. He is a man driven by his beliefs rather than common sense.
The Patriot Ledger," November 5, 2016",Al Alexander, Gibson is giddy to once again be granted the all-mighty power to indulge his love of faith-based martyrdom. 
Ozus' World Movie Reviews," November 5, 2016",Dennis Schwartz, A crowd-pleasing conventional war drama.
Winnipeg Free Press," November 4, 2016",Randall King," The performances here keep the film grounded, notably Weaving, typically excellent, and Garfield especially up to the task of layering Christ-like grace notes atop a character who might have... come off as a beatific hillbilly"
PopMatters," November 4, 2016",J.R. Kinnard," Fans of hardcore battlefield action will find plenty to enjoy in Hacksaw Ridge, but those seeking emotional enlightenment will be disgusted (and bored) by Gibson's return to the director's chair."
Huffington Post," November 4, 2016",Jackie K. Cooper," ""Hacksaw Ridge"" is the best movie I have seen this year. Some will not be able to watch the film because of its intensity and war violence, but for those who can it is an amazing story of faith, courage, love and patriotism. "
Dark Horizons," November 4, 2016",Gary Dowell," It's a blunt-force, but highly effective treatise on the horrors of war as well as those who rise above the brutality to maintain as much humanity as one can on a battlefield."
The Australian," November 4, 2016",David Stratton," As director, Gibson's approach is bold and fearless; this represents his best work to date behind the camera."
National Post," November 4, 2016",Chris Knight," It definitely out-Ryans ol' Saving Private, but the goal is questionable; there comes a point when most viewers will avert their eyes (and hence stop being viewers) just for a respite."
New Zealand Herald," November 4, 2016",Russell Baillie," It's hard not to be impressed by Gibson's efforts at recreating the Okinawa battlefield, or by Garfield's endearing, committed portrayal of a man who stuck to his code."
News.com.au," November 4, 2016",Wenlei Ma," For the sheer spectacle of the battle scenes, Hacksaw Ridge will go down as one of Gibson's finest contributions to cinema."
Forbes," November 4, 2016",Mark Hughes," The war is depicted as Hell incarnate, with a great deal of focus on apocalyptic eruptions of flame and people consumed in fire... [R]emarkably realized and recalls the finest moments of Gibson's earlier directorial work."
