time,X_value,Y_value,Z_value
28.555,-8.71548,-5.93246,7.19943
28.611,-5.59956,-4.65113,4.81878
28.653,-9.52260,-6.45218,-0.15328
28.706,-7.83171,-3.93262,2.63931
28.753,-8.56938,0.03832,7.02699
28.805,3.92783,2.76625,-5.10618
28.864,-5.11337,4.25835,4.46192
28.905,-3.86077,4.91219,2.37825
28.954,-8.31311,6.13125,-2.05972
29.005,-7.44372,6.71324,0.05030
29.054,-6.19352,6.78988,0.11736
29.111,-4.26792,6.63181,0.50056
29.152,-4.59844,6.67731,0.57959
29.206,-3.79850,5.72649,0.38320
29.262,-6.49050,5.25467,1.56874
29.305,-7.12279,5.11816,1.29571
29.370,-4.23200,3.57337,-1.80105
29.404,-8.65560,3.78174,-0.19879
29.458,-8.63165,3.48954,-3.31950
29.512,-9.14419,3.29315,-1.37235
29.558,-13.28757,6.13365,-0.43829
29.605,-12.19065,4.68705,-2.45011
29.657,-11.77392,5.39837,-1.41306
29.704,-10.28182,3.58774,-2.16749
29.765,-10.90692,4.17452,-2.31359
29.803,-10.83507,2.11959,-4.16733
29.855,-12.62415,2.87402,-4.03800
29.905,-11.30210,1.42504,-4.65592
29.957,-11.60866,2.38304,-0.09580
30.007,-6.04503,0.56522,-1.27176
30.056,-3.73863,-0.15568,-2.77343
30.104,-8.20294,0.30656,-5.06786
30.155,-13.04567,0.29938,-3.87514
30.205,-7.95147,-0.05509,-1.25739
30.256,-6.58630,0.34488,-1.65496
30.304,-7.99458,1.14961,-4.13141
30.354,-7.56587,2.31119,-2.62734
30.403,-8.11912,2.74948,-3.38895
30.454,-12.94748,3.44643,-4.76130
30.505,-10.86381,2.25132,-5.66183
30.556,-9.35255,2.38544,-3.52307
30.610,-12.60978,2.31119,-4.19128
30.654,-11.49609,1.32924,-4.63436
30.709,-5.97557,0.55804,-1.09692
30.758,-9.50823,1.51844,-0.47182
30.808,-11.28773,2.28006,-4.82836
30.851,-10.41833,2.98419,-4.32062
30.908,-8.32509,3.68594,-0.00240
30.954,-10.01837,3.21412,1.22625
31.015,-10.27942,3.27878,1.82500
31.053,-8.75140,2.58902,0.59636
31.106,-10.64347,3.69791,-2.30880
31.153,-6.32046,2.00703,-3.82724
31.207,-5.59237,2.41897,-4.17212
31.257,-16.00352,3.14706,-14.39407
31.306,-5.57561,3.26920,0.53648
31.353,-5.37442,0.84065,3.54223
31.407,-2.74948,3.63324,-5.87738
31.453,-6.24142,5.27623,2.12678
31.509,-0.35446,-2.16749,-0.53888
31.554,-2.14354,-6.42105,1.31966
31.605,-9.47470,-6.70845,1.25739
31.656,-14.61441,-8.01134,2.66566
31.703,-16.91602,-8.15265,-1.31487
31.761,-10.36325,-8.10235,3.55660
31.809,-8.56699,-6.76354,8.81846
31.852,-10.00160,-6.81383,6.72282
31.909,-14.14499,-6.99106,4.50264
31.961,-15.70893,-6.99585,-1.02746
32.022,-15.94844,-7.46049,1.07536
32.058,-16.92081,-7.04375,2.52196
32.106,-2.60818,-11.46017,1.65256
32.157,-3.33147,-10.23152,-2.69679
32.203,-0.92448,-8.09277,-1.95913
32.269,0.26345,-4.26553,-2.98180
32.304,-12.52116,-1.25260,-2.20102
32.357,-17.94828,4.90500,2.32317
32.412,-23.22211,3.80569,-5.60674
32.456,-7.07249,-0.48379,8.84481
32.503,-9.35495,-2.86205,-2.39502
32.556,-5.34568,-2.03816,2.37586
32.604,-5.39837,-1.61185,1.40588
32.658,-11.89367,-4.61041,-0.95801
32.703,-10.45187,-7.17069,-0.79994
32.755,-8.88792,-7.11560,-3.09437
32.802,-7.60179,-4.33978,-2.57465
32.855,-11.62543,-3.30273,-0.18202
32.908,-8.29874,-4.66310,-1.78189
32.954,-5.43190,-3.21172,4.90021
33.003,-11.50567,-0.96519,1.07536
33.053,-10.19799,-0.68258,3.85598
33.103,-10.69137,-1.24302,1.58311
33.160,-4.79722,-5.95402,-0.74246
33.203,-5.55166,-4.22481,2.26329
33.254,-12.00863,-5.42951,4.19368
33.304,-8.68195,-8.39933,2.24174
33.354,-8.98372,-4.83315,2.69919
33.413,-2.64410,-6.18155,-0.67061
33.452,-0.77838,-6.86892,-5.24030
33.509,-4.51940,-5.86061,6.24382
33.553,-5.48939,-15.12215,-1.12326
33.610,-8.32509,-7.98260,3.81048
33.654,-2.39981,-8.73464,1.50407
33.707,-4.15536,-10.15967,3.35063
33.756,-4.86189,-7.18745,3.83682
33.810,-6.20550,-7.17308,2.63692
33.853,-6.67492,-6.47374,4.44995
33.918,-5.10858,-6.77791,2.60099
33.954,-3.29076,-5.46064,1.47054
34.005,-5.20917,-8.50471,2.41897
34.054,-5.32892,-8.32988,0.27064
34.104,-4.30864,-15.09581,1.76273
34.154,-2.53633,-9.18011,2.94108
34.206,-4.03321,-9.28070,-0.50056
34.256,-0.17244,-9.42919,0.81670
34.306,-1.90165,-10.89973,1.37474
34.354,-3.85598,-8.21971,1.16398
34.408,-2.16031,-9.60163,0.64426
34.453,-3.64282,-7.95386,0.40236
34.508,-2.64171,-9.01246,0.48379
34.554,-3.85359,-9.34537,0.51732
34.605,-3.17580,-9.16095,0.29698
34.663,-3.57816,-9.24478,-0.10059
