time,X_value,Y_value,Z_value
17.175,0.09101,-0.26345,9.92496
17.175,0.10059,0.24669,9.88185
17.249,-0.02156,-0.20597,9.87946
17.293,0.09101,0.24429,9.86748
17.359,-0.05030,-0.15089,9.86748
17.414,0.22992,0.17244,9.84353
17.473,0.06227,-0.07425,9.84353
17.473,0.10778,0.09341,9.83874
17.531,0.09101,0.02156,9.85551
17.608,0.05269,-0.00240,9.85551
17.656,0.10059,0.05748,9.85311
17.714,0.03353,-0.07185,9.87467
17.777,0.10778,0.05988,9.85311
17.836,0.06467,-0.05030,9.84593
17.836,0.07185,0.05988,9.85072
17.891,0.09580,-0.00719,9.86988
17.957,0.04551,0.03593,9.85311
18.013,0.09341,0.01437,9.85311
18.071,0.05269,-0.00479,9.86030
18.132,0.07425,0.05748,9.86030
18.132,0.05988,-0.04072,9.86030
18.192,0.07425,0.06227,9.85790
18.269,0.05269,-0.01437,9.84832
18.307,0.08383,0.03114,9.85551
18.367,0.05748,-0.02635,9.85790
18.431,0.09101,0.03114,9.85551
18.444,0.05509,-0.02395,9.86748
18.495,0.07425,0.00479,9.85790
18.554,0.05988,-0.03114,9.85551
18.625,0.04790,0.04311,9.85072
18.663,0.06946,-0.05030,9.86509
18.724,0.07425,0.00479,9.86269
18.724,0.05269,-0.03114,9.84832
18.795,0.05509,0.01437,9.86269
18.843,0.07185,0.00719,9.84353
18.921,0.05748,-0.04551,9.86269
18.967,0.08622,0.01916,9.86269
19.021,0.05988,-0.01198,9.86030
19.080,0.06946,0.01916,9.85551
19.091,0.07185,-0.01916,9.85311
19.140,0.05030,-0.01437,9.84593
19.201,0.07425,-0.02395,9.86748
19.259,0.06227,-0.00958,9.86030
19.319,0.06946,0.00240,9.83874
19.379,0.08143,-0.00479,9.85072
19.389,0.06227,0.01198,9.86030
19.438,0.05748,-0.01677,9.86269
19.498,0.06706,0.00000,9.85790
19.564,0.04311,-0.01916,9.85551
19.615,0.07904,0.00000,9.85311
19.676,0.05988,-0.00479,9.86269
19.688,0.07904,-0.00479,9.85311
19.735,0.06227,-0.01437,9.84353
19.795,0.05748,-0.00719,9.87467
19.863,0.07185,0.00958,9.86030
19.920,0.05748,0.02156,9.86269
19.977,0.07904,-0.00719,9.85072
19.977,0.04790,-0.00240,9.87467
20.033,0.09101,0.01916,9.87467
20.093,0.05030,-0.01677,9.84832
20.166,0.08143,0.01916,9.86030
20.211,0.03832,-0.01677,9.85311
20.271,0.06946,-0.00719,9.85311
20.271,0.07664,0.01437,9.85311
20.341,0.06467,0.00958,9.81958
20.391,0.05030,-0.04311,9.85551
20.451,0.06227,0.00958,9.85072
20.511,0.07904,-0.02635,9.86030
20.569,0.06706,0.02156,9.85790
20.629,0.07185,-0.00240,9.84353
20.643,0.05509,0.00000,9.85072
20.690,0.07425,0.04072,9.86509
20.749,0.06467,-0.01916,9.85072
20.837,0.07904,0.02874,9.86748
20.869,0.06467,-0.04311,9.85551
20.927,0.06227,-0.00719,9.86748
20.927,0.06946,0.00479,9.86030
21.000,0.08862,0.00240,9.86748
21.046,0.05509,0.01916,9.86988
21.105,0.05030,0.00000,9.86269
21.165,0.07904,0.01198,9.85790
21.223,0.05509,0.02395,9.86748
21.223,0.08862,0.00240,9.83156
21.284,0.07425,0.00958,9.85311
21.352,0.07425,-0.00240,9.86269
21.408,0.07425,0.00000,9.85790
21.467,0.06227,0.01198,9.86030
21.529,0.07664,-0.00958,9.84832
21.530,0.05030,0.00719,9.84593
21.581,0.07185,-0.00719,9.86988
21.645,0.07185,0.00958,9.84832
21.700,0.05988,-0.00958,9.86748
21.775,0.07185,0.01677,9.86509
21.820,0.05748,0.01198,9.86509
21.883,0.07425,0.01437,9.86030
21.883,0.06467,0.00000,9.84593
21.945,0.06706,0.00479,9.85790
22.005,0.07425,-0.00958,9.86509
22.081,0.06467,0.00479,9.86748
22.119,0.06467,0.00000,9.84353
22.179,0.05988,-0.00240,9.85072
22.179,0.06946,-0.00479,9.86748
22.253,0.07904,-0.00719,9.86030
22.302,0.05988,0.00719,9.86748
22.356,0.06227,0.00000,9.84832
22.421,0.06946,0.01198,9.85072
22.474,0.06946,0.01198,9.86030
22.474,0.06467,-0.00479,9.82677
22.534,0.05509,-0.01198,9.85790
22.601,0.04790,-0.00479,9.86269
22.659,0.06946,-0.00479,9.85790
22.719,0.06946,0.00000,9.85790
22.774,0.07425,0.00479,9.86269
22.774,0.06706,-0.01677,9.85551
22.832,0.07185,0.00479,9.86030
22.899,0.06467,-0.00240,9.85072
22.951,0.07185,-0.02874,9.85072
23.018,0.03832,-0.00958,9.84832
23.075,0.06946,-0.00958,9.86748
23.130,0.05030,0.01198,9.86030
23.130,0.07664,-0.00958,9.86030
23.211,0.07425,-0.02156,9.85790
23.258,0.05748,0.00240,9.84593
23.310,0.08383,0.00000,9.86269
23.369,0.04790,0.00240,9.84593
23.428,0.08383,-0.00479,9.84593
23.428,0.04311,-0.00240,9.86269
23.488,0.06467,0.01916,9.85311
23.558,0.05988,-0.00479,9.84593
23.617,0.02635,-0.00240,9.84353
23.677,0.06706,-0.01677,9.86030
23.725,0.03593,0.02874,9.83395
23.725,0.09580,-0.05748,9.85790
23.786,0.01198,0.05269,9.86509
23.851,0.10299,-0.04790,9.86509
23.909,0.01198,0.01916,9.86509
23.967,0.15328,-0.02635,9.85311
24.023,0.06467,-0.00479,9.84832
24.038,0.09580,-0.00479,9.87227
24.092,0.11017,-0.01437,9.85311
24.143,0.03353,0.01677,9.86509
24.210,0.11257,-0.01437,9.88185
24.266,0.03114,0.01677,9.86030
24.328,0.07425,-0.02395,9.85551
24.340,0.06227,0.05030,9.86988
24.388,0.05030,-0.00479,9.85311
24.441,0.10778,-0.07425,9.84832
24.512,0.03353,0.05988,9.83395
24.564,0.04551,-0.06227,9.84353
24.622,0.03832,0.05509,9.84353
24.687,0.02395,-0.05030,9.86030
24.687,0.10059,0.04790,9.86269
24.738,0.05988,-0.02395,9.88185
24.817,0.08383,0.01198,9.82916
24.862,0.12694,0.04311,9.85551
24.917,0.01198,0.00479,9.87467
24.977,0.10059,0.03832,9.85790
24.977,0.00240,-0.01916,9.85311
25.040,0.08383,0.05748,9.82437
25.110,0.04311,-0.05269,9.84353
25.155,0.03114,0.05509,9.85790
25.215,0.09820,-0.03593,9.85551
25.277,0.03593,0.01677,9.84593
25.277,0.09101,-0.01677,9.86748
25.336,0.09341,0.01198,9.85072
25.413,0.04790,0.00719,9.86988
25.460,0.10778,-0.00958,9.86269
25.521,-0.00479,-0.03353,9.87706
25.573,0.04072,-0.00958,9.85551
25.585,0.07425,-0.00479,9.85551
25.632,0.05269,-0.00958,9.84832
25.692,0.06467,-0.00719,9.86269
25.752,0.02635,-0.02395,9.84832
25.810,0.08383,0.02635,9.85790
25.877,0.06706,0.00000,9.85790
25.931,0.05509,0.01437,9.85311
25.931,0.08143,-0.01198,9.85551
25.991,0.04072,-0.00719,9.86269
26.060,0.07904,-0.00719,9.86748
26.109,0.05748,-0.00719,9.89143
26.172,0.06227,0.00240,9.86030
26.229,0.06227,0.03114,9.85311
26.243,0.05269,-0.00479,9.88185
26.287,0.11017,0.01677,9.85551
26.352,0.04072,-0.00719,9.87467
26.424,0.06706,0.03593,9.87706
26.471,0.05509,-0.02874,9.85311
26.525,0.05748,0.01916,9.85551
26.525,0.07425,-0.04790,9.85551
26.585,0.04311,0.08862,9.85311
26.644,0.09820,-0.02874,9.85790
26.718,0.07185,0.02156,9.84832
26.764,0.09341,-0.04551,9.84114
26.823,0.07664,0.00240,9.87467
26.823,0.05509,-0.03114,9.86030
26.896,0.07664,-0.00240,9.85072
26.946,0.05030,0.00479,9.86509
27.002,0.06706,-0.03114,9.85311
27.061,0.05509,0.01437,9.86269
27.128,0.05748,-0.00719,9.85072
27.187,0.07664,-0.01198,9.86030
27.203,0.06946,-0.01198,9.82198
27.240,0.11975,-0.03353,9.83156
27.299,0.01677,0.03114,9.86269
27.371,0.10299,-0.02635,9.86269
27.420,0.02635,0.01677,9.84353
27.478,0.07904,-0.02635,9.85551
27.478,0.06946,0.01198,9.86748
27.537,0.03593,0.00719,9.85072
27.599,0.09820,-0.00958,9.84353
27.668,0.03593,0.00958,9.84593
27.716,0.08622,-0.02156,9.85790
27.776,0.07425,0.00958,9.84114
27.777,0.08143,0.00719,9.85551
27.856,0.08622,-0.00719,9.85551
27.903,0.06467,-0.00479,9.83635
27.960,0.07664,0.00958,9.84114
28.017,0.05030,0.00719,9.88185
28.078,0.09580,0.01677,9.84832
28.078,0.04311,0.00958,9.85790
28.138,0.05988,0.02395,9.86509
28.203,0.07904,-0.00479,9.85790
28.258,0.06946,0.02156,9.85072
28.315,0.07904,-0.01198,9.86030
28.377,0.05988,-0.00958,9.86748
28.377,0.06467,-0.00479,9.86030
28.435,0.07425,0.00000,9.86748
28.511,0.06227,0.00479,9.86748
28.552,0.05988,-0.00479,9.85311
28.634,0.06946,-0.00479,9.85072
28.669,0.06706,0.00958,9.84353
28.729,0.06946,-0.00719,9.85551
28.729,0.08383,0.00958,9.88185
28.803,0.05988,-0.00240,9.85790
28.849,0.08622,-0.00240,9.86269
28.908,0.06946,-0.01437,9.86269
28.968,0.06467,0.01198,9.86748
29.030,0.05748,-0.04311,9.85551
29.030,0.06946,0.03593,9.85790
29.098,0.04790,-0.02635,9.86509
29.145,0.10059,0.04072,9.84593
29.205,0.05030,-0.01198,9.84832
29.267,0.08143,0.03114,9.85790
29.325,0.10299,-0.00719,9.85790
29.326,0.04311,0.03832,9.88425
29.388,0.06227,-0.06706,9.86269
29.464,0.06946,0.05509,9.87227
29.510,0.03114,-0.02874,9.88425
29.565,0.12215,0.04551,9.85790
29.622,0.03114,0.00479,9.86030
29.633,0.11257,0.02156,9.85790
29.690,0.05509,0.00958,9.86748
29.742,0.07904,0.01677,9.86030
29.832,0.10538,0.00000,9.84114
29.860,0.05748,-0.00958,9.85790
29.920,0.10299,0.01198,9.86988
29.980,0.06467,-0.05269,9.86269
29.990,0.08383,0.06706,9.88425
