date,attributes,rDev,name
"Sep 03, 2010",look: 2 | smell: 2 | taste: 1 | feel: 2.5 | overall: 1.5,-20.5%,Busch Light | Anheuser-Busch
"Aug 31, 2010",look: 2 | smell: 2 | taste: 2.5 | feel: 2.5 | overall: 3,+25.6%,Busch Light | Anheuser-Busch
"Aug 24, 2010",look: 2 | smell: 2.5 | taste: 3.5 | feel: 3.5 | overall: 4,+67.7%,Busch Light | Anheuser-Busch
"Aug 18, 2010",look: 1.5 | smell: 1 | taste: 1 | feel: 1 | overall: 2,-36.9%,Busch Light | Anheuser-Busch
"Aug 18, 2010",look: 2 | smell: 1.5 | taste: 1.5 | feel: 2 | overall: 2.5,-8.7%,Busch Light | Anheuser-Busch
"Aug 16, 2010",look: 1.5 | smell: 2 | taste: 2 | feel: 3 | overall: 4,+26.7%,Busch Light | Anheuser-Busch
"Aug 12, 2010",look: 1.5 | smell: 2 | taste: 2 | feel: 2 | overall: 2,+1%,Busch Light | Anheuser-Busch
"Jul 31, 2010",look: 2 | smell: 1.5 | taste: 2 | feel: 2 | overall: 2.5,+1.5%,Busch Light | Anheuser-Busch
"Jul 22, 2010",look: 2.5 | smell: 2.5 | taste: 2.5 | feel: 2.5 | overall: 3,+33.3%,Busch Light | Anheuser-Busch
"Jul 14, 2010",look: 2.5 | smell: 2 | taste: 1.5 | feel: 3 | overall: 2,-1%,Busch Light | Anheuser-Busch
"Jul 12, 2010",look: 3 | smell: 2 | taste: 2 | feel: 1.5 | overall: 2,+3.1%,Busch Light | Anheuser-Busch
"Jul 09, 2010",look: 1.5 | smell: 2 | taste: 2.5 | feel: 1.5 | overall: 4,+29.2%,Busch Light | Anheuser-Busch
"Jun 26, 2010",look: 2 | smell: 1.5 | taste: 2 | feel: 2 | overall: 4,+16.9%,Busch Light | Anheuser-Busch
"Jun 26, 2010",look: 2 | smell: 1 | taste: 1.5 | feel: 3.5 | overall: 2,-12.3%,Busch Light | Anheuser-Busch
"Jun 12, 2010",look: 1.5 | smell: 1 | taste: 1 | feel: 1.5 | overall: 5,-3.6%,Busch Light | Anheuser-Busch
"Jun 06, 2010",look: 3 | smell: 1.5 | taste: 2 | feel: 2 | overall: 3,+9.7%,Busch Light | Anheuser-Busch
"May 27, 2010",look: 2 | smell: 2 | taste: 2 | feel: 2 | overall: 5,+33.3%,Busch Light | Anheuser-Busch
"May 24, 2010",look: 4.5 | smell: 4.5 | taste: 5 | feel: 4.5 | overall: 5,+146.2%,Busch Light | Anheuser-Busch
"Apr 18, 2010",look: 1 | smell: 1 | taste: 1.5 | feel: 1 | overall: 1.5,-33.3%,Busch Light | Anheuser-Busch
"Apr 11, 2010",look: 2 | smell: 2 | taste: 2 | feel: 2.5 | overall: 2.5,+10.3%,Busch Light | Anheuser-Busch
"Mar 25, 2010",look: 1 | smell: 1 | taste: 2 | feel: 1 | overall: 1.5,-23.1%,Busch Light | Anheuser-Busch
"Mar 25, 2010",look: 2.5 | smell: 1.5 | taste: 2 | feel: 2.5 | overall: 2,+0.5%,Busch Light | Anheuser-Busch
"Mar 10, 2010",look: 1 | smell: 1 | taste: 2 | feel: 2 | overall: 3,-2.6%,Busch Light | Anheuser-Busch
"Mar 07, 2010",look: 2 | smell: 1.5 | taste: 1.5 | feel: 3 | overall: 3,+1.5%,Busch Light | Anheuser-Busch
"Mar 06, 2010",look: 2 | smell: 2 | taste: 2.5 | feel: 3 | overall: 3,+28.2%,Busch Light | Anheuser-Busch
"Feb 28, 2010",look: 2 | smell: 2 | taste: 2 | feel: 3 | overall: 3,+17.9%,Busch Light | Anheuser-Busch
"Feb 27, 2010",look: 2 | smell: 1.5 | taste: 1.5 | feel: 2 | overall: 3,-3.6%,Busch Light | Anheuser-Busch
"Feb 26, 2010",look: 2 | smell: 1.5 | taste: 1.5 | feel: 2 | overall: 2.5,-8.7%,Busch Light | Anheuser-Busch
"Feb 21, 2010",look: 1.5 | smell: 2 | taste: 2 | feel: 1.5 | overall: 3,+8.7%,Busch Light | Anheuser-Busch
"Feb 20, 2010",look: 1 | smell: 1 | taste: 2 | feel: 2.5 | overall: 2,-10.3%,Busch Light | Anheuser-Busch
"Feb 15, 2010",look: 2 | smell: 1.5 | taste: 1.5 | feel: 2 | overall: 2.5,-8.7%,Busch Light | Anheuser-Busch
"Feb 14, 2010",look: 2 | smell: 2.5 | taste: 2.5 | feel: 2.5 | overall: 4,+42.1%,Busch Light | Anheuser-Busch
"Feb 14, 2010",look: 2 | smell: 1.5 | taste: 2 | feel: 1.5 | overall: 2.5,-1%,Busch Light | Anheuser-Busch
"Jan 31, 2010",look: 3.5 | smell: 1.5 | taste: 1 | feel: 2 | overall: 1,-29.7%,Busch Light | Anheuser-Busch
"Jan 31, 2010",look: 1.5 | smell: 1 | taste: 1 | feel: 1.5 | overall: 1,-44.6%,Busch Light | Anheuser-Busch
"Jan 28, 2010",look: 1 | smell: 1.5 | taste: 1 | feel: 2.5 | overall: 1.5,-29.7%,Busch Light | Anheuser-Busch
"Jan 28, 2010",look: 2.5 | smell: 2 | taste: 1.5 | feel: 3 | overall: 2,-1%,Busch Light | Anheuser-Busch
"Jan 25, 2010",look: 1 | smell: 1 | taste: 1 | feel: 2 | overall: 3,-23.1%,Busch Light | Anheuser-Busch
"Jan 23, 2010",look: 3.5 | smell: 1.5 | taste: 2.5 | feel: 2 | overall: 3.5,+26.7%,Busch Light | Anheuser-Busch
"Jan 21, 2010",look: 2.5 | smell: 1.5 | taste: 1.5 | feel: 2 | overall: 4,+8.2%,Busch Light | Anheuser-Busch
