BBL,Street Number,Street Name,Borough,Zip,Benchmarking Submission,Entry Number,Site EUI(kBtu/ft2),Weather Normalized Source EUI(kBtu/ft2),Indoor Water Intensity (All Water Sources)(gal/ft2),Reported Water Method,ENERGY STAR Score,Total GHG Emissions(MtCO2e),Property Floor Area (Buildngs and Parking)(ft2),Primary Property Type - Self Selected,Number of Buildings,Reported BINs
2032730075,685,EAST FORDHAM ROAD,BRONX,10458,Yes,9270,21.1,68.9,,Manual,N/A,808.86,407626,Other,1,2097321
2032730150,2870,SOUTHERN BOULEVARD,BRONX,10458,Yes,5930,62.1,149.9,,Manual,62,757,163812,K-12 School,1,2086839
2032730209,2540,BELMONT AVENUE,BRONX,10458,Yes,12000,35.6,115.9,,Manual,N/A,305.87,91431,College/University (Campus-Level),1,2016244
2032730225,625,EAST FORDHAM ROAD,BRONX,10458,No Record as of 08/1/13,,,,,,,,,,1,
2032740001,409,BEDFORD PARK BLVD,BRONX,10458,No Record as of 08/1/13,,,,,,,,,,1,
3031170029,9,WHITE STREET,BROOKLYN,11206,Yes,9957,18.8,45.7,42.22,ABS,N/A,90.76,64000,Storage/Shipping/Non-Refrigerated Warehouse,1,3071578
1021347502,779,RIVERSIDE DRIVE,MANHATTAN,10032,Yes,11467,74.6,105.6,42.24,ABS,N/A,539.31,93053,Multifamily Housing,1,1063251
2032760005,384,EAST  194 STREET,BRONX,10458,Yes,3525,,,93.39,Manual,N/A,,93000,Multifamily Housing,1,2016336
2032760020,365,EAST  193 STREET,BRONX,10458,Yes,10389,96,112.4,,Manual,N/A,371.46,51594,Multifamily Housing,1,2016337
2032790006,2820,DECATUR AVENUE,BRONX,10458,Yes,8734,,,,Manual,N/A,,55200,Multifamily Housing,1,2016407
2029920052,1941,VYSE AVENUE,BRONX,10460,Yes,12180,92.6,164.6,42.3,ABS,N/A,327.59,54494,Multifamily Housing,1,2113077
2032810001,325,EAST  201 STREET,BRONX,10458,Yes,2408,105.7,141.3,,Manual,N/A,526.55,61936,Multifamily Housing,1,2016449
2032810040,357,EAST  201 STREET,BRONX,10458,Yes,1906,104.5,111.6,42.41,Manual,N/A,415.98,50000,Multifamily Housing,1,2660525
4092650006,    85-10, 120 STREET,QUEENS,11415,Yes,7803,73.5,115,42.3,ABS,N/A,283.55,61092,Multifamily Housing,1,4193460
2032820007,2640,MARION AVENUE,BRONX,10458,Yes,4751,73.4,111.6,56.19,Manual,N/A,336.49,60000,Multifamily Housing,1,2016467
1018900040,310,RIVERSIDE DRIVE,MANHATTAN,10025,Yes,4839,94.2,140.6,42.34,ABS,N/A,1630.27,211230,Multifamily Housing,1,1057188
2032830013,2716,MARION AVENUE,BRONX,10458,Yes,5745,,,,Manual,N/A,,88500,Multifamily Housing,1,2016495
2032830055,357,EAST  195 STREET,BRONX,10458,Yes,4031,113.7,154.3,,Manual,N/A,426.78,50000,Multifamily Housing,1,
4032340185,    70-50,AUSTIN STREET,QUEENS,11375,Yes,3939,149.3,409,42.37,ABS,N/A,710.23,57941,Other,1,4077473
2032840057,2870,MARION AVENUE,BRONX,10458,Yes,5521,118.5,154.2,,Manual,N/A,453.61,47800,Multifamily Housing,1,BIN# 2016565
1005560015,112,EAST   11 STREET,MANHATTAN,10003,Yes,5831,16.2,61.6,42.4,ABS,N/A,177.09,117012,Multifamily Housing,6,1078005;1078006;1078007;1078008;1078009;1078010
2032850019,2976,MARION AVENUE,BRONX,10458,Yes,9100,97,132.5,,Manual,N/A,476.19,61708,Multifamily Housing,1,2016574
2032850028,2986,MARION AVENUE,BRONX,10458,Yes,12455,0,0,,Manual,N/A,,0,,1,2016575
4005780013,    30-91,CRESCENT STREET,QUEENS,11102,Yes,3041,78.1,123.2,42.42,ABS,N/A,336.7,70944,Multifamily Housing,1,4007084
3068350012,3178,NOSTRAND AVENUE,BROOKLYN,11229,Yes,6626,80,130.8,42.43,ABS,N/A,443.75,89720,Multifamily Housing,1,3184579;3823256
2032870043,2706,BAINBRIDGE AVENUE,BRONX,10458,Yes,6415,7.2,23.5,,Manual,N/A,41.23,60587,Multifamily Housing,1,
2032870056,2732,BAINBRIDGE AVENUE,BRONX,10458,Yes,4126,84,115.8,,Manual,N/A,474.77,71169,Multifamily Housing,1,2016627
3053740010,340,OCEAN PARKWAY,BROOKLYN,11218,Yes,12418,80.5,121.7,42.46,ABS,N/A,365.03,73026,Multifamily Housing,1,3126157
2032870109,2641,MARION AVENUE,BRONX,10458,Yes,6619,87.4,125,130.59,Manual,N/A,496.55,69300,Multifamily Housing,1,2016644
4014610001,    87-02,  35 AVENUE,QUEENS,11372,Yes,7926,3,4.7,42.46,ABS,N/A,14.05,59150,Multifamily Housing,1,4035868
1003720060,274,EAST    2 STREET,MANHATTAN,10009,Yes,4270,76.8,145.5,42.48,ABS,N/A,362.2,69900,Multifamily Housing,1,1086167
2032900014,2786,BAINBRIDGE AVENUE,BRONX,10458,Yes,4549,40.6,63.1,0,Manual,N/A,236.11,73528,Multifamily Housing,1,2016707
1013860049,30,EAST   72 STREET,MANHATTAN,10021,Yes,1881,81.8,148.7,42.48,ABS,N/A,434.16,62819,Multifamily Housing,1,1041368
1007790039,350,   7 AVENUE,MANHATTAN,10001,Yes,2353,33.2,44.9,42.52,ABS,100,310.51,114845,Office,1,1014290
1005320008,246,MERCER STREET,MANHATTAN,10012,Yes,8026,9.4,27.3,42.53,ABS,100,241.56,298336,Residence Hall/Dormitory,1,1066869
2032910016,323,EAST  198 STREET,BRONX,10458,Yes,5156,88.8,142,0,Manual,N/A,377.15,69960,Multifamily Housing,1,2113538
1005677501,23,   5 AVENUE,MANHATTAN,10003,Yes,4282,22,33.9,42.54,ABS,N/A,173.88,97105,Multifamily Housing,1,1009224
2032920001,2961,MARION AVENUE,BRONX,10458,Yes,9094,80.2,113.6,,Manual,N/A,613.81,100875,Multifamily Housing,1,2016732
2032920014,2964,PERRY AVENUE,BRONX,10458,No Record as of 08/1/13,,,,,,,,,,1,
3011817502,225,EASTERN PARKWAY,BROOKLYN,11238,Yes,6045,75.8,115.7,42.54,ABS,N/A,440.62,97486,Multifamily Housing,1,3029651
2032920062,311,BEDFORD PARK BLVD,BRONX,10458,Yes,1375,95.7,102.9,0.19,Manual,N/A,354.58,50000,Multifamily Housing,1,2644684
2032930106,271,EAST KINGSBRIDGE RD,BRONX,10458,No Record as of 08/1/13,,,,,,,,,,1,
1022380001,675,ACADEMY STREET,MANHATTAN,10034,Yes,10764,94.8,206,42.56,ABS,N/A,433.19,62964,Multifamily Housing,1,1064950
1012137504,107,WEST   82 STREET,MANHATTAN,10024,Yes,6583,29.9,114.8,42.58,ABS,N/A,170.14,60553,Multifamily Housing,1,1081465;1084301;1084302
2032940037,2700,BRIGGS AVENUE,BRONX,10458,No Record as of 08/1/13,,,,,,,,,,1,
2032940053,2705,BAINBRIDGE AVENUE,BRONX,10458,Yes,7779,119.6,160.1,0,Manual,N/A,593.75,61115,Multifamily Housing,1,2016853
2032950016,2770,BRIGGS AVENUE,BRONX,10458,No Record as of 08/1/13,,,,,,,,,,1,
4049810078,   140-33,  34 AVENUE,QUEENS,11354,Yes,6494,70.9,113.9,42.65,ABS,N/A,711.47,128637,Multifamily Housing,1,4112570
2032950070,2771,BAINBRIDGE AVENUE,BRONX,10458,Yes,5517,74.6,100.9,,Manual,N/A,422.86,71100,Multifamily Housing,1,BIN# 2016890
2032960050,2869,BAINBRIDGE AVENUE,BRONX,10458,Yes,5518,86,122.1,,Manual,N/A,507.02,73700,Multifamily Housing,1,BIN# 2016921
3017540001,1,VERNON AVENUE,BROOKLYN,11206,Yes,9438,88.2,139.6,42.68,ABS,N/A,305.14,56858,Multifamily Housing,1,3392717;3830098
2032970011,266,BEDFORD PARK BLVD,BRONX,10458,Yes,12394,84.3,111.8,40.49,Manual,N/A,629.96,93600,Multifamily Housing,1,2-03297-0011
1006160001,42,   8 AVENUE,MANHATTAN,10014,Yes,3406,75.9,120.1,42.72,ABS,N/A,611.65,98122,Multifamily Housing,1,1011064
1008750047,230,   3 AVENUE,MANHATTAN,10003,Yes,275,81.6,155.5,42.73,ABS,N/A,1069.63,158750,Multifamily Housing,1,1017928
2032990014,306,MOSHOLU PARKWAY,BRONX,10458,Yes,4877,79.9,100.6,26.9,Manual,N/A,414.06,65070,Multifamily Housing,1,2016980
2032990021,316,MOSHOLU PARKWAY,BRONX,10458,Yes,2344,65.4,90.2,,Manual,N/A,348.12,69149,Multifamily Housing,1,2016981
1015187501,120,EAST   90 STREET,MANHATTAN,10128,Yes,308,88.2,152.8,42.75,ABS,N/A,634.07,86892,Multifamily Housing,1,1048139
2033000059,2695,BRIGGS AVENUE,BRONX,10458,No Record as of 08/1/13,,,,,,,,,,1,
4051450068,   137-77,KISSENA BOULEVARD,QUEENS,11367,Yes,9840,60.2,228,42.76,ABS,N/A,417.01,73765,Multifamily Housing,1,4116413
2033030012,2980,VALENTINE AVENUE,BRONX,10458,Yes,452,1.7,5.6,,Manual,N/A,17.25,111270,Multifamily Housing,1,
2033040010,2664,GRAND CONCOURSE,BRONX,10458,Yes,9316,140.3,190.7,0,Manual,N/A,813.64,77000,Multifamily Housing,1,2017132
2033040020,2676,GRAND CONCOURSE,BRONX,10458,Yes,12493,83.6,120.7,,Manual,N/A,484.4,74709,Multifamily Housing,1,2017133;2809615
3019300014,295,CLINTON AVENUE,BROOKLYN,11205,Yes,10476,67.7,98.9,42.81,ABS,N/A,384.82,94465,Multifamily Housing,1,3055317
2033040035,2720,GRAND CONCOURSE,BRONX,10458,Yes,9319,120.9,153.8,0,Manual,N/A,2320.03,255200,Multifamily Housing,1,2017135
2033040055,2701,VALENTINE AVENUE,BRONX,10458,Yes,9318,21.3,55.8,0,Manual,N/A,130.61,73974,Multifamily Housing,1,
4012780001,    78-12,  35 AVENUE,QUEENS,11372,Yes,4258,11.7,37.2,42.82,ABS,N/A,113.76,103200,Multifamily Housing,1,4029648
2033040085,2754,GRAND CONCOURSE,BRONX,10458,Yes,10122,79.9,109.7,,Manual,N/A,510.05,79920,Multifamily Housing,1,2017141
2033040098,2780,GRAND CONCOURSE,BRONX,10458,Yes,4146,85.7,119.4,6.37,Manual,N/A,676.39,98352,Multifamily Housing,1,2017143
3002360011,69,PIERREPONT STREET,BROOKLYN,11201,Yes,6091,66.8,110.8,42.86,ABS,N/A,250.85,60702,Multifamily Housing,1,3001824
1007890009,257,WEST   39 STREET,MANHATTAN,10018,Yes,2909,,,42.9,ABS,N/A,,189958,Warehouse (Unrefrigerated),1,1014497
2033040128,2837,VALENTINE AVENUE,BRONX,10458,Yes,7251,106.6,123.1,,Manual,N/A,331.31,56250,Multifamily Housing,1,2017147
3067750025,1648,EAST   13 STREET,BROOKLYN,11229,Yes,6843,64.1,94.2,42.91,ABS,N/A,241.71,64260,Multifamily Housing,1,3182338
2033040156,220,EAST  197 STREET,BRONX,10458,Yes,13030,39.6,136.5,141.41,Manual,N/A,212.6,66000,Multifamily Housing,1,
2033040180,219,MIRIAM STREET,BRONX,10458,Yes,10762,97.6,129.4,153.27,Manual,N/A,433.66,56265,Multifamily Housing,1,2-03304-0180
2033040185,220,MIRIAM STREET,BRONX,10458,Yes,8999,,,,Manual,N/A,,54200,Multifamily Housing,1,2017163
1011977501,20,WEST   84 STREET,MANHATTAN,10024,Yes,6603,28,102.6,42.93,ABS,N/A,159.78,60749,Multifamily Housing,1,1031254
2033060001,2950,GRAND CONCOURSE,BRONX,10458,Yes,12181,,,,Manual,N/A,,50676,Multifamily Housing,1,2017191
3054530018,1528,  49 STREET,BROOKLYN,11219,Yes,6461,82.7,116.4,42.93,ABS,N/A,475.12,70700,Multifamily Housing,1,3129134
2033060053,211,BEDFORD PARK BLVD,BRONX,10458,Yes,7315,,,,Manual,N/A,,60775,Multifamily Housing,1,
2033070001,3000,VALENTINE AVENUE,BRONX,10458,Yes,2319,127.5,156.9,0,Manual,N/A,541.73,55800,Multifamily Housing,1,2017214
2032910008,325,EAST  198 STREET,BRONX,10458,Yes,5157,56.6,100,42.94,ABS,N/A,262.63,72486,Multifamily Housing,1,2117347
3050610040,416,OCEAN AVENUE,BROOKLYN,11226,Yes,8580,55.1,95.5,42.97,ABS,N/A,480.82,137923,Multifamily Housing,1,3116130
2033080001,3034,GRAND CONCOURSE,BRONX,10458,No Record as of 08/1/13,,,,,,,,,,1,
2033080051,253,EAST  202 STREET,BRONX,10458,Yes,2119,64.2,100.1,,Manual,N/A,252.89,47500,Multifamily Housing,1,2017249
4108220001,   195-06,WOODHULL AVENUE,QUEENS,11423,Yes,9962,42.3,71.9,42.97,ABS,N/A,187.11,70000,Multifamily Housing,1,4231516
2033090031,227,EAST  203 STREET,BRONX,10458,Yes,2082,75.2,106.4,93.47,Manual,N/A,287.37,50762,Multifamily Housing,1,2017273
2033100040,3065,GRAND CONCOURSE,BRONX,10468,Yes,9857,93.2,126.9,,Manual,N/A,450.06,63836,Multifamily Housing,1,2017311
4033410001,   111-10,  76 ROAD,QUEENS,11375,Yes,6483,79.1,119,43,ABS,N/A,312.9,66075,Multifamily Housing,1,4079912
2033100057,3031,GRAND CONCOURSE,BRONX,10468,No Record as of 08/1/13,,,,,,,,,,1,
2033100081,2955,GRAND CONCOURSE,BRONX,10468,No Record as of 08/1/13,,,,,,,,,,1,
2033110001,3127,GRAND CONCOURSE,BRONX,10468,No Record as of 08/1/13,,,,,,,,,,1,
2033110044,3201,GRAND CONCOURSE,BRONX,10468,Yes,5245,20.5,61.3,0,Manual,N/A,177.01,97650,Multifamily Housing,1,2017340
1000270017,67,WALL STREET,MANHATTAN,10005,Yes,9497,32.2,109.1,43.02,ABS,N/A,934.19,318334,Multifamily Housing,1,1000829
2033110087,3155,GRAND CONCOURSE,BRONX,10468,Yes,2343,90.8,124.6,,Manual,N/A,599.09,86000,Multifamily Housing,1,2017346
2033110120,200,EAST  205 STREET,BRONX,10458,Yes,11275,86,113.6,,Manual,N/A,566.26,81000,Multifamily Housing,1,2017357
2033110138,190,E MOSHOLU PARKWAY S,BRONX,10458,Yes,3226,96,123.7,27.75,Manual,N/A,489.75,63763,Multifamily Housing,1,2017360
2033117501,3130,GRAND CONCOURSE,BRONX,10458,Yes,658,89.3,134.3,78.08,Manual,N/A,1089.97,150135,Multifamily Housing,1,2017347
2033120001,3154,GRAND CONCOURSE,BRONX,10458,Yes,11418,103.8,137.8,,Manual,N/A,642.15,77640,Multifamily Housing,1,2092509;2092508
2033120019,190,EAST  206 STREET,BRONX,10458,No Record as of 08/1/13,,,,,,,,,,1,
4068090001,    75-25, 153 STREET,QUEENS,11367,Yes,11869,52.8,111.1,43.02,ABS,N/A,1814.92,483520,Multifamily Housing,1,4531846
2033130029,100,E MOSHOLU PARKWAY S,BRONX,10458,Yes,2246,145.5,173.5,,Manual,N/A,496.89,58013,Multifamily Housing,1,2017398
2033130040,116,E MOSHOLU PARKWAY S,BRONX,10458,Yes,7816,75.1,106.1,,Manual,N/A,480.86,83215,Multifamily Housing,1,2823971
2033130069,3184,GRAND CONCOURSE,BRONX,10458,Yes,6897,77.4,91.9,,Manual,N/A,332.65,80811,Multifamily Housing,1,Block: 3313. Lot: 69
2033140041,2715,GRAND CONCOURSE,BRONX,10468,Yes,7827,66,94.7,,Manual,N/A,530.17,105846,Multifamily Housing,1,2017426
2033140057,2685,GRAND CONCOURSE,BRONX,10468,Yes,9317,142.9,178.8,0,Manual,N/A,790.39,73794,Multifamily Housing,1,2017428
2033140065,2665,GRAND CONCOURSE,BRONX,10468,No Record as of 08/1/13,,,,,,,,,,1,
4050047501,    35-20, 147 STREET,QUEENS,11354,Yes,3777,74.4,126.5,43.04,ABS,N/A,516.07,109938,Multifamily Housing,1,4308862
2033150089,2805,GRAND CONCOURSE,BRONX,10468,Yes,9320,115.7,149.5,0,Manual,N/A,466.21,53525,Multifamily Housing,1,2017465
2033160013,2686,MORRIS AVENUE,BRONX,10468,No Record as of 08/1/13,,,,,,,,,,1,
4014740058,    37-27,  86 STREET,QUEENS,11372,Yes,7421,64.4,102,43.06,ABS,N/A,498.21,126931,Multifamily Housing,1,4036261
2033160033,60,EAST  196 STREET,BRONX,10468,No Record as of 08/1/13,,,,,,,,,,1,
2033160042,2707,CRESTON AVENUE,BRONX,10468,Yes,10121,109.3,153.4,,Manual,N/A,612.93,74293,Multifamily Housing,1,2017480
1009160009,211,EAST   35 STREET,MANHATTAN,10016,Yes,12235,76.3,115.1,43.09,ABS,N/A,375.4,63617,Multifamily Housing,1,1020180
2033170001,2671,MORRIS AVENUE,BRONX,10468,No Record as of 08/1/13,,,,,,,,,,1,
1021800199,110,BENNETT AVENUE,MANHATTAN,10033,Yes,2956,82.2,119.6,43.09,ABS,N/A,390.07,58989,Multifamily Housing,1,1064442
2033180015,2776,JEROME AVENUE,BRONX,10468,No Record as of 08/1/13,,,,,,,,,,1,
3067560001,1810,AVENUE N,BROOKLYN,11230,Yes,12024,56,87,43.1,ABS,N/A,223.88,66240,Multifamily Housing,1,3181549
2033180034,2819,MORRIS AVENUE,BRONX,10468,Yes,7971,115.3,151.6,0,Manual,N/A,628.38,68670,Multifamily Housing,1,2017504
2033180052,2775,MORRIS AVENUE,BRONX,10468,Yes,9503,98.8,135.4,50.67,Manual,N/A,354.54,52668,Multifamily Housing,1,2017513
2033180098,2820,MORRIS AVENUE,BRONX,10468,Yes,4127,94.7,129,,Manual,N/A,775.87,102412,Multifamily Housing,1,2017536
3075660011,1363,OCEAN AVENUE,BROOKLYN,11230,Yes,5705,60.8,80.1,43.11,ABS,N/A,663.08,134493,Multifamily Housing,1,3206225
4031640012,    67-30,CLYDE STREET,QUEENS,11375,Yes,6407,68.6,119.3,43.11,ABS,N/A,552.3,125217,Multifamily Housing,1,4074920
4022510054,    72-61, 113 STREET,QUEENS,11375,Yes,3713,28,89.7,43.15,ABS,N/A,328.46,128736,Multifamily Housing,1,4052720
2033190050,2,MINERVA PLACE,BRONX,10468,Yes,7298,60.3,76.7,,Manual,N/A,192.52,58232,Multifamily Housing,1,
1003430050,203,RIVINGTON STREET,MANHATTAN,10002,Yes,11258,63.4,107.9,43.19,ABS,N/A,482.28,119893,Multifamily Housing,1,1004081
2033190072,2914,JEROME AVENUE,BRONX,10468,Yes,8813,23.2,86.3,,Manual,N/A,297.76,136941,Multifamily Housing,1,2017597
4022350025,   110-50,  71 ROAD,QUEENS,11375,Yes,3672,67,123.4,43.21,ABS,N/A,649.32,148739,Multifamily Housing,1,4052574
2033190093,2917,GRAND CONCOURSE,BRONX,10468,No Record as of 08/1/13,,,,,,,,,,1,
2033270067,3424,DEKALB AVENUE,BRONX,10467,Yes,10879,62.2,80.4,,Manual,N/A,338.81,71500,Multifamily Housing,1,2017766
4031700001,   100-11,  67 ROAD,QUEENS,11375,Yes,6152,121.5,174.2,43.22,ABS,N/A,972.21,137820,Multifamily Housing,1,
3064970044,901,AVENUE H,BROOKLYN,11230,Yes,4182,77.6,115.9,43.27,ABS,N/A,455.01,99216,Multifamily Housing,1,3170202
2033200013,26,BEDFORD PARK BLVD,BRONX,10468,Yes,455,,,,Manual,N/A,,69604,Multifamily Housing,1,2017613
2033200037,2940,GRAND CONCOURSE,BRONX,10458,No Record as of 08/1/13,,,,,,,,,,1,
3051240001,645,OCEAN AVENUE,BROOKLYN,11226,Yes,12699,,,43.28,ABS,N/A,,106190,Multifamily Housing,1,3117619
2033200060,2922,GRAND CONCOURSE,BRONX,10458,Yes,9322,102.8,103.8,,Manual,N/A,502.57,66469,Multifamily Housing,1,
2033210050,3081,VILLA AVENUE,BRONX,10468,No Record as of 08/1/13,,,,,,,,,,1,
3051220056,221,EAST   18 STREET,BROOKLYN,11226,Yes,5219,17.3,55.5,43.29,ABS,N/A,112.08,70875,Multifamily Housing,1,3117605
2033230001,3224,GRAND CONCOURSE,BRONX,10458,No Record as of 08/1/13,,,,,,,,,,1,
2033230022,3235,GRAND CONCOURSE,BRONX,10468,Yes,11034,,,,Manual,N/A,,115436,Multifamily Housing,1,2017667
2033240011,75,W MOSHOLU PARKWAY N,BRONX,10467,Yes,11847,103.3,137.8,0,Manual,N/A,903.3,108782,Multifamily Housing,1,2017672
3072990001,2375,OCEAN AVENUE,BROOKLYN,11229,Yes,6232,74.5,114,43.33,ABS,N/A,362.39,81032,Multifamily Housing,1,3197060
1004970001,530,BROADWAY,MANHATTAN,10012,Yes,3025,137.3,379.3,43.42,ABS,N/A,622.88,50000,Office,1,1007560
2033240019,3425,GATES PLACE,BRONX,10467,Yes,12271,,,,Manual,N/A,,68550,Multifamily Housing,1,
2033240030,21,W MOSHOLU PARKWAY N,BRONX,10467,Yes,10202,60.2,85.5,,Manual,N/A,297.44,64680,Multifamily Housing,1,2017680
2033240034,31,W MOSHOLU PARKWAY N,BRONX,10467,Yes,12188,108.9,148.8,,Manual,N/A,638.62,73566,Multifamily Housing,1,2017681
2033240063,3475,KNOX PLACE,BRONX,10467,Yes,4148,93.4,125,0,Manual,N/A,530.7,71028,Multifamily Housing,1,2017689
2033240070,3451,KNOX PLACE,BRONX,10467,Yes,8990,74.5,112,133.19,Manual,N/A,325.44,56000,Multifamily Housing,1,2017691
2033240082,3425,KNOX PLACE,BRONX,10467,Yes,7585,43.8,56.2,,Manual,N/A,165.76,68500,Multifamily Housing,1,
2033240099,15,W MOSHOLU PARKWAY N,BRONX,10467,Yes,13029,34.5,118.8,148.15,Manual,N/A,163.6,58345,Multifamily Housing,1,
3045880001,459,SCHENECTADY AVENUE,BROOKLYN,11203,Yes,1961,77.1,119.2,43.42,ABS,N/A,447.39,95786,Multifamily Housing,1,3099098
2033260001,115,E MOSHOLU PARKWAY N,BRONX,10467,Yes,9871,102.1,134.9,,Manual,N/A,705.72,92000,Multifamily Housing,1,2017719
2033260045,91,EAST  208 STREET,BRONX,10467,Yes,12528,0,0,,Manual,N/A,27.19,0,,1,BIN#  2017733
2033260064,3320,KOSSUTH AVENUE,BRONX,10467,Yes,8537,21.4,56.4,,Manual,N/A,107.07,61500,Multifamily Housing,1,2017738
2033260100,55,E MOSHOLU PARKWAY N,BRONX,10467,Yes,2153,63.9,105.6,0,Manual,N/A,281.14,56530,Multifamily Housing,1,2017750
1001007501,150,NASSAU STREET,MANHATTAN,10038,Yes,2969,71.8,194.8,43.43,ABS,N/A,975.68,152941,Multifamily Housing,1,1087756
4031000018,    65-60,WETHEROLE STREET,QUEENS,11374,Yes,7844,10.6,35.5,43.44,ABS,N/A,73.96,74400,Office,1,4072618
1014280009,215,EAST   73 STREET,MANHATTAN,10021,Yes,333,77.7,125.2,43.45,ABS,N/A,529.73,82199,Multifamily Housing,1,1043990
2033270001,111,EAST  210 STREET,BRONX,10467,Yes,4444,467.7,509.8,0,Manual,59,2565.25,99526,Hospital (General Medical and Surgical),11, 2096398;2096401 ;2807922 ;2096399 ;2096396;2102884
2033270001,111,EAST  210 STREET,BRONX,10467,Yes,4448,489.2,534.3,,Manual,24,16879.91,625000,Hospital (General Medical and Surgical),11,2096399
2033270001,111,EAST  210 STREET,BRONX,10467,Yes,4451,468.6,511.8,,Manual,41,5355.38,207000,Hospital (General Medical and Surgical),11,2096400
2033270001,111,EAST  210 STREET,BRONX,10467,Yes,4452,434.4,474.4,,Manual,78,1885.17,78620,Hospital (General Medical and Surgical),11,2094749
2033270001,111,EAST  210 STREET,BRONX,10467,Yes,4453,101.7,111.1,,Manual,89,128.64,22905,Office,11,2096396
2033270119,3467,DEKALB AVENUE,BRONX,10467,Yes,8000,97,156.9,,Manual,N/A,334.32,55680,Multifamily Housing,1,2017777
2033270132,3433,DEKALB AVENUE,BRONX,10467,Yes,10802,75.8,103.5,112.12,Manual,N/A,535.64,89250,Multifamily Housing,1,2-03327-0132
2033270142,3407,DEKALB AVENUE,BRONX,10467,Yes,8664,77.8,83.4,,Manual,N/A,306.13,53125,Multifamily Housing,1,
2033280010,3518,JEROME AVENUE,BRONX,10467,No Record as of 08/1/13,,,,,,,,,,1,
2033280039,3551,DEKALB AVENUE,BRONX,10467,Yes,9238,94,101.8,,Manual,N/A,651.61,87000,Multifamily Housing,1,2017797
1021700037,4410,BROADWAY,MANHATTAN,10040,Yes,12137,63.4,89.9,43.46,ABS,N/A,297.88,60711,Multifamily Housing,1,1064050
2033280064,3504,ROCHAMBEAU AVENUE,BRONX,10467,Yes,2147,63.5,95.7,0,Manual,N/A,305.48,60290,Multifamily Housing,1,2017801
4021197501,   100-25,QUEENS BOULEVARD,QUEENS,11375,Yes,12346,,,43.46,ABS,N/A,,167196,Multifamily Housing,1,4307726
2033280085,3554,ROCHAMBEAU AVENUE,BRONX,10467,No Record as of 08/1/13,,,,,,,,,,1,
2033280090,3556,ROCHAMBEAU AVENUE,BRONX,10467,Yes,4699,87,87.9,,Manual,N/A,734.52,106550,Multifamily Housing,1,
2033280090,3556,ROCHAMBEAU AVENUE,BRONX,10467,Yes,9325,81.1,95.8,,Manual,N/A,683.61,106550,Multifamily Housing,1,2017807
2033280097,50,EAST  212 STREET,BRONX,10467,Yes,2150,83.4,114.7,0,Manual,N/A,347.34,51990,Multifamily Housing,1,2017808
2033280102,3563,BAINBRIDGE AVENUE,BRONX,10467,No Record as of 08/1/13,,,,,,,,,,1,
3063310001,8313,BAY PARKWAY,BROOKLYN,11214,Yes,8837,68.6,91.9,43.5,ABS,N/A,323.82,72917,Multifamily Housing,1,3165280
2033280143,3520,DEKALB AVENUE,BRONX,10467,Yes,12833,99.7,141.9,6823.8,Manual,N/A,328.34,55000,Multifamily Housing,1,
2033280171,3535,ROCHAMBEAU AVENUE,BRONX,10467,No Record as of 08/1/13,,,,,,,,,,1,
2033290001,3591,BAINBRIDGE AVENUE,BRONX,10467,Yes,7259,11.8,32.4,,Manual,N/A,71.18,70900,Multifamily Housing,1,2017837
2033290025,3595,BAINBRIDGE AVENUE,BRONX,10467,Yes,7254,178.8,223.2,,Manual,N/A,1158.81,101196,Multifamily Housing,1,2017834
2033290064,19,EAST  213 STREET,BRONX,10467,Yes,2146,49.2,67.3,0,Manual,N/A,223.28,60290,Multifamily Housing,1,2017846
2033290085,3600,JEROME AVENUE,BRONX,10467,Yes,1993,56.7,154.5,,Manual,N/A,381.75,77220,"Service (Vehicle Repair/Service, Postal Service)",1,2-03329-0085
3053400048,707,BEVERLY ROAD,BROOKLYN,11218,Yes,8500,39.3,47.3,43.52,ABS,N/A,106.63,51000,Multifamily Housing,1,3124761
2033310001,385,E MOSHOLU PARKWAY N,BRONX,10467,Yes,12759,54.4,68.9,,Manual,N/A,282.59,69336,Multifamily Housing,1,2017879
1008410089,1054,AVENUE OF THE AMER,MANHATTAN,10018,Yes,1247,112.2,241.4,43.55,ABS,47,621.81,66112,Office,1,1016060
3087207501,150,OCEANA DRIVE WEST,BROOKLYN,11235,Yes,6780,70.7,139.2,43.59,ABS,N/A,664.67,139328,Multifamily Housing,2,3347498
2033320042,3105,DECATUR AVENUE,BRONX,10467,Yes,5935,112.2,148.2,0,Manual,N/A,416.74,49530,Multifamily Housing,1,2017921
2057980077,545,WEST  236 STREET,BRONX,10463,Yes,4528,53.6,87,43.62,ABS,N/A,354.5,105029,Multifamily Housing,1,2084188
2033320081,375,E MOSHOLU PARKWAY N,BRONX,10467,Yes,12758,84.9,115.4,,Manual,N/A,397.65,62118,Multifamily Housing,1,2017934
3053570030,300,OCEAN PARKWAY,BROOKLYN,11218,Yes,4162,73.5,110.7,43.66,ABS,N/A,461.83,106000,Multifamily Housing,1,3125450
2033330063,333,E MOSHOLU PARKWAY N,BRONX,10467,No Record as of 08/1/13,,,,,,,,,,1,
2033340053,309,E MOSHOLU PARKWAY N,BRONX,10467,Yes,2083,77.7,107.7,54.4,Manual,N/A,470.47,75600,Multifamily Housing,1,2017982
