Record Number,"NYC Borough, Block, and Lot (BBL)",Co-reported BBL Status,BBLs Co-reported,Reported NYC Building Identificaiton Numbers (BINs),Street Number,Street Name,Borough,Zip Code,DOF Benchmarking Submission Status,Site EUI(kBtu/ft2),Weather Normalized Site EUI(kBtu/ft2),Source EUI(kBtu/ft2),Weather Normalized Source EUI(kBtu/ft2),Municipally Supplied Potable Water - Indoor Intensity (gal/ft²),Automatic Water Benchmarking Eligible,Reported Water Method,ENERGY STAR Score,Total GHG Emissions(MtCO2e),Direct GHG Emissions(MtCO2e),Indirect GHG Emissions(MtCO2e),Reported Property Floor Area (Building(s)) (ft²),DOF Property Floor Area (Buildngs and Parking)(ft2),Primary Property Type - Self Selected,DOF Number of Buildings
4946,1021360128,,1-02136-0128,1063330,654,WEST  161 STREET,Manhattan,10032,Filed,112.4,111.1,146.9,145.5,122.42,Yes,ABS,Not Available,547.6,465.8,81.8,64000,61902,Multifamily Housing,1
4947,1021360140,,1-02136-0140,1063331,75,FT WASHINGTON AVENUE,Manhattan,10032,Filed,108.5,107.9,143.9,143,Not Available,No,None,Not Available,581.70000000000005,488.9,92.8,71418,71418,Multifamily Housing,1
4948,1021360145,,1-02136-0145,1063332,65,FT WASHINGTON AVENUE,Manhattan,10032,Filed,89.6,89.3,118.6,118.1,98.8,Yes,ABS,Not Available,489.5,411.9,77.599999999999994,72216,60072,Multifamily Housing,1
4949,1021360150,,1021360150,1063333,657,WEST  161 STREET,Manhattan,10032,Filed,143.5,143.4,180.7,180.3,Not Available,No,None,Not Available,674.3,589.5,84.8,62726,62736,Multifamily Housing,1
4950,1021360160,,1021360160,1063334,667,WEST  161 STREET,Manhattan,10032,Filed,114.6,114.5,150.1,150,112.13,Yes,ABS,Not Available,541.1,458.9,82.2,63098,63108,Multifamily Housing,1
4951,1021360170,,1021360170,1063336,910,RIVERSIDE DRIVE,Manhattan,10032,Filed,106,103.6,114.2,111.8,Not Available,No,None,Not Available,598.1,577.70000000000005,20.399999999999999,74730,74730,Multifamily Housing,1
4952,1021360175,,1021360175,1063337,666,WEST  162 STREET,Manhattan,10032,Filed,144.9,Not Available,176.2,Not Available,151.76,Yes,ABS,Not Available,638.20000000000005,571.6,66.599999999999994,58800,53034,Multifamily Housing,1
4953,1021360180,,1-02136-0180,1063338,656,WEST  162 STREET,Manhattan,10032,Filed,82.4,82.3,116,115.7,21.66,Yes,ABS,Not Available,330.4,264.3,66.099999999999994,53034,53034,Multifamily Housing,1
4954,1021360190,,1-02136-0190,1063339,91,FT WASHINGTON AVENUE,Manhattan,10032,Filed,19.7,19.7,61.9,61.9,Not Available,Yes,None,Not Available,96.8,0,96.8,60414,60414,Multifamily Housing,1
4955,1021360195,,1021360195,1063340,97,FT WASHINGTON AVENUE,Manhattan,10032,Filed,116,115.9,171.6,171.3,Not Available,No,None,Not Available,519.9,396.9,123,59330,59340,Multifamily Housing,1
4956,1021360200,,1-02136-0200,1063341,659,WEST  162 STREET,Manhattan,10032,Filed,129.4,126.6,161.30000000000001,158.2,95.32,Yes,ABS,Not Available,624.79999999999995,550.4,74.400000000000006,64214,59274,Multifamily Housing,1
4957,1021360205,,1021360205,1063342,671,WEST  162 STREET,Manhattan,10032,Filed,100.2,100.1,133.5,133.3,Not Available,No,None,Not Available,343,277.3,65.7,59264,59274,Multifamily Housing,1
4958,1021360210,,1-02136-0210,1063343,920,RIVERSIDE DRIVE,Manhattan,10032,Filed,77.2,77.1,108,107.7,Not Available,No,None,Not Available,374.5,286.5,88,83952,85303,Multifamily Housing,1
4959,1021360220,,1021360220,1063344,664,WEST  163 STREET,Manhattan,10032,Filed,108.4,108.4,146.9,146.9,61.22,Yes,ABS,Not Available,489.6,404.9,84.7,59274,59274,Multifamily Housing,1
