Record Number,"NYC Borough, Block, and Lot (BBL)",Co-reported BBL Status,BBLs Co-reported,Reported NYC Building Identification Numbers (BINs),Street Number,Street Name,Borough,Zip Code,BBL on the Covered Buildings List,DOF Benchmarking Submission Status,Site EUI(kBtu/ft2),Weather Normalized Site EUI(kBtu/ft2),Source EUI(kBtu/ft2),Weather Normalized Source EUI(kBtu/ft2),Municipally Supplied Potable Water - Indoor Intensity (gal/ft²),Automatic Water Benchmarking Eligible,Reported Water Method,ENERGY STAR Score,Total GHG Emissions(MtCO2e),Direct GHG Emissions(MtCO2e),Indirect GHG Emissions(MtCO2e),Reported Property Floor Area (Building(s)) (ft²),DOF Property Floor Area (Buildngs and Parking)(ft2),Primary Property Type - Self Selected,DOF Number of Buildings
3114733,1022500072,,,1065083,270,SEAMAN AVENUE       ,MANHATTAN,10034,Yes,In Compliance ,Not Available,Not Available,Not Available,Not Available,Not Available,No,None,Not Available,Not Available,Not Available,63.1,55673,50066,Multifamily Housing,1
3114734,3076810010,,,3211030,2705,KINGS HIGHWAY       ,BROOKLYN            ,11229,Yes,In Compliance ,Not Available,Not Available,Not Available,Not Available,Not Available,No,None,Not Available,Not Available,Not Available,98.7,94533,85165,Multifamily Housing,1
3114742,2032160016,,,2014693,1940,ANDREWS AVENUE SOUTH,BRONX               ,10453,Yes,In Compliance ,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,None,Not Available,Not Available,Not Available,101.5,60106,54150,Multifamily Housing,1
3114748,1020530114,,,1061156,772,ST NICHOLAS AVENUE  ,MANHATTAN,10031,Yes,In Compliance ,Not Available,Not Available,Not Available,Not Available,43.2,Yes,ABS,Not Available,Not Available,Not Available,82.8,75457,67980,Multifamily Housing,1
3114767,3067670066,,,3182096;3182097,2055,OCEAN AVENUE        ,BROOKLYN            ,11230,Yes,In Compliance ,75.5,73.3,93.2,90.9,69.47,Yes,ABS,86,257.9,223.9,34,61272,55200,Multifamily Housing,1
3114768,3067660030,,,3182044;3182043,2026,OCEAN AVENUE        ,BROOKLYN            ,11230,Yes,In Compliance ,51.1,Not Available,72.9,Not Available,Not Available,No,None,94,284.7,213,71.7,93240,84000,Multifamily Housing,1
3114771,3067460096,,,3181074;3812053,1347,EAST   17 STREET    ,BROOKLYN            ,11230,Yes,In Compliance ,94.4,92.9,117.5,115.8,Not Available,No,None,51,469.4,404.7,64.7,88949,80135,Multifamily Housing,1
3114772,3075660020,,,3206226,1355,OCEAN AVENUE        ,BROOKLYN            ,11230,Yes,In Compliance ,77.7,Not Available,97.3,Not Available,Not Available,No,None,73,342.3,294.1,48.2,75564,68076,Multifamily Housing,1
3114773,3067660040,,,3182047,2060,OCEAN AVENUE        ,BROOKLYN            ,11230,Yes,In Compliance ,Not Available,Not Available,Not Available,Not Available,Not Available,No,None,Not Available,Not Available,323.2,Not Available,78300,70400,Multifamily Housing,1
3114774,3074210016,,,3203147,2820,OCEAN AVENUE        ,BROOKLYN            ,11235,Yes,In Compliance ,Not Available,Not Available,Not Available,Not Available,Not Available,No,None,Not Available,Not Available,988,Not Available,172440,155352,Multifamily Housing,1
3114775,3056350041,,,3137474,4812,  14 AVENUE         ,BROOKLYN            ,11219,Yes,In Compliance ,70.4,Not Available,93,Not Available,36.24,Yes,ABS,89,339.1,276.8,62.3,81100,71860,Multifamily Housing,1
3114777,3050260344,,,3114670;3114671,239,OCEAN AVENUE        ,BROOKLYN            ,11225,Yes,In Compliance ,97.7,97.8,126.5,126.7,Not Available,No,None,51,391.6,324.4,67.1,70790,63775,Multifamily Housing,1
3114778,3050260313,,,3114663,305,OCEAN AVENUE        ,BROOKLYN            ,11225,Yes,In Compliance ,Not Available,Not Available,Not Available,Not Available,Not Available,No,None,Not Available,Not Available,Not Available,Not Available,70436,63456,Multifamily Housing,1
3114779,3051120029,,,3117426,39,TURNER PLACE        ,BROOKLYN            ,11218,Yes,In Compliance ,101,97.6,141.7,138.3,Not Available,No,None,40,332.5,252.4,80.1,56610,51000,Multifamily Housing,1
3114780,3014300001,,,3038512,455,SCHENECTADY AVENUE  ,BROOKLYN            ,11203,Yes,In Compliance ,72.9,72.9,100.2,100.2,Not Available,No,None,78,630.3,490.1,140.2,149736,134897,Multifamily Housing,1
3114782,3002410012,,,3001944,57,MONTAGUE STREET     ,BROOKLYN            ,11201,Yes,In Compliance ,92.9,88,122.3,117.4,35.61,Yes,ABS,67,575.1,468.3,106.8,108711,97938,Multifamily Housing,1
3116283,4009057501,,,4438544,    25-40,SHORE BOULEVARD     ,QUEENS,11102,Yes,In Compliance ,74,70.1,232.5,220,Not Available,Yes,None,35,1321.1,0,1321.1,215156,407200,Multifamily Housing,1
3114783,3054120014,,,3127637,602,OCEAN PARKWAY       ,BROOKLYN            ,11218,Yes,In Compliance ,Not Available,Not Available,Not Available,Not Available,88.69,Yes,ABS,Not Available,Not Available,Not Available,Not Available,87376,78718,Multifamily Housing,1
3114784,3066980001,,,3179301,815,EAST   14 STREET    ,BROOKLYN            ,11230,Yes,In Compliance ,59,57.5,82.4,80.7,Not Available,Yes,None,93,296.5,226.4,70.1,86580,78000,Multifamily Housing,1
3114785,3059830001,,,3151045,901,  80 STREET         ,BROOKLYN            ,11228,Yes,In Compliance ,96.4,92.4,148.2,143.9,Not Available,No,None,32,469.1,317.9,151.3,81030,73000,Multifamily Housing,1
3114787,3067070076,,,3179638,925,EAST   14 STREET    ,BROOKLYN            ,11230,Yes,In Compliance ,97.9,95.7,135.5,133,Not Available,No,None,41,407.5,314.4,93.1,71908,64782,Multifamily Housing,1
3114805,3068030051,,,3183213,2261,OCEAN AVENUE        ,BROOKLYN            ,11229,Yes,In Compliance ,Not Available,Not Available,Not Available,Not Available,Not Available,No,None,Not Available,Not Available,238.3,Not Available,58621,52812,Multifamily Housing,1
3114817,3050990047,,,3117108,68,EAST   19 STREET    ,BROOKLYN            ,11226,Yes,In Compliance ,Not Available,Not Available,Not Available,Not Available,72.42,Yes,ABS,Not Available,Not Available,Not Available,63.8,69049,62207,Multifamily Housing,1
3114833,2037760050,,,2025349,1255,STRATFORD AVENUE    ,BRONX               ,10472,Yes,In Compliance ,131.9,Not Available,166.9,Not Available,134.86,Yes,ABS,22,722.1,627,95.1,73260,66000,Multifamily Housing,1
3114841,2057670798,,,2083884,288,WEST  238 STREET    ,BRONX               ,10463,Yes,In Compliance ,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,None,Not Available,Not Available,Not Available,Not Available,77531,69848,Multifamily Housing,1
3114849,2037760056,,,2025350,1245,STRATFORD AVENUE    ,BRONX               ,10472,Yes,In Compliance ,Not Available,Not Available,Not Available,Not Available,156.63,Yes,ABS,Not Available,Not Available,710.6,Not Available,73260,66000,Multifamily Housing,1
3114850,2039350053,,,2029041,1381,CASTLE HILL AVENUE  ,BRONX               ,10462,Yes,In Compliance ,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,None,Not Available,Not Available,Not Available,20.7,80475,72500,Multifamily Housing,1
3114851,2038050078,,,2026282,2001,NEWBOLD AVENUE      ,BRONX               ,10462,Yes,In Compliance ,Not Available,Not Available,Not Available,Not Available,Not Available,No,None,Not Available,Not Available,Not Available,151.1,101738,91656,Multifamily Housing,1
3114852,3073150053,,,3197899,2361,CONEY ISLAND AVENUE ,BROOKLYN            ,11223,Yes,In Compliance ,79.7,77.4,104.8,102.2,Not Available,No,None,80,470.1,383.8,86.3,102564,92400,Multifamily Housing,1
3114853,2033160042,,,2017480,2707,CRESTON AVENUE      ,BRONX               ,10468,Yes,In Compliance ,Not Available,Not Available,Not Available,Not Available,Not Available,No,None,Not Available,Not Available,Not Available,98.4,74293,66930,Multifamily Housing,1
3114855,2033040085,,,2017141,2754,GRAND CONCOURSE     ,BRONX               ,10458,Yes,In Compliance ,109,Not Available,135.9,Not Available,Not Available,Yes,None,34,654.2,574.2,79.9,79920,72000,Multifamily Housing,1
3114859,4050020087,,,4113180,   141-25,NORTHERN BOULEVARD  ,QUEENS,11354,Yes,In Compliance ,104.4,Not Available,142,Not Available,Not Available,Yes,None,39,1054.3,835.7,218.5,167610,151000,Multifamily Housing,1
3114860,3067430044,,,3180899,1423,AVENUE N            ,BROOKLYN            ,11230,Yes,In Compliance ,Not Available,Not Available,Not Available,Not Available,59.16,Yes,ABS,Not Available,Not Available,254.7,Not Available,63936,57600,Multifamily Housing,1
3114862,3058480006,,,3144376,6701,COLONIAL ROAD       ,BROOKLYN            ,11220,Yes,In Compliance ,79.8,Not Available,105.3,Not Available,Not Available,Yes,None,70,349.5,285.3,64.2,73926,66600,Multifamily Housing,1
3118320,2040030016,,,2042418,425,DEVOE AVENUE        ,BRONX               ,10460,Yes,In Compliance ,13.6,Not Available,24.5,Not Available,3.89,Yes,ABS,Not Available,68.9,36.6,32.4,79400,69000,Non-Refrigerated Warehouse,1
3114867,4001750001,,,4002131,    42-05,  48 AVENUE         ,QUEENS,11377,Yes,In Compliance ,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,None,Not Available,Not Available,Not Available,66.4,59274,53400,Multifamily Housing,1
3114882,3031780020,,,3072427; 3819572,476,JEFFERSON STREET    ,BROOKLYN            ,11237,Yes,In Compliance ,86.4,83,142.6,138.6,25.41,No,Manual,Not Available,383.7,235.4,148.3,72000,123765,Other,1
3114887,3012910008,,,3033909,363,NEW YORK AVENUE     ,BROOKLYN            ,11213,Yes,In Compliance ,96.2,92.4,123.7,119.4,Not Available,Yes,None,78,339.7,283.5,56.2,62502,54350,Multifamily Housing,1
3114991,1022470001,,,1065057,37,PAYSON AVENUE       ,MANHATTAN,10034,Yes,In Compliance ,118.1,111.9,158,151.5,Not Available,Yes,None,Not Available,513.1,422.6,90.5,62205,56700,Multifamily Housing,1
3115124,2032230030,,,2014901,130,WEST  183 STREET    ,BRONX               ,10453,Yes,In Compliance ,94.4,Not Available,129.8,Not Available,Not Available,No,None,49,420.1,340.2,79.9,60000,59475,Multifamily Housing,1
3115131,2042210001,,,2047065,2100,EASTCHESTER ROAD    ,BRONX               ,10461,Yes,In Compliance ,Not Available,Not Available,Not Available,Not Available,Not Available,No,None,Not Available,Not Available,328.3,Not Available,89780,81000,Multifamily Housing,1
3115133,2056250065,,,2081765;2112470,30,PILOT STREET        ,BRONX               ,10464,Yes,In Compliance ,145.8,Not Available,187.6,Not Available,Not Available,Yes,None,7,765.3,656.5,108.8,69730,63000,Multifamily Housing,1
3115318,1015050040,,,1047125,1192,PARK AVENUE         ,MANHATTAN,10128,Yes,In Compliance ,61.3,Not Available,95.7,Not Available,19.74,Yes,ABS,Not Available,853.3,598.3,255,197919,196577,Multifamily Housing,1
3115579,1007310060,,,1012853,430,WEST   34 STREET    ,MANHATTAN,10001,Yes,In Compliance ,54.2,54.3,90,90.4,Not Available,No,None,97,473.6,316.9,156.7,114778,108402,Multifamily Housing,1
3115596,1006400012,,,1012049,380,WEST   12 STREET    ,MANHATTAN,10014,Yes,In Compliance ,54.3,52.4,98.3,96.2,47.64,Yes,ABS,45,398.3,210.6,187.7,114651,100320,Multifamily Housing,1
3115609,1014470019,,,1044882,353,EAST   72 STREET    ,MANHATTAN,10021,Yes,In Compliance ,44.5,42.2,113.8,107.1,Not Available,No,None,70,393.4,78,315.4,118499,102593,Multifamily Housing,1
3115670,2058451799,,,2112631;2084740,5400,FIELDSTON ROAD      ,BRONX               ,10471,Yes,In Compliance ,87,Not Available,108.6,Not Available,30.03,Yes,ABS,60,1162.3,1020.4,141.8,176750,151500,Multifamily Housing,1
3115691,4012490018,,,4431303,    33-24,  77 STREET         ,QUEENS,11372,Yes,In Compliance ,73.8,Not Available,84.8,Not Available,106.37,Yes,ABS,98,767,711.6,55.3,190666,176000,Multifamily Housing,4
3115726,1000687502,,,1087755;1001114,90,WILLIAM STREET      ,MANHATTAN,10038,Yes,In Compliance ,32936.9,31623.9,39713.5,38133.2,Not Available,No,None,1,265742.2,20.4,265721.8,121472,126430,Multifamily Housing,1
3115744,1011680022,,,1030861,2162,BROADWAY            ,MANHATTAN,10024,Yes,In Compliance ,63.4,63.4,134.6,134.6,Not Available,No,None,66,674.7,255,419.8,155576,195491,Multifamily Housing,1
3115757,2027860017,,,2118663,1421,COLLEGE AVENUE      ,BRONX               ,10456,Yes,In Compliance ,79.6,77.3,135.4,133.3,47.93,Yes,ABS,41,389.8,228.4,161.4,78505,79223,Multifamily Housing,1
3116012,1011480001,,,1030169,341,AMSTERDAM AVENUE    ,MANHATTAN,10024,Yes,In Compliance ,91.3,89.9,120.2,118.7,Not Available,No,None,70,862.7,726.4,136.3,125500,125040,Multifamily Housing,1
3116055,3052190016,,,3120572,1030,OCEAN AVENUE        ,BROOKLYN            ,11226,Yes,In Compliance ,14.4,14.3,45.1,45.1,Not Available,Yes,None,100,68.7,0,68.7,57624,57624,Multifamily Housing,1
3116076,1018910026,,,1057216,915,WEST END AVENUE     ,MANHATTAN,10025,Yes,In Compliance ,82.2,77.8,105.4,101,Not Available,No,None,60,737.8,634.8,103,118750,118591,Multifamily Housing,1
3116081,4001830250,,,4002373,    39-34,  43 STREET         ,QUEENS,11104,Yes,In Compliance ,45.5,43.5,65.5,63.4,1.55,Yes,Manual,Not Available,267.1,196.6,70.5,100000,98000,Non-Refrigerated Warehouse,1
3116095,1009970010,,,1085016;1085017;1076172,153,WEST   44 STREET    ,MANHATTAN,10036,Yes,In Compliance ,117.1,Not Available,284.9,Not Available,Not Available,No,None,25,4227,105.1,4121.9,471985,471985,Hotel,1
3116207,4015810001,,,4039447,    83-45,BROADWAY            ,QUEENS,11373,Yes,In Compliance ,103.9,103.8,137,136.8,Not Available,No,None,Not Available,1497,1259,238,191910,179494,Multifamily Housing,1
3118379,1018260036,,,1055067,1810,ADAM C POWELL BLVD  ,MANHATTAN,10026,Yes,In Compliance ,74.7,71.5,101.4,98.1,Not Available,No,None,88,322.3,254.1,68.2,75000,65286,Multifamily Housing,1
3116315,3001807501,,,Not Available,560,STATE STREET        ,BROOKLYN            ,11217,Yes,In Compliance ,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,None,Not Available,Not Available,25.3,Not Available,84910,63730,Multifamily Housing,1
3116339,4015090017,,,4037309,    81-11,PETTIT AVENUE       ,QUEENS,11373,Yes,In Compliance ,94.1,91,122.8,119.8,Not Available,No,None,Not Available,825,699.5,125.4,116933,106541,Multifamily Housing,1
3116352,2033240030,,,2017680,21,W MOSHOLU PARKWAY N ,BRONX               ,10467,Yes,In Compliance ,69.5,Not Available,95,Not Available,Not Available,No,None,86,279.5,227.8,51.7,53900,53900,Multifamily Housing,1
3116357,1010660037,,,1026870,408,WEST   57 STREET    ,MANHATTAN,10019,Yes,In Compliance ,64.8,64.7,104.3,104,Not Available,Yes,None,Not Available,589.6,410.7,178.9,118748,104966,Multifamily Housing,1
3116364,3067220001,,,3180189,1102,AVENUE K            ,BROOKLYN            ,11230,Yes,In Compliance ,96.4,Not Available,107,Not Available,Not Available,Yes,None,60,399.3,380.9,18.4,71875,57500,Multifamily Housing,1
3116420,2057460567,,,2083480,2675,HENRY HUDSON PKWY W ,BRONX               ,10463,Yes,In Compliance ,72.6,70,96.1,93.3,Not Available,Yes,None,100,458.5,380,78.5,92782,92782,Multifamily Housing,1
3116487,4043740035,,,4433327;4433328,    31-50,140 STREET          ,QUEENS,11354,Yes,In Compliance ,76.2,73.8,111.6,109.2,Not Available,Yes,None,69,794.4,573.2,221.3,176611,176611,Multifamily Housing,2
3116530,3046280036,,,3100526;3343610,1027,CLARKSON AVENUE     ,BROOKLYN            ,11212,Yes,In Compliance ,123.6,Not Available,160.9,Not Available,Not Available,No,None,32,537.4,445.4,92,73039,74718,Multifamily Housing,1
3116544,1012630061,,,1034498,48,WEST   48 STREET    ,MANHATTAN,10036,Yes,In Compliance ,148.3,Not Available,302.4,Not Available,Not Available,Yes,None,44,1283.3,587.8,695.6,118134,118134,Office,1
3116588,3001220013,,,3396901,235,GOLD STREET         ,BROOKLYN            ,11201,Yes,In Compliance ,95.1,91.4,165.4,161.2,42.04,Yes,ABS,24,1880.7,1063.5,817.3,314209,326609,Multifamily Housing,1
3116591,1012930001,,,1036049,737,   5 AVENUE         ,MANHATTAN,10022,Yes,In Compliance ,162.2,160.8,473.7,472.1,Not Available,No,None,7,1166.3,0,1166.3,88722,91060,Office,1
3116606,3001220005,,,3000239,277,GOLD STREET         ,BROOKLYN            ,11201,Yes,In Compliance ,97,93.2,163.6,160,Not Available,No,None,28,680.7,404.6,276.1,112801,150580,Multifamily Housing,1
3116716,4012760001,,,4029570,    76-12,  35 AVENUE         ,QUEENS,11372,Yes,In Compliance ,65.3,62.9,86.7,84.3,Not Available,No,None,Not Available,337.7,272.4,65.4,90636,77688,Multifamily Housing,1
3116754,2058251554,,,2084533,6225,BROADWAY            ,BRONX               ,10471,Yes,In Compliance ,Not Available,Not Available,Not Available,Not Available,Not Available,No,None,Not Available,Not Available,Not Available,77.3,87295,78825,Multifamily Housing,1
3116777,4012800001,,,4029673,    80-08,  35 AVENUE         ,QUEENS,11372,Yes,In Compliance ,Not Available,Not Available,Not Available,Not Available,Not Available,No,None,Not Available,Not Available,336.6,Not Available,81918,73800,Multifamily Housing,1
3116781,2032920037,,,2016742,2989,MARION AVENUE       ,BRONX               ,10458,Yes,In Compliance ,55.8,Not Available,78.4,Not Available,Not Available,No,None,97,240.3,191.2,49,57620,52000,Multifamily Housing,1
3116932,1011250002,,,1028632,49,WEST   72 STREET    ,MANHATTAN,10023,Yes,In Compliance ,79.5,76.6,119.1,116.1,Not Available,No,None,Not Available,272.9,191.2,81.7,57693,51360,Multifamily Housing,1
3116937,1021770118,,,1064301,854,WEST  181 STREET    ,MANHATTAN,10033,Yes,In Compliance ,179.1,173.5,221.4,215.8,Not Available,No,None,2,732.6,647.8,84.8,54000,56814,Multifamily Housing,1
3116954,1001870016,,,1087575,377,GREENWICH STREET    ,MANHATTAN,10013,Yes,In Compliance ,207.8,205,431,429,Not Available,No,None,1,1133.1,453.4,679.7,80500,75533,Hotel,1
3116956,1001727504,,,1088222,50,FRANKLIN STREET     ,MANHATTAN,10013,Yes,In Compliance ,88.8,85.4,187.2,182,Not Available,No,None,4,553.6,212.6,341.1,91412,94147,Multifamily Housing,1
3116974,1008660064,,,1017187,220,MADISON AVENUE      ,MANHATTAN,10016,Yes,In Compliance ,81.9,79,126.8,123.7,Not Available,No,None,Not Available,1323,963.1,359.9,210287,211910,Multifamily Housing,1
3116986,4033550106,,,4080126,    83-00,LEFFERTS BOULEVARD  ,QUEENS,11415,Yes,In Compliance ,91.5,88.7,121.2,118.4,Not Available,Yes,None,42,575.6,478.1,97.4,90500,90273,Multifamily Housing,1
3116987,4047170001,,,4107200,   151-05,CROSS ISLD PKWY SR N,QUEENS,11357,Yes,In Compliance ,80.5,Not Available,127.6,Not Available,Not Available,No,None,38,453.9,321.6,132.4,73750,73690,Multifamily Housing,1
3117098,1002197501,,,1002836,429,GREENWICH STREET    ,MANHATTAN,10013,Yes,In Compliance ,66.5,62.7,88.4,84.2,Not Available,No,None,Not Available,575,266.1,308.9,86915,103279,Multifamily Housing,1
3117106,2033150098,,,2017467,2781,GRAND CONCOURSE     ,BRONX               ,10468,Yes,In Compliance ,57.7,55.8,87.1,84.8,Not Available,No,None,100,227.4,168.1,59.3,53406,53406,Multifamily Housing,1
3117134,4019020010,,,4047077,    94-25,  56 AVENUE         ,QUEENS,11373,Yes,In Compliance ,127.7,123.1,164.5,159.7,Not Available,No,None,8,1358.6,1131.5,227.2,188250,187800,Multifamily Housing,1
3117138,3083440001,,,3326928;3326929,2183,RALPH AVENUE        ,BROOKLYN            ,11234,Yes,In Compliance ,11.9,11.9,22.1,22.1,Not Available,No,None,Not Available,119.4,60.1,59.3,155432,156536,Other,2
3117196,2043077501,,,2087163,1144,LYDIG AVENUE        ,BRONX               ,10461,Yes,In Compliance ,65,Not Available,95.3,Not Available,Not Available,Yes,None,85,283.4,217.2,66.2,57485,60040,Multifamily Housing,1
3117214,3052190022,,,3120573,1038,OCEAN AVENUE        ,BROOKLYN            ,11226,Yes,In Compliance ,10.3,10.4,32.5,32.5,Not Available,Yes,None,100,82.6,0,82.6,96300,96300,Multifamily Housing,1
3117291,3075560018,,,3205809,135,AMERSFORT PLACE     ,BROOKLYN            ,11210,Yes,In Compliance ,69.6,68,93,91.4,68.51,Yes,ABS,77,231.9,185.8,46.1,58250,58092,Multifamily Housing,1
3117304,3056420061,,,3137768,1329,  50 STREET         ,BROOKLYN            ,11219,Yes,In Compliance ,74,72.1,104.2,102.2,Not Available,No,None,70,261.8,198,63.8,60750,60480,Multifamily Housing,1
3117319,3050610049,,,3116131,1829,CATON AVENUE        ,BROOKLYN            ,11226,Yes,In Compliance ,97,93.7,136.8,133.1,74.95,Yes,ABS,30,416.8,314.6,102.1,73750,73634,Multifamily Housing,1
3117327,4026110102,,,4445984,    47-08,GRAND AVENUE        ,QUEENS,11378,Yes,In Compliance ,93,93,292.1,292.1,52.77,Yes,ABS,1,401.1,0,401.1,52000,51530,Non-Refrigerated Warehouse,1
3117386,3073520039,,,3199767,2630,OCEAN AVENUE        ,BROOKLYN            ,11229,Yes,In Compliance ,130.3,126.1,159.6,155.2,124.71,Yes,ABS,6,452.5,396.2,56.3,62451,53530,Multifamily Housing,1
3117398,3029670001,,,3070556,154,MORGAN AVENUE       ,BROOKLYN            ,11237,Yes,In Compliance ,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,None,Not Available,Not Available,Not Available,Not Available,87400,85000,Non-Refrigerated Warehouse,1
3117411,1008300026,,,1015725,1182,BROADWAY            ,MANHATTAN,10001,Yes,In Compliance ,60.4,60.4,112.7,112.7,Not Available,No,None,94,338.7,187.5,151.3,75750,75672,Office,1
3117417,4088400144,,,4181010,    86-50,  77 STREET         ,QUEENS,11421,Yes,In Compliance ,93.7,90.1,149.3,145.6,Not Available,Yes,None,67,352.9,231.9,121,59500,51000,Multifamily Housing,1
3117429,2032490098,,,2015334,2785,UNIVERSITY AVENUE   ,BRONX               ,10468,Yes,In Compliance ,86.5,76.1,110.4,100,Not Available,No,None,64,511.1,435.2,75.9,91350,78300,Multifamily Housing,1
3117434,2031690059,,,2013846,2055,CRESTON AVENUE      ,BRONX               ,10453,Yes,In Compliance ,116,Not Available,159,Not Available,Not Available,No,None,25,505.9,410,95.9,60058,50049,Multifamily Housing,1
3117449,3025570001,,,3064672,37,GREENPOINT AVENUE   ,BROOKLYN            ,11222,Yes,In Compliance ,92.9,Not Available,149.9,Not Available,Not Available,No,None,Not Available,444.2,304.1,140.1,65000,64740,Other,1
3117455,4101700050,,,4529895,   107-02,MERRICK BOULEVARD   ,QUEENS,11433,Yes,In Compliance ,62.2,61.3,86.9,85.9,Not Available,No,None,97,596.2,454.7,141.5,165113,144474,Multifamily Housing,1
3117458,4008940101,,,4020321,    20-25,SHORE BOULEVARD     ,QUEENS,11105,Yes,In Compliance ,93,84.9,105.4,96.8,Not Available,Yes,None,85,342.1,321.1,21,67743,62283,Multifamily Housing,1
3117461,4015190028,,,4037687,    75-06,WOODSIDE AVENUE     ,QUEENS,11373,Yes,In Compliance ,107.2,Not Available,153.7,Not Available,Not Available,Yes,None,40,340.4,253.6,86.8,52750,52553,Multifamily Housing,1
3117463,4007440040,,,4013983,    48-02,  25 AVENUE         ,QUEENS,11103,Yes,In Compliance ,51.6,46.5,95.8,90.1,Not Available,No,None,98,230.8,116.4,114.4,69250,100749,Office,1
3118329,2057800940,,,2084041;2112600,3900,GREYSTONE AVENUE    ,BRONX               ,10463,Yes,In Compliance ,95.1,91.8,116.6,113.4,37.07,Yes,ABS,56,1124.8,999.3,125.5,157153,134703,Multifamily Housing,1
3117475,2033100081,,,2017318,2955,GRAND CONCOURSE     ,BRONX               ,10468,Yes,In Compliance ,Not Available,Not Available,Not Available,Not Available,Not Available,No,None,Not Available,Not Available,Not Available,11.7,67500,67500,Multifamily Housing,1
3117512,1022250010,,,1064822,73,VERMILYEA AVENUE    ,MANHATTAN,10034,Yes,In Compliance ,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,None,Not Available,Not Available,Not Available,Not Available,54430,54430,Multifamily Housing,1
3120723,1013170011,,,1037558,217,EAST   43 STREET    ,MANHATTAN,10017,Yes,In Compliance ,0,0,0.1,0.1,1.85,No,Manual,Not Available,0.4,0,0.4,202576,202576,Office,1
3117534,1019980017,,,1059927,615,WEST  131 STREET    ,MANHATTAN,10027,Yes,In Compliance ,121.7,119.3,299,296.5,Not Available,Yes,None,Not Available,1563.8,370.6,1193.2,175578,210000,Other - Education,1
3117551,3050720025,,,3116372,50,WESTMINSTER ROAD    ,BROOKLYN            ,11218,Yes,In Compliance ,9,9,28.3,28.1,Not Available,Yes,None,100,46.5,0,46.5,62121,62121,Multifamily Housing,1
3117608,3050710006,,,3116307,10,STRATFORD ROAD      ,BROOKLYN            ,11218,Yes,In Compliance ,15.1,15.1,47.5,47.5,Not Available,No,None,100,123.6,0,123.6,98524,98524,Multifamily Housing,1
3117638,2031870047,,,2014091,2323,WALTON AVENUE       ,BRONX               ,10468,Yes,In Compliance ,110.3,107,149,145.9,130.24,Yes,Manual,41,540.7,428.1,112.6,85404,73204,Multifamily Housing,1
3117651,1008497504,,,1016213,260,PARK AVENUE SOUTH   ,MANHATTAN,10010,Yes,In Compliance ,33852.2,32392.4,40774.9,39015.1,Not Available,No,None,1,398541.3,12.7,398528.6,177276,211636,Multifamily Housing,2
3117707,1011420024,,,1029754,115,WEST   70 STREET    ,MANHATTAN,10023,Yes,In Compliance ,137,133.1,220.9,217.4,Not Available,No,None,44,751,513.2,237.8,75000,75313,Residence Hall/Dormitory,1
3117857,3052460001,,,3121544,2515,GLENWOOD ROAD       ,BROOKLYN            ,11210,Yes,In Compliance ,Not Available,Not Available,Not Available,Not Available,Not Available,No,None,Not Available,201.7,151.9,49.8,64800,64800,Multifamily Housing,1
3117929,1012630018,,,1034479,29,WEST   47 STREET    ,MANHATTAN,10036,Yes,In Compliance ,138.5,Not Available,283.8,Not Available,Not Available,No,None,41,634.1,304,330.2,58996,58996,Office,1
3118023,1020470012,,,1085377,2905,FREDRICK DOUGLASS BL,MANHATTAN,10039,Yes,In Compliance ,86.2,83.9,116.8,114.4,Not Available,Yes,None,Not Available,274.7,216.8,57.9,55433,55433,Multifamily Housing,1
3118029,3059800001,,,3150894,7925,   4 AVENUE         ,BROOKLYN            ,11209,Yes,In Compliance ,72.1,68.8,103.4,99.9,42.52,Yes,ABS,73,600.5,444,156.5,142190,137190,Multifamily Housing,1
3118038,1017220007,,,1086521,63,WEST  124 STREET    ,MANHATTAN,10027,Yes,In Compliance ,84.6,80.3,122.6,117.7,Not Available,No,None,61,243.3,177.8,65.5,48917,52074,Multifamily Housing,1
3118079,2025990128,,,2004058;2804753;2117504;2117505,863,EAST  141 STREET    ,BRONX               ,10454,Yes,In Compliance ,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,None,Not Available,Not Available,119.5,Not Available,144250,144000,Self-Storage Facility,1
3118087,4026110104,,,4445984,    47-10,GRAND AVENUE        ,QUEENS,11378,Yes,In Compliance ,0.9,0.9,2.8,2.8,Not Available,No,None,100,6,0,6,80000,79000,Non-Refrigerated Warehouse,1
3118092,1013970033,,,1042050,1050,   3 AVENUE         ,MANHATTAN,10065,Yes,In Compliance ,81.2,79.4,150,147.7,Not Available,No,None,Not Available,915.8,143.2,772.7,162378,150741,Multifamily Housing,1
3118138,1012480022,,,1033938,313,WEST   86 STREET    ,MANHATTAN,10024,Yes,In Compliance ,77.3,72.7,105.4,100.6,Not Available,No,None,73,625.4,512.7,112.7,106395,100137,Multifamily Housing,1
