0,PLAYER,GAME_DATE,POSITION:1,POSITION:2,POSITION:3,POSITION:4,POSITION:5,DK Sal
8.23666095734,Malachi Richardson,2017-03-24,0,1,0,0,0,3000.0
5.36741065979,Tyler Ennis,2017-03-24,1,0,0,0,0,3000.0
4.61593294144,Kyle Wiltjer,2017-03-24,0,0,0,1,0,3000.0
3.80974435806,Brian Roberts,2017-03-24,1,0,0,0,0,3000.0
6.45691871643,Kevon Looney,2017-03-24,0,0,0,1,0,3000.0
4.66404104233,Jordan Mickey,2017-03-24,0,0,0,1,0,3000.0
9.30195999146,Briante Weber,2017-03-24,1,0,0,0,0,3000.0
7.84187030792,Cole Aldrich,2017-03-24,0,0,0,0,1,3000.0
5.72606706619,James Jones,2017-03-24,0,1,0,0,0,3000.0
9.56983566284,Andrew Nicholson,2017-03-24,0,0,0,1,0,3000.0
5.11136722565,Thon Maker,2017-03-24,0,0,0,0,1,3000.0
3.38961362839,Georges Niang,2017-03-24,0,0,0,1,0,3000.0
5.45021724701,Ryan Kelly,2017-03-24,0,0,1,0,0,3000.0
5.39842128754,Ronnie Price,2017-03-24,1,0,0,0,0,3000.0
2.0383951664,Damjan Rudez,2017-03-24,0,0,0,1,0,3000.0
4.70998287201,Chris McCullough,2017-03-24,0,0,0,1,0,3000.0
9.79535675049,Kay Felder,2017-03-24,1,0,0,0,0,3000.0
5.11839866638,Sheldon McClellan,2017-03-24,0,1,0,0,0,3000.0
3.63519406319,Daniel Ochefu,2017-03-24,0,0,0,0,1,3000.0
6.52384185791,Damian Jones,2017-03-24,0,0,0,0,1,3000.0
5.4949669838,Stephen Zimmerman,2017-03-24,0,0,0,0,1,3000.0
5.94096422195,Jordan Hill,2017-03-24,0,0,0,1,0,3000.0
18.9054164886,KJ McDaniels,2017-03-24,0,0,1,0,0,3000.0
2.73564481735,Miles Plumlee,2017-03-24,0,0,0,0,1,3000.0
7.43504095078,DeAndre' Bembry,2017-03-24,0,0,1,0,0,3000.0
2.40872001648,Michael Gbinije,2017-03-24,0,0,1,0,0,3000.0
4.48111629486,Christian Wood,2017-03-24,0,0,0,1,0,3000.0
4.92849493027,Rakeem Christmas,2017-03-24,0,0,0,0,1,3000.0
3.4739382267,Darrun Hilliard,2017-03-24,0,1,0,0,0,3000.0
8.03183746338,James Michael McAdoo,2017-03-24,0,0,0,1,0,3000.0
0.593984007835,Metta World Peace,2017-03-24,0,0,1,0,0,3000.0
4.4938993454,Mike Miller,2017-03-24,0,1,0,0,0,3000.0
3.65371608734,CJ Wilcox,2017-03-24,0,1,0,0,0,3000.0
5.27174711227,Malik Beasley,2017-03-24,1,0,0,0,0,3000.0
4.18441009521,Treveon Graham,2017-03-24,0,0,1,0,0,3000.0
4.26921033859,Adreian Payne,2017-03-24,0,0,0,1,0,3000.0
5.8673491478,Cheick Diallo,2017-03-24,0,0,0,1,0,3000.0
4.74177455902,James Young,2017-03-24,0,1,0,0,0,3000.0
2.53746700287,Henry Ellenson,2017-03-24,0,0,0,1,0,3000.0
3.57885527611,Joe Young,2017-03-24,0,1,0,0,0,3000.0
23.5955505371,Tim Frazier,2017-03-24,1,0,0,0,0,4000.0
19.011838913,Ty Lawson,2017-03-24,1,0,0,0,0,4300.0
16.8609981537,Jahlil Okafor,2017-03-24,0,0,0,0,1,4800.0
23.2953796387,Rondae Hollis-Jefferson,2017-03-24,0,0,0,1,0,4400.0
17.0150432587,Iman Shumpert,2017-03-24,1,1,0,0,0,3400.0
14.8541584015,Jeff Green,2017-03-24,0,0,1,1,0,3200.0
19.9365844727,Thabo Sefolosha,2017-03-24,0,1,1,0,0,4600.0
12.0696334839,Gerald Henderson,2017-03-24,0,1,0,0,0,3200.0
28.0792007446,Rajon Rondo,2017-03-24,1,0,0,0,0,6200.0
17.361114502,Spencer Dinwiddie,2017-03-24,1,1,0,0,0,5100.0
22.3101615906,Nik Stauskas,2017-03-24,0,1,0,0,0,4200.0
18.938955307,Arron Afflalo,2017-03-24,0,0,1,0,0,3000.0
19.9232959747,Jordan Crawford,2017-03-24,0,1,0,0,0,4000.0
22.8459968567,Jameer Nelson,2017-03-24,1,0,0,0,0,5400.0
22.0408668518,Jamal Murray,2017-03-24,1,1,0,0,0,4400.0
21.5307865143,Buddy Hield,2017-03-24,0,1,0,0,0,5100.0
20.3577442169,Tyreke Evans,2017-03-24,0,1,1,0,0,4500.0
19.1367530823,Jodie Meeks,2017-03-24,0,1,0,0,0,3000.0
11.7238388062,Luol Deng,2017-03-24,0,0,1,0,0,3000.0
19.3189697266,Matt Barnes,2017-03-24,0,0,1,1,0,4400.0
14.1146450043,D.J. Augustin,2017-03-24,1,0,0,0,0,3000.0
19.6334648132,Brandon Jennings,2017-03-24,1,0,0,0,0,4000.0
20.0724658966,Garrett Temple,2017-03-24,0,1,1,0,0,4200.0
22.5373630524,Terrence Ross,2017-03-24,0,0,1,0,0,4600.0
16.1096305847,Sergio Rodriguez,2017-03-24,1,0,0,0,0,3400.0
17.2517738342,Anthony Tolliver,2017-03-24,0,0,0,1,0,3100.0
11.0759410858,Joe Harris,2017-03-24,0,0,1,0,0,3000.0
15.6748991013,Shabazz Muhammad,2017-03-24,0,1,1,0,0,4800.0
22.2814102173,Malcolm Brogdon,2017-03-24,1,1,0,0,0,5100.0
16.3279953003,Dante Cunningham,2017-03-24,0,0,1,1,0,3600.0
17.5397014618,Kyle Korver,2017-03-24,0,1,1,0,0,3800.0
16.8161888123,JR Smith,2017-03-24,0,1,0,0,0,4200.0
22.0019054413,Monta Ellis,2017-03-24,0,1,0,0,0,4000.0
