Building Name,Building Address,Postal Code,Floor Area,Property Type - Self Selected,2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2)
677 Toland St.,700 Toland St.,94124,55302,,,,,,,,,,,,82,17.8,42.4,16.8,41.4,80,15.9,42.4,15.9,42.4,,,,,
171 Second Street,171 2ND ST,94105,21287,,,,,,,,,,,,52,104.2,209.4,104.7,209.8,15,166.7,319.6,166.7,319.6,,,,,
1072 MARKET ST,1072 MARKET ST,94102,26880,,,,,,,,,,,,,,,,,,,,,,,,,,
3921 GEARY BLVD,3921 GEARY BLVD,94118,16500,Retail Store,,,,,,,,,,,,59,161.6,59,161.6,,58.1,182.1,58.1,182.1,,56.1,176,55.3,173.7
5644 GEARY BLVD,5644 GEARY BLVD,94121,13000,,,,,,,,,,,,,,,,,,,,,,,,,,
21 South Park,21 SOUTH PARK,94107,24812,Office,,,,,,,,,,,,,,,,99,15.9,45.3,16.6,46.1,99,16,44.2,16.4,44.7
474 OFARRELL ST,474 OFARRELL ST,94102,10005,,,,,,,,,,,,,,,,,,,,,,,,,,
1243 Van Ness,1243 VAN NESS AVE,94109,11760,Office,,,,,,,,,,,,221.3,356.7,221.7,357.1,,205.1,337.8,213.8,346.9,,221.8,361.1,227.3,366.8
274 Brannan JV LLC,274 BRANNAN ST,94107,140000,Office,6,128.1,377.9,128.1,377.9,1,1018.5,3398,1018.5,3398,23,94.5,275,94.5,275,24,87.9,265.8,87.9,265.8,49,69.6,204.7,69.6,204.7
50 California Street,50 CALIFORNIA ST,94111,785149,Office,94,45.7,,46.5,,90,46.9,146.1,46.8,145.9,91,45.2,132,45.3,132.1,93,41.1,122.4,42,123.4,95,40.2,117.5,40.5,117.8
Handlery Hotel,260 OFARRELL ST,94102,97000,Hotel,91,20.7,,21.3,,90,20.9,69.8,21,70.2,90,21.1,66.3,21.4,67.2,85,21.8,68.6,21.1,66.2,87,21.5,67.4,21.1,66.2
Speyer & Schwartz,1663 MISSION ST,94103,91995,Office,100,39,,39,,,,,,,100,23.4,46.9,23.8,47.2,100,22.6,48.5,25,51,100,19.7,42.3,20.9,43.6
James Bong Building,825 MARKET ST,94103,136850,,99,20.7,,20.2,,98,22.2,63.7,22.3,63.8,,,,,,,,,,,,,,,
2973 16th Street,2973 16TH ST,94110,25650,Office,,,,,,,,,,,,51.4,140.4,50,138.9,,52.2,147.9,54.1,149.8,,53.6,149.9,54.4,150.8
88 1st Street,88 1ST ST,94105,22038,Office,,,,,,,,,,,37,70.3,156.8,70.3,156.8,26,82.6,185,88,190.6,24,84.1,193.6,82.6,188.9
St. Mary's Medical Center,2250 Hayes St.,94117,576544,,,,,,,,,,,,,,,,,,,,,,,,,,
