Building Name,Building Address,Postal Code,Floor Area,Property Type - Self Selected,2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2)
Church of Scientology of San Francisco,701 Montgomery St,94111,29142,Worship Facility,,,,,,7,48.3,136.6,47.7,135.1,7,53,136.1,53.5,136.8,5,49.3,137.3,52.9,141.1,7,45.3,131.2,46.4,132.4
4699 3RD ST,4699 3RD ST,94124,23017,,,,,,,,,,,,,,,,,,,,,,,,,,
940 SUTTER ST,940 SUTTER ST,94109,57634,Hotel,,,,,,66,52.7,92.2,53.2,93.9,63,53.2,92.4,53.2,92.5,62,52.3,88.6,52.8,90.2,62,55.4,90.4,55.6,91
One Sansome Street,1 SANSOME ST,94104,738880,Office,94,41.3,,40.4,,94,41.2,111.7,40.8,111.2,94,41.9,107.3,42,107.4,93,47,117.3,48,118.5,,,,,
Four Embarcadero Center,4 EMBARCADERO CENTER,94111,1068638,Office,82,90.9,,88.8,,82,82.7,208.9,81.7,207.9,85,83,197.9,83.3,198.2,86,77.5,190.1,80.7,193.5,85,77,193.4,78.7,195.2
86 GOLDEN GATE AVE,86 GOLDEN GATE AVE,94102,11180,Manufacturing/Industrial Plant,,,,,,,,,,,,39.3,92.7,39.3,92.7,,39.5,92.9,39.5,92.9,,39.1,88.9,39.1,88.9
1 14th Street,1 14TH ST,94103,20000,Non-Refrigerated Warehouse,,,,,,,,,,,88,13.2,23.8,10.8,21.3,84,13.3,23.9,12.5,23.1,85,13.2,23.8,13.2,23.8
1600 VAN NESS AVE,1600 VAN NESS AVE,94109,55219,,,,,,,,,,,,,,,,,,,,,,,,,,
1360 Mission,1360 MISSION ST,94103,36508,,,,,,,95,40.8,86.9,39.2,85.2,95,37.9,81.5,35.6,79.1,96,34.1,74.6,39.9,80.6,,,,,
1218 Connecticut St,1218 Connecticut St,94107,43384,,,,,,,,,,,,,,,,,,,,,,,,,,
Evergood Sausage Co.,1389 UNDERWOOD AVE,94124,35000,Manufacturing/Industrial Plant,,,,,,,442.4,815.7,442.4,815.7,,455.1,840.6,459,852.7,,428,815,422.5,797.8,,384.1,731.3,381.6,723.6
Van Ness Building,1415 VAN NESS AVE,94109,12000,Other,,,,,,,,,,,,32.8,101.1,32.8,101.1,,44.5,120.2,48.3,124.2,,54.3,132.4,55.6,132.6
252 12TH ST,252 12TH ST,94103,13152,,,,,,,,,,,,,,,,,,,,,,,,,,
Folger Building,101 HOWARD ST,94105,114053,Office,81,68.3,,68.3,,89,63.7,134.9,64.6,138,86,67.2,134.2,67.1,133.9,83,65,130.5,66.4,130,89,56.9,116.2,56.2,113.8
350 Rhode Island - North,350 Rhode Island - North,94103,127074,Other - Education,,125,,123.6,,,94.9,242.8,95.3,244.4,,92.1,228.8,91.6,230.2,,102.7,254.3,99.9,245.4,,108.1,268.3,108.2,266.3
1400 VAN NESS AVE,1400 VAN NESS AVE,94109,18321,,,,,,,,,,,,,,,,,,,,,,,,,,
645 BRYANT ST,645 BRYANT ST,94107,32141,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel Kabuki,1625 POST ST,94115,225000,Hotel,,,,,,,,,,,30,111,195.5,108.3,193.9,31,100.8,184.5,104.7,186.6,31,99.7,186.9,100.7,186.9
285 WINSTON DR,285 WINSTON DR,94132,176000,,,,,,,,,,,,,,,,,,,,,,,,,,
190480 550 California Street,550 CALIFORNIA ST,94104,407312,Office,86,77.9,,76.1,,82,68.1,158.5,67,157.4,84,61.4,150.7,61.8,151,76,67.2,169.6,71.7,174.3,77,71.5,168.7,74.9,172.2
One Front Street,444 MARKET ST,94111,755069,Office,91,56.5,,56.5,,93,59.1,151.9,58.3,151,94,58.5,145,58.6,145,95,54.7,138.1,55.3,137.1,96,52.2,133.6,52.7,133.4
34 MASON ST,34 MASON ST,94102,12104,,,,,,,,,,,,,,,,,,,,,,,,,,
182 2nd,182 2ND ST,94105,25000,Office,,,,,,,,,,,66,51,158.9,50.9,158.7,70,47,146.6,47,146.6,42,67.3,205.5,67.3,205.5
529 COMMERCIAL ST,529 COMMERCIAL ST,94111,11000,,,,,,,,,,,,,,,,,,,,,,,,,,
Warwick San Francisco Hotel,490 GEARY ST,94102,34000,Hotel,,,,,,51,116.7,236.1,116.2,234.3,,,,,,,,,,,32,124,255.5,124.6,257.4
921 HOWARD ST,921 HOWARD ST,94103,14618,Other,,,,,,,,,,,,7.4,20.3,6.8,19.7,,6.4,19.3,6.4,19.3,,6.3,18.5,6.3,18.5
"Civitas Equity Fund I, LLC",101 TOWNSEND ST,94107,30000,,,,,,,91,29.2,74.8,28.4,74,,,,,,,,,,,,,,,
459 Fulton Street,459 FULTON ST,94102,17544,Office,,,,,,,,,,,73,39.2,108.5,38,107.3,90,26.7,75.6,26.7,75.6,88,29,80.4,30,81.4
ARE San Francisco No. 43,409 Illinois st,94158,347120,Laboratory,,272.6,,267.4,,,265.6,545.4,268.9,558,,279.2,548.7,281.2,554.9,,269.6,549.9,271.5,542.7,,268.1,552,269.4,549.2
700-710 Van Ness,700 Van Ness,94102,10467,Office,,,,,,,,,,,38,42.5,117.2,41,115.7,,39,109.9,39,109.9,,40.8,103.1,42.6,105
875 Howard Street,875 HOWARD ST,94103,247901,Office,,60.3,,60.3,,81,60.9,163.7,61,164.9,92,51.2,138.8,50.8,139.8,93,45,132.2,45.7,130.5,97,38,111.8,38.4,112.2
Chip Factory,365 VERMONT ST,94103,12465,,,,,,,,,,,,,,,,,,,,,,,,,,
945 BRYANT ST,945 BRYANT ST,94103,79425,Office,98,44.7,94,45.4,96.2,96,49.7,101.4,50.2,103,97,48.2,96.8,47.3,95.8,75,88.1,179.4,88.1,179.4,58,112.8,222.7,112.8,222.7
3700 GEARY BLVD,3700 GEARY BLVD,94118,30000,Retail Store,,,,,,,,,,,,56.7,177,56.6,176.9,,49.9,156.5,47.6,149.4,,57.1,179.3,57.1,179.3
660 CALIFORNIA ST,660 CALIFORNIA ST,94108,13277,,,,,,,,,,,,,,,,,,,,,,,,,,
972 Mission LLC,972 MISSION ST,94103,66000,Office,,,,,,,,,,,,,,,,100,18.7,54.1,18.7,54.1,100,18.8,54.5,19.2,55
240 KEARNY ST,240 KEARNY ST,94108,16630,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandarin Hotel,345 CALIFORNIA ST,94104,814226,Office,94,46.5,,45.7,,93,47.6,123.3,47.3,123.6,95,45.5,119.7,45.5,119.6,95,42.5,112.2,43.4,113.4,95,42.8,111.8,43.1,111.4
1656 CALIFORNIA ST,1656 CALIFORNIA ST,94109,16702,,,,,,,,,,,,,,,,,,,,,,,,,,
1740 Cesar Chavez,1740 Cesar Chavez,94107,60573,Mixed Use Property,,,,,,,,,,,,41.9,110.1,41.7,110.7,,41.6,111.7,42.2,110.4,,38.8,106.1,38.7,104.9
Handlery Union Square Hotel,351 GEARY ST,94102,202500,Hotel,42,62.5,,63.1,,39,65.4,121.1,67.1,122.9,65,96.3,166,95.6,165.3,60,93,165.5,92,162.4,59,94.6,169.6,93.9,167.5
Diva Hotel,440 GEARY ST,94102,50064,Hotel,,,,,,,,,,,,,,,,,,,,,70,68,158.6,69.5,162.5
180 Napoleon St,180-200 Napoleon St,94124,302330,Mixed Use Property,,,,,,,,,,,58,46.5,110.1,43.9,107.3,60,38,104.6,38,104.6,61,38.8,104.2,40.8,105.6
Prescott Hotel,"545, 555 POST ST",94102,91100,,78,90.4,,93,,80,83.8,183.4,83.9,183.6,65,92.3,190.9,92.3,190.9,,,,,,,,,,
559 Clay Street,559 CLAY ST,94111,16983,Office,,,,,,,,,,,24,57.2,126.5,56.4,124.2,17,70.8,146,70.8,146,41,47.7,121.6,47.7,121.6
One Market Plaza,1 MARKET ST,94105,1895166,Office,79,82.7,,79.7,,80,82.4,189.3,86.3,193.5,,,,,,,,,,,91,57.6,135.6,59.1,137.2
121 2nd Street,121 2ND ST,94105,37747,Office,,,,,,87,58.5,118.1,57.3,117.8,93,46.9,80.1,47.5,80.6,66,79,129.9,79,129.9,44,103,169.8,103,169.8
200-202 Potrero Ave,200-202 Potrero Ave,94103,27716,Manufacturing/Industrial Plant,,,,,,,15,33.3,15,33.3,,16,35,16,35,,19.5,48.3,20.4,49.3,,18,44.7,18.6,45.3
285 WINSTON DR,285 WINSTON DR,94132,15378,,,,,,,,,,,,,,,,,,,,,,,,,,
4601 3RD ST,4601 3RD ST,94124,16439,,,,,,,,,,,,,,,,,,,,,,,,,,
408 Columbus,408 COLUMBUS AVE,94133,13223,Mixed Use Property,,,,,,,,,,,,101.4,173.9,101.4,173.9,,83.8,159.4,83.3,157.6,,107.7,184.5,107.3,183.4
20 Heron Building,20 HERON ST,94103,26162,Distribution Center,,,,,,,16.6,52,16.6,52,,16.8,52.6,16.6,52,,16.8,52.7,16.8,52.7,,17.7,55.5,17.7,55.5
Kinokuniya Building,1825 POST ST,94115,76197,Enclosed Mall,,111.9,,111.6,,,164.1,295.8,165.2,299.4,,158,291.3,157.4,293.8,,161.7,304.5,161,296.2,,157.5,292.3,156.8,287.9
Trayer Engineering Corp.,898 PENNSYLVANIA AVE,94107,35044,Manufacturing/Industrial Plant,,,,,,,24.8,55,24.8,55,,55.1,144.8,55.3,145,,43.9,122.3,46.9,125.5,,75.7,215,76.9,216.2
3000 16th Street,3000 16TH ST,94103,17810,,,,,,,,,,,,,,,,,,,,,,,,,,
Elmira,70 ELMIRA ST,94124,14400,Non-Refrigerated Warehouse,,,,,,,,,,,,21.8,67.2,21.8,67.2,,21.8,67.1,21.8,67.2,,21.6,66.6,21.6,66.6
256 FRONT ST,256 FRONT ST,94111,63400,Office,,,,,,11,116.3,311.9,117.1,315.4,12,113.7,305.3,113.8,305.2,12,107.7,296.4,110.1,298.8,7,119,334.1,119.2,332
1301 Sansome Street,1301 SANSOME ST,94133,38440,Office,,,,,,72,46.3,145.5,46.3,145.5,72,46.4,145.6,46.4,145.6,66,49,153.9,49,153.9,68,48.5,152.4,48.2,151.2
Pier 2 - Agriculture Building,101 The Embarcadero,94105,15586,Office,,,,,,,,,,,25,162.5,257.1,,,20,163.9,268.3,,,16,176.2,287.7,,
45 Pier - Shed B,45 Pier - Shed B,94133,71833,Other,,,,,,,,,,,,,,,,,2.3,7.3,2.3,7.3,,2.4,7.5,2.4,7.5
163 EDDY ST,163 EDDY ST,94102,24780,,,,,,,,,,,,,,,,,,,,,,,,,,
2801 Leavenworth Street,2801 LEAVENWORTH ST,94109,133675,Office,,,,,,81,71,149.9,70.7,149.7,74,81.3,166.9,81.6,167.2,56,73.4,158.5,77.1,162.4,72,72,153.9,73.7,155.6
Dolby Labs Headquarters,999 BRANNAN ST,94103,180000,,74,86.6,,85.8,,73,86.8,266.4,86.8,268,58,85.3,250,85.8,252.7,62,78.3,233.8,79.1,234.7,,,,,
1240 EGBERT AVE,1240 EGBERT AVE,94124,10000,,,,,,,,,,,,,,,,,,,,,,,,,,
Domestic Cheese Building,450 TOLAND ST,94124,53000,,68,26.1,,26.1,,,,,,,40,40.8,128.1,40.8,128.1,39,45.3,142.1,43,135,,,,,
275 BRANNAN ST,275 BRANNAN ST,94107,65402,Office,,,,,,,,,,,97,31.7,93.4,31.8,93.5,96,31.6,93.5,32.7,95.1,96,32.6,96,33,96.3
156 GEARY ST,156 GEARY ST,94108,11351,,,,,,,,,,,,,,,,,12,75,235.5,75,235.5,,,,,
525 Brannan,525 BRANNAN ST,94107,49271,Office,,,,,,94,53.7,175,54.5,178.2,87,59.1,180.6,58.7,180.1,94,46.9,143.6,46.9,143.6,96,40.7,123.3,41,123.7
R1024 CO 611 FOLSOM,601 FOLSOM ST,94107,185386,,,,,,,,,,,,,452.5,1420.8,452.5,1420.8,,459.9,1444,453.5,1424.1,,,,,
177 Fremont Street,177 FREMONT ST,94105,33668,,,,,,,93,85.4,201.9,87,208.7,,,,,,,,,,,,,,,
360 LANGTON ST,360 LANGTON ST,94103,26701,Office,,,,,,,,,,,68,49.2,132.9,49.4,133.1,86,37.7,97.9,41.6,101.9,87,39,97.9,40.8,99.8
170 13TH ST,170 13TH ST,94103,19407,,,,,,,,,,,,,,,,,,,,,,,,,,
550 TOWNSEND ST,550 TOWNSEND ST,94103,61312,,,,,,,,,,,,,,,,,,,,,,,,,,
750 Post Street LLC,750 POST ST,94109,10000,Other - Entertainment/Public Assembly,,,,,,,,,,,,33.7,65.1,33.7,65.1,,24.5,51.8,30.1,59.1,,23.1,49.1,24.3,50.4
1790 Yosemite Ave,1790 YOSEMITE AVE,94124,20200,Non-Refrigerated Warehouse,,,,,,,,,,,,41,79.1,38.2,76.1,54,28,58,32.5,62.7,18,26.7,56.1,27.7,57.1
2065 Oakdale Ave,2065 Oakdale Ave,94124,55695,,,,,,,,,,,,,,,,,,,,,,,,,,
2600 INGALLS ST,2600 INGALLS ST,94124,10760,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2017 Mission,2001 MISSION ST,94110,29925,Office,,,,,,,73.9,214.2,74.5,216.2,35,67,204.2,67,204.2,25,72.9,218.1,72.9,218.1,75,42.9,124.8,42.9,124.8
360 Post St,350 POST ST,94108,123489,Office,41,87.9,,87,,56,76.5,185.2,77.4,188,52,76.3,182.6,76.2,182.3,66,58.6,151.2,58.6,151.2,70,53.4,145.4,52.7,143.1
700 EDDY ST,700 EDDY ST,94109,17216,,,,,,,,,,,,,,,,,,,,,,,,,,
450 POST ST,450 POST ST,94102,162214,Hotel,,,,,,35,106.4,169.2,106.8,170.6,30,110.2,175.8,108.8,175,30,100.5,163.1,105,167.7,38,95.5,155.6,96.8,156.5
1620 Montgomery Street,1620 MONTGOMERY ST,94111,47618,Office,,,,,,97,35.6,89.9,34.6,88.8,99,29.3,68.1,29.6,68.3,96,33.9,87.7,37,91.1,95,41.1,108.8,42.1,109.8
1028 Mission Building,535 Jessie St,94103,33000,Office,,,,,,74,30.9,96.1,30.9,96,73,31.7,97.9,32,99,67,32.4,100.5,31.4,97.5,63,34.8,107.1,34.3,105.5
226 JONES ST,226 JONES ST,94102,16793,K-12 School,,,,,,,,,,,58,49.6,131.3,48.3,130,43,56.2,149.9,56.2,149.9,11,66.2,167.1,66.2,167.1
3110 OCTAVIA ST,3110 OCTAVIA ST,94123,11268,,,,,,,,,,,,61,103.3,182.1,103.5,182.3,59,102.5,181.2,106,184.9,,,,,
2215 REVERE AVE,2215 REVERE AVE,94124,15794,,,,,,,,,,,,,,,,,,,,,,,,,,
2800 3RD ST,2800 3RD ST,94107,35160,,,,,,,,,,,,98,18.3,35.2,18.5,35.4,98,15.3,33.4,18.5,36.8,,,,,
Buchanan Plaza,1826 BUCHANAN ST,94115,13973,Retail Store,,,,,,,,,,,100,5.5,17.2,5.5,17.2,100,5.7,18,5.7,18,100,5.7,17.8,5.7,17.8
"Hyde Hill Holdings, L.P.",2744 HYDE ST,94109,33000,Adult Education,,,,,,,,,,,,50,128.2,50.2,128.4,,37.8,107.3,39.8,109.4,,35,99.8,35.6,100.4
Sherman C. Clay Building LLC,35 SOUTH PARK,94107,16310,Office,,,,,,,,,,,56,58.7,143.2,59,143.3,57,54.2,137,57.5,137.7,67,52.7,124,53.3,122.8
Forderer Cornice Works,269 POTRERO AVE,94103,63250,,,24.9,,24.4,,,30,89.6,29.8,89.4,,,,,,,35.4,102.5,35.4,102.5,,,,,
1 MISSION,100 The Embarcadero,94105,31740,Office,,,,,,,242,486.9,243.4,491.7,,285.3,522.5,282.9,515.1,,276.1,526.7,273.6,518.9,,268.3,517.2,269.9,516
LPF 150 Chestnut,150 CHESTNUT ST,94133,36642,Office,,,,,,81,41.3,124.2,41.3,124.2,,15.6,41.1,15.6,41.1,99,19.6,51.2,19.6,51.2,,19.4,56.7,19.4,56.7
570 TOWNSEND ST,570 TOWNSEND ST,94103,14625,,,,,,,,,,,,,,,,,,,,,,,,,,
Descalso Howard St Family L.P.,555 HOWARD ST,94105,24750,,,,,,,,,,,,99,21.4,56.2,21.5,56.3,97,25,72.5,25,72.5,,,,,
Gayner Engineers,1133 POST ST,94109,12000,Office,,,,,,,,,,,89,37,87.2,37.3,87.5,90,30.9,82.6,33.2,85,87,35.9,90.7,37.6,92.5
570-574 Pacific Avenue,574 PACIFIC AVE,94133,18763,Office,,,,,,,,,,,,,,,,98,17.2,54,17.2,54,98,20.3,63.6,20.3,63.6
343 Sansome,343 Sansome St,94104,316366,Office,,,,,,91,46.6,146.3,46.6,146.3,90,47.5,149.1,47.5,149.1,94,39.2,123,39.2,123,97,36.6,115.1,36.6,115.1
2 Stockton,790 MARKET ST,94108,71826,Retail Store,78,40.5,,39.7,,12,126.2,361.7,126.2,361.7,14,121.3,340.2,121.3,340.2,19,102.3,307.8,102.3,307.8,24,103.2,286.7,103.2,286.7
49 Stevenson,49 STEVENSON ST,94105,124181,Office,91,40.9,,40.9,,90,54.6,131,54.4,130.9,88,58.2,136.3,58.4,136.5,84,59.8,146.8,62.5,149.6,83,60.8,150.6,61.1,150
Williams Sonoma - 3250 Van Ness,3250 VAN NESS AVE,94109,158360,Office,63,83.9,,86.1,,63,93.2,215.1,93.2,215.1,59,95,205,94.9,204.1,62,89.2,194.6,91.7,195.5,,89.2,197.7,90.7,197.9
Abbott Building,1045 SANSOME ST,94133,85476,Office,85,48.2,,44.4,,97,42.5,89,40.8,87.2,96,44.7,91.7,45.1,92.1,96,39.7,90.3,46,96.9,84,52.8,128.6,54.6,130.6
The Salvation Army - 832 Folsom,832 FOLSOM ST,94103,86623,Office,54,93,235.5,93,235.5,51,98.3,239.5,98.8,241.3,57,89.6,225,89.7,225.1,76,83.7,219.3,84.4,217.7,75,97.5,225.9,96.5,223
355 11TH ST,355 11TH ST,94103,15000,Office,,,,,,,,,,,,1413.6,1507.8,1414.5,1508.7,,1350.2,1439.8,1350.7,1441.4,,1417.4,1512.6,1417.6,1513.3
1975 POST ST,1975 POST ST,94115,38051,Worship Facility,,,,,,,,,,,,11.3,26.1,11,25.5,,9.7,23.1,9.9,23.5,97,10.4,24,10.4,24
1234 DIVISADERO ST,1234 DIVISADERO ST,94115,12751,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel Metropolis,25 Mason,94102,47619,Hotel,,,,,,24,93.6,178.7,99,184.3,11,112.2,212.4,112.2,212.4,9,108.1,205.4,109.2,209,12,108.5,197.2,108.5,197.2
815 Hyde St.,827 HYDE ST,94109,21226,Medical Office,,,,,,,,,,,66,33.4,82,33.5,82.2,,28,71.9,29.3,73.3,,31.2,81.7,31.2,80.2
"Mr. S Leather Co., Inc.",385 8TH ST,94103,25433,Manufacturing/Industrial Plant,,,,,,96,36.7,85,35.9,84.1,,46.8,94.8,44.8,92.7,,36.1,75.1,41.3,80.6,,40.7,85.1,42.9,87.4
301 Pine,301 PINE ST,94104,25452,,,,,,,,194.6,437.7,196.3,443.4,,186.5,399.2,186.3,398.5,,,,,,,,,,
1405 INDIANA ST,1405 INDIANA ST,94107,12508,Manufacturing/Industrial Plant,,,,,,,,,,,,,,,,,,,,,,574.2,1803.1,574.2,1803.1
Eclipse Champagne Building,520 WASHINGTON ST,94111,30496,Office,,,,,,,58.8,127.7,58.8,127.7,57,82.9,153.7,83.4,154.2,67,64.4,132.1,67.3,133.6,73,60.7,124.3,61,123.3
Hyatt Regency San Francisco,5 EMBARCADERO CENTER,94111,882977,Hotel,57,84.1,,83.6,,62,78.2,168,77.3,167.1,57,82.8,163.7,82.9,163.7,56,77.7,159.7,79.8,160.8,61,74.9,154.7,75.9,155.2
55 Stockton,55 STOCKTON ST,94102,135358,Office,90,34.4,,34.4,,96,32.9,104.9,33.2,105.9,95,33.1,100.6,33,100.5,97,26.9,82.3,26.7,81.3,97,25.9,79.7,25.7,79
4141 GEARY BLVD,4141 GEARY BLVD,94118,290568,,,,,,,,,,,,,,,,,37,132.7,245.9,140.9,254.6,,,,,
2850 VAN NESS AVE,2850 VAN NESS AVE,94109,15559,,,,,,,,,,,,68,95.2,153.9,95.4,154.4,59,101.3,161.7,102.4,165.3,,,,,
401 MASON ST,401 MASON ST,94102,10580,Restaurant,,,,,,,,,,,,,,,,,335,674.1,335,674.1,,435.5,861.5,435.5,861.5
150 California Street,150 CALIFORNIA ST,94111,249960,Office,91,67.7,,67.7,,91,68.9,150.2,69.2,150.6,88,65.7,151.7,65.9,151.8,88,61.7,148.8,63.9,150.5,91,58.7,139.9,59.7,140.2
2675 FOLSOM ST,2675 FOLSOM ST,94110,22111,,,,,,,,,,,,,,,,,,,,,,,,,,
2211 PALOU AVE,2211 PALOU AVE,94124,16500,Office,,,,,,,,,,,60,76.2,145.4,73.9,143.6,62,69.9,136.2,74.6,139.5,56,75.7,147.5,78.1,150
2345 Harrison,2345 HARRISON ST,94110,53000,Other,,2.7,,2.6,,,2.6,8.7,2.6,8.5,,2,6.3,2,6.3,,1.3,4.2,1.3,4.2,,0.6,1.8,0.6,1.8
1445 Bush St,1445 Bush St,94109,16400,Medical Office,,,,,,,,,,,,,,,,75,28.7,85.2,27.8,82.5,80,26.4,79.4,26.1,77.7
Parkfront,220 JACKSON ST,94111,24888,Office,,,,,,,,,,,28,142.8,193.7,143.3,194.1,31,135.5,182.1,139.8,186.7,32,136.2,184.4,136.2,184.4
854 FOLSOM ST,854 FOLSOM ST,94103,10880,,,,,,,,,,,,,,,,,,,,,,,,,,
2340 Chestnut Street,2340 CHESTNUT ST,94123,12628,Mixed Use Property,,,,,,,,,,,,,,,,,,,,,,145.4,258,145.4,258
Ogden Contract,1237 MINNESOTA ST,94107,23600,Non-Refrigerated Warehouse,,,,,,,,,,,92,10.8,24.5,10.8,24.5,93,9,22.9,9,22.9,94,8.9,22.6,9.4,23.1
Molinari Salame,1401 YOSEMITE AVE,94124,11965,Other,,,,,,,,,,,,1215.6,2040.8,1215.6,2040.8,,1217.6,2069.1,1206.8,2035.2,,1250.6,2082.3,1244.7,2063.7
2 Folsom,250 THE EMBARCADERO,94105,700079,Office,83,58.5,,55.9,,95,54.6,159.6,54.2,159.2,91,55.1,153.1,55.2,153.1,90,54.2,154.2,55.6,155.7,89,55.1,158,55.8,158.7
154-174 Capp Street,154 CAPP ST,94110,33739,Office,,,,,,,,,,,86,35.7,93.9,34.2,92.4,92,27.7,79.4,27.7,79.4,93,28.7,80.6,29.2,80.6
1740 Market Street,1748 MARKET ST,94102,25258,Office,,,,,,,41.6,105.9,40.8,105.1,,,,,,78,51,109.2,51,109.2,76,55,114.3,54.6,113.1
215 Second Street,205 2ND ST,94105,15500,Office,,,,,,,,,,,33,59.5,179.1,59.4,178.9,25,62.3,190.2,62.9,190.8,28,62.3,188.2,62.6,188.6
University of the Pacifc,2155 WEBSTER ST,94115,193173,,,,,,,,132.9,306.3,128.7,301.8,,,,,,,,,,,,,,,
474 Valencia St.,474 Valencia St.,94103,28000,Adult Education,,,,,,,,,,,,19.7,61.5,19.7,61.5,,18.7,58.5,18.8,58.6,,30.5,70.2,32,71.3
65 Battery Street,65 BATTERY ST,94104,15406,Office,,,,,,,,,,,,77.5,243.4,77.3,242.7,,77.4,243,75.1,235.7,,74.2,233,72.7,228.4
524 SUTTER ST,524 SUTTER ST,94108,37865,,,,,,,,,,,,,,,,,,,,,,,,,,
222 STANYAN ST,222 STANYAN ST,94118,133570,,,,,,,,,,,,,,,,,,,,,,,,,,
1111 MARKET ST,1111 MARKET ST,94103,17500,Office,,,,,,,,,,,66,61.4,145,58.6,142,40,54,147.5,56.4,145.8,65,44.6,113.9,46.8,116.2
Polarity Post,69 GREEN ST,94111,12100,Other - Services,,,,,,,,,,,88,18,56.6,18,56.6,94,14.5,45.5,14.5,45.5,,15.9,49.9,15.9,49.9
470 Columbus,470 COLUMBUS AVE,94133,10992,Mixed Use Property,,,,,,,,,,,6,92.4,230.1,92.8,230.6,,93.5,230.9,100,237.7,,104.7,233.5,108.9,238
Pacific & Energy Center 410502_L364,851 HOWARD ST,94103,32139,,,,,,,,43,113.8,42.1,112.8,,42.5,106.1,41.8,106.4,,39.6,99.4,42.4,102.4,,,,,
2700 45TH AVE,2700 45TH AVE,94116,21263,Food Service,,,,,,,,,,,,76.7,140.8,74.8,138.8,,76.2,143.2,78.8,145.9,,78,143.9,78.7,144.8
1233 VAN NESS AVE,1233 VAN NESS AVE,94109,18710,Medical Office,,,,,,,,,,,,54.1,117,54.2,117,,53.2,115.9,53.3,114.9,,72.6,172.4,72.9,172.7
50 1ST ST,50 1ST ST,94105,117542,,,,,,,16,126.4,231.4,135,242.8,71,53.1,119.6,53.1,119.6,90,33.2,81.9,37.4,86.3,,,,,
75 Howard Street Garage,1675 HOWARD ST,94103,166483,,,0,,0,,,,,,,,,,,,,,,,,,,,,
SAN FRANCISCO TOYOTA SALES DEPT.,3800 GEARY BLVD,94118,10675,Automobile Dealership,,,,,,,,,,,,48.7,106.5,44.4,98.7,,42.4,108.7,48,114.5,,43.1,119.2,44.3,120.5
843 STOCKTON ST,843 STOCKTON ST,94108,12264,,,,,,,,,,,,,,,,,,,,,,,,,,
Mission & Shaw LLC,545 MISSION ST,94105,29309,Office,,,,,,40,109.2,236.5,109.2,236.5,,120.6,236,120.6,236,,113.5,231,115.8,233.4,,113.2,229.5,114.3,230.6
Geary Grant LLC,77 MAIDEN LN,94108,119000,Office,97,43,,42.5,,96,47.3,125.1,48.5,128.5,,41.3,103.1,41.3,103.1,,30.5,90.7,30.7,91.2,,30.4,89.5,30.9,89.9
Fisher Dramov Building,1527 STOCKTON ST,94133,18600,Office,,,,,,,,,,,,194.5,348.9,194.6,349.1,,181.9,329.9,181.9,329.9,,176.5,329.7,176.5,329.7
Walgreens #4570,3001 TARAVAL ST,94116,10750,Retail Store,,,,,,,,,,,66,84.3,263.1,84.1,263,71,86.1,269.3,85,265.7,72,88.2,266.8,88.2,266.8
10238-Potrero Hill,450 Rhode Island St,94107,46593,,,,,,,,,,,,,,,,,,,,,,,,,,
580 NORTH POINT ST,580 NORTH POINT ST,94133,24022,,,,,,,,,,,,,,,,,,,,,,,,,,
170 COLUMBUS AVE,170 COLUMBUS AVE,94133,76431,Office,79,61.1,130.2,61.6,132.5,81,57.8,124.5,57.8,124.5,80,57.5,125,57.6,125.2,64,71.1,154.1,71.1,154.1,57,79.8,170.2,82.3,172.8
Stanyan Park Hotel,750-756 Stanyan St,94117,22000,Hotel,,,,,,,,,,,38,50.5,111.1,48.8,105.8,44,44.7,95.4,47,102.7,42,47.1,100.8,48,103.7
1301 HARRISON ST,1301 HARRISON ST,94103,22032,Retail Store,,,,,,,,,,,,18.9,50,18.2,49.3,,16,46.6,16,46.6,,17.1,47.3,18,48.2
2175 HARRISON ST,2175 HARRISON ST,94110,11824,Restaurant,,,,,,,,,,,,64.3,103.4,,,,151.4,287.8,147.2,274.7,,325.3,492.9,325.3,492.9
4545 GEARY BLVD,4545 GEARY BLVD,94118,16295,,,,,,,,,,,,,,,,,,,,,,,,,,
