store,coupon,discount,total
Book Outlet,2 Coupons,5.0% Cash Back,"$85,842 "
Bookbyte,3 Coupons,4.0% Cash Back,"$113,106 "
Booking.com,12 Coupons,2.0% Cash Back,
BookIt.com,19 Coupons,Up to 2.5%,
BookPal,15 Coupons,2.5% Cash Back,
BooksAMillion,24 Coupons,1.5% Cash Back,"$91,084 "
Boscov's,5 Coupons,3.0% Cash Back,"$321,915 "
Boston College Bookstore,6 Coupons,1.0% Cash Back,
Boston Proper,2 Coupons,3.0% Cash Back was 2.0%,"$74,067 "
Boston Store,31 Coupons,2.0% Cash Back,"$31,237 "
Botanic Choice,4 Coupons,10.0% Cash Back,"$34,269 "
Bottle Breacher,1 Coupon,2.5% Cash Back,
The Bouqs,7 Coupons,15.0% Cash Back was 7.5%,"$46,817 "
Boux Avenue,No Coupons Available,Up to 5.0%,
Bowflex Shop,2 Coupons,4.5% Cash Back,
Boxed,8 Coupons,2.0% Cash Back,"$32,064 "
BoxLunch,4 Coupons,1.75% Cash Back,
BPI Sports,5 Coupons,15.0% Cash Back,
Brahmin,1 Coupon,3.5% Cash Back,
BreedProducts.com,No Coupons Available,2.5% Cash Back,
Brickhouse Security,7 Coupons,8.5% Cash Back,
Briggs & Riley Travelware,2 Coupons,4.5% Cash Back,
British Airways,2 Coupons,Up to $17.00,
Broderbund.com,2 Coupons,Up to 7.5%,
Brook & York,3 Coupons,2.5% Cash Back,
Brooks Brothers,3 Coupons,4.0% Cash Back,
Brooks Running,2 Coupons,4.0% Cash Back,
Brookstone,20 Coupons,5.0% Cash Back,
Brownells,No Coupons Available,2.5% Cash Back,"$31,489 "
Buckle,11 Coupons,2.5% Cash Back,"$199,887 "
Buddha Groove,No Coupons Available,2.5% Cash Back,"$1,052 "
Budget Rent-A-Car,3 Coupons,3.0% Cash Back,"$246,492 "
Budget Truck Rental,8 Coupons,2.5% Cash Back,"$72,532 "
Buffalo David Bitton,2 Coupons,4.0% Cash Back,
Build-A-Bear Workshop,5 Coupons,3.0% Cash Back,"$37,517 "
Build.com,112 Coupons,2.0% Cash Back,
BuildASign,6 Coupons,1.5% Cash Back,"$14,417 "
Bulletproof Coffee,3 Coupons,3.75% Cash Back,"$14,264 "
Bulu Box,3 Coupons,Up to 15.0%,"$1,316 "
Bumble and bumble,2 Coupons,4.0% Cash Back,"$22,281 "
Burkes Outlet,8 Coupons,3.25% Cash Back,"$1,434 "
Burlington,9 Coupons,2.5% Cash Back,"$33,533 "
Burpee Gardening,No Coupons Available,5.0% Cash Back,"$61,075 "
Busch Gardens,9 Coupons,2.5% Cash Back,
Busted Tees,1 Coupon,8.5% Cash Back,"$19,323 "
ButcherBox,2 Coupons,$9.00 Cash Back,
BuyAutoParts,23 Coupons,1.0% Cash Back,
buybuy BABY,9 Coupons,2.0% Cash Back,"$158,806 "
BuyOnlineNow,1 Coupon,2.5% Cash Back,
Buytopia.ca,1 Coupon,6.0% Cash Back,"$1,076 "
